"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-6.43452	20.5078	-2.37627
21.2402	-4.84186	21.2402	-1.59585
21.9727	-4.24413	21.9727	-1.24065
22.7051	-3.76753	22.7051	-1.05086
23.4375	-3.50155	23.4375	-0.823951
24.1699	-3.74784	24.1699	-0.962023
25.6348	-3.89275	25.6348	-1.13129
26.3672	-3.82249	26.3672	-1.15855
27.0996	-3.83295	27.0996	-1.22937
27.832	-3.42895	27.832	-1.05561
29.2969	-3.17577	29.2969	-1.01243
30.0293	-2.92311	30.0293	-0.907921
31.4941	-2.78963	31.4941	-0.895528
32.2266	-2.59278	32.2266	-0.830275
33.6914	-2.38424	33.6914	-0.765698
34.4238	-2.26343	34.4238	-0.728469
35.8887	-2.05636	35.8887	-0.664263
37.3535	-1.8981	37.3535	-0.618619
38.8184	-1.75336	38.8184	-0.576315
39.5508	-1.64887	39.5508	-0.540812
41.0156	-1.55322	41.0156	-0.509524
42.4805	-1.45459	42.4805	-0.485393
43.9453	-1.33961	43.9453	-0.448536
45.4102	-1.25934	45.4102	-0.424616
47.6074	-1.15405	47.6074	-0.393382
49.0723	-1.08746	49.0723	-0.373411
50.5371	-1.02684	50.5371	-0.355089
52.7344	-0.938027	52.7344	-0.327366
54.1992	-0.884673	54.1992	-0.310661
56.3965	-0.820647	56.3965	-0.290893
58.5938	-0.793928	58.5938	-0.284894
60.0586	-0.761565	60.0586	-0.275299
62.2559	-0.669425	62.2559	-0.24242
64.4531	-0.615442	64.4531	-0.224623
66.6504	-0.559068	66.6504	-0.205151
69.5801	-0.517712	69.5801	-0.191061
71.7773	-0.490006	71.7773	-0.182674
73.9746	-0.449782	73.9746	-0.169483
76.9043	-0.410381	76.9043	-0.1556
79.834	-0.401387	79.834	-0.153372
82.7637	-0.277443	82.7637	-0.107658
85.6934	-0.172006	85.6934	-0.0696154
88.623	-0.302334	88.623	-0.117499
91.5527	-0.428012	91.5527	-0.168235
94.4824	-0.205001	94.4824	-0.0792108
98.1445	-0.13484	98.1445	-0.0554942
101.807	-0.149301	101.807	-0.0599792
105.469	-0.117975	105.469	-0.0479558
109.131	-0.0618713	109.131	-0.0236524
112.793	-0.0515823	112.793	-0.019687
116.455	-0.0686771	116.455	-0.0250377
120.85	-0.0292998	120.85	-0.00466354
125.244	0.0680722	125.244	0.0338452
129.639	0.118093	129.639	0.0484061
134.033	0.039303	134.033	0.020245
138.428	0.00781136	138.428	0.0193847
143.555	0.120848	143.555	0.0685364
148.682	0.198455	148.682	0.0991817
153.809	0.272365	153.809	0.127015
159.668	0.324517	159.668	0.149066
164.795	0.279498	164.795	0.13139
170.654	0.272693	170.654	0.136553
176.514	0.318736	176.514	0.163289
183.105	0.441934	183.105	0.219077
189.697	0.519707	189.697	0.245174
196.289	0.548971	196.289	0.261435
202.881	0.662401	202.881	0.308515
210.205	0.715424	210.205	0.327587
217.529	0.698133	217.529	0.332838
225.586	0.888453	225.586	0.416882
232.91	1.0394	232.91	0.456735
241.699	1.04414	241.699	0.465613
249.756	1.33283	249.756	0.561822
258.545	1.14461	258.545	0.477098
268.066	1.31098	268.066	0.552307
277.588	1.17121	277.588	0.49461
287.109	1.19706	287.109	0.50435
297.363	1.47453	297.363	0.563726
307.617	1.21676	307.617	0.465826
318.604	1.39875	318.604	0.528217
329.59	1.14984	329.59	0.399162
341.309	0.50961	341.309	0.195417
353.76	0.044787	353.76	0.171578
366.211	1.65537	366.211	1.22156
378.662	2.38849	378.662	1.29204
392.578	2.40085	392.578	1.12505
405.762	2.58277	405.762	1.22415
420.41	2.63726	420.41	1.08086
435.059	2.52058	435.059	1.03808
450.439	2.65795	450.439	0.947901
466.553	2.55154	466.553	0.899321
482.666	2.46698	482.666	0.776426
500.244	2.33769	500.244	0.746759
517.822	2.38874	517.822	0.823217
536.133	3.38417	536.133	1.33425
554.443	3.28712	554.443	1.1325
574.219	3.39087	574.219	1.14855
594.727	3.25655	594.727	1.22256
615.234	3.10661	615.234	0.942905
637.207	1.56675	637.207	0.024251
659.912	3.46528	659.912	1.49481
683.35	4.52795	683.35	2.2236
706.787	4.99898	706.787	2.47248
731.689	4.56658	731.689	2.23007
758.057	4.33936	758.057	1.93646
784.424	4.4236	784.424	1.90469
812.256	4.53916	812.256	2.00857
840.82	4.38449	840.82	1.99327
870.85	4.45152	870.85	1.82633
901.611	4.51864	901.611	1.76064
933.105	5.19945	933.105	2.224
966.064	5.35035	966.064	2.29692
999.756	5.083	999.756	2.19546
1,034.91	5.13956	1,034.91	2.19762
1,071.53	5.18624	1,071.53	2.20291
1,109.62	5.13451	1,109.62	2.27268
1,148.44	5.33952	1,148.44	2.36497
1,189.45	5.27444	1,189.45	2.24003
1,231.2	5.28165	1,231.2	2.5048
1,274.41	4.06683	1,274.41	1.58255
1,319.82	4.52798	1,319.82	1.70921
1,365.97	4.84651	1,365.97	2.14243
1,414.31	4.49892	1,414.31	1.90021
1,464.11	4.75685	1,464.11	1.9508
1,515.38	4.77555	1,515.38	1.84518
1,568.85	4.84031	1,568.85	1.80979
1,624.51	4.71919	1,624.51	1.88034
1,681.64	4.76525	1,681.64	1.68813
1,740.97	4.22116	1,740.97	1.30385
1,802.49	4.86793	1,802.49	1.79046
1,866.21	4.57977	1,866.21	1.6596
1,932.13	4.71538	1,932.13	1.78471
2,000.24	5.1119	2,000.24	2.04883
2,070.56	5.48451	2,070.56	2.22126
2,143.8	5.23449	2,143.8	2.29614
2,219.24	4.69367	2,219.24	1.92372
2,297.61	5.26972	2,297.61	2.20922
2,378.17	6.25151	2,378.17	2.57645
2,462.4	5.95014	2,462.4	2.30703
2,548.83	5.90712	2,548.83	2.27738
2,638.92	6.06805	2,638.92	2.29776
2,731.93	5.94028	2,731.93	2.17773
2,828.61	6.08758	2,828.61	2.25206
2,928.22	6.04319	2,928.22	2.20967
3,031.49	5.95101	3,031.49	2.10235
3,138.43	6.23345	3,138.43	2.24607
3,249.02	6.33785	3,249.02	2.25148
3,363.28	6.5307	3,363.28	2.38445
3,481.93	6.35767	3,481.93	2.22829
3,604.98	6.40235	3,604.98	2.22258
3,732.42	6.04038	3,732.42	1.97978
3,863.53	6.12956	3,863.53	2.04634
3,999.76	6.0428	3,999.76	1.95195
4,141.11	5.80505	4,141.11	1.76298
4,286.87	6.0425	4,286.87	1.97682
4,438.48	5.93403	4,438.48	1.78492
4,594.48	5.88659	4,594.48	1.73807
4,757.08	5.76798	4,757.08	1.62241
4,924.8	6.02008	4,924.8	1.77256
5,098.39	5.82671	5,098.39	1.62978
5,277.83	5.61054	5,277.83	1.51791
5,463.87	5.75482	5,463.87	1.67038
5,656.49	5.34642	5,656.49	1.36662
5,856.45	5.76702	5,856.45	1.66313
6,062.99	6.04872	6,062.99	1.85499
6,276.86	6.02575	6,276.86	1.80929
6,498.05	6.02648	6,498.05	1.79709
