"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.065	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.065	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.065	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.065	V at 	1	m]"
20.5078	41.562	20.5078	39.0789	20.5078	38.0536	20.5078	39.2451
21.9727	35.8166	21.9727	31.5346	21.9727	46.8239	21.9727	44.2387
23.4375	42.694	23.4375	39.7885	23.4375	47.8741	23.4375	45.8671
24.9023	40.23	24.9023	39.743	24.9023	51.8144	24.9023	49.2848
26.3672	45.8651	26.3672	46.7733	26.3672	55.107	26.3672	52.828
27.832	48.1836	27.832	48.5646	27.832	56.6649	27.832	54.4347
29.2969	50.4866	29.2969	51.4896	29.2969	59.1112	29.2969	56.9108
30.7617	52.841	30.7617	54.2165	30.7617	61.3113	30.7617	59.1622
32.2266	55.4429	32.2266	56.8138	32.2266	63.4036	32.2266	61.3261
33.6914	57.93	33.6914	59.3999	33.6914	65.5552	33.6914	63.5396
35.1563	60.6044	35.1563	61.9824	35.1563	67.5715	35.1563	65.6575
36.6211	63.103	36.6211	64.3895	36.6211	69.4875	36.6211	67.6721
38.0859	65.3455	38.0859	66.5792	38.0859	71.3115	38.0859	69.575
39.5508	67.5738	39.5508	68.6988	39.5508	73.0499	39.5508	71.406
41.0156	69.8337	41.0156	70.8288	41.0156	74.7647	41.0156	73.231
42.4805	71.3263	42.4805	72.3032	42.4805	76.1113	42.4805	74.6114
43.9453	73.2888	43.9453	74.1909	43.9453	77.6833	43.9453	76.2732
45.4102	74.9635	45.4102	75.825	45.4102	79.0928	45.4102	77.7486
46.875	76.4914	46.875	77.3176	46.875	80.3879	46.875	79.1038
48.3398	77.9926	48.3398	78.7301	48.3398	81.5037	48.3398	80.318
51.2695	80.3359	51.2695	80.9686	51.2695	83.3566	51.2695	82.3056
52.7344	81.281	52.7344	81.8751	52.7344	84.1027	52.7344	83.1098
54.1992	82.0759	54.1992	82.6314	54.1992	84.7015	54.1992	83.7674
55.6641	82.7355	55.6641	83.2573	55.6641	85.188	55.6641	84.3071
