"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	58.4641	20.5078	58.3645	20.5078	59.7994	20.5078	62.8599	20.5078	35.484	20.5078	38.5445	20.5078	39.9794
21.9727	59.6614	21.9727	59.4741	21.9727	60.3467	21.9727	63.2264	21.9727	36.2271	21.9727	39.1068	21.9727	39.9794
23.4375	61.4288	23.4375	61.3425	23.4375	62.703	23.4375	65.6378	23.4375	35.6841	23.4375	38.6189	23.4375	39.9794
24.9023	62.9582	24.9023	62.8822	24.9023	64.1661	24.9023	66.9758	24.9023	35.8859	24.9023	38.6955	24.9023	39.9794
26.3672	65.0001	26.3672	64.9215	26.3672	65.8443	26.3672	68.2436	26.3672	36.6572	26.3672	39.0566	26.3672	39.9794
27.832	66.3389	27.832	66.2926	27.832	67.3594	27.832	69.771	27.832	36.501	27.832	38.9126	27.832	39.9794
29.2969	68.318	29.2969	68.2735	29.2969	69.0599	29.2969	71.0925	29.2969	37.1604	29.2969	39.193	29.2969	39.9794
30.7617	69.6575	30.7617	69.6371	30.7617	70.4845	30.7617	72.4695	30.7617	37.147	30.7617	39.132	30.7617	39.9794
32.2266	71.3005	32.2266	71.2896	32.2266	72.0465	32.2266	73.8403	32.2266	37.4287	32.2266	39.2225	32.2266	39.9794
33.6914	72.7368	33.6914	72.7375	33.6914	73.4653	33.6914	75.1416	33.6914	37.5753	33.6914	39.2516	33.6914	39.9794
35.1563	74.0842	35.1563	74.0913	35.1563	74.7624	35.1563	76.3042	35.1563	37.7665	35.1563	39.3083	35.1563	39.9794
36.6211	75.3862	36.6211	75.4002	36.6211	76.0342	36.6211	77.4674	36.6211	37.9122	36.6211	39.3454	36.6211	39.9794
38.0859	76.5333	38.0859	76.5519	38.0859	77.1468	38.0859	78.4773	38.0859	38.054	38.0859	39.3845	38.0859	39.9794
39.5508	77.5681	39.5508	77.5921	39.5508	78.1716	39.5508	79.4349	39.5508	38.1366	39.5508	39.3999	39.5508	39.9794
41.0156	78.5965	41.0156	78.6251	41.0156	79.1766	41.0156	80.3501	41.0156	38.2544	41.0156	39.4279	41.0156	39.9794
42.4805	79.5385	42.4805	79.5691	42.4805	80.0876	42.4805	81.1827	42.4805	38.3658	42.4805	39.4609	42.4805	39.9794
43.9453	80.2583	43.9453	80.291	43.9453	80.7821	43.9453	81.8084	43.9453	38.4619	43.9453	39.4883	43.9453	39.9794
45.4102	80.9712	45.4102	81.0057	45.4102	81.4729	45.4102	82.4359	45.4102	38.5491	45.4102	39.5122	45.4102	39.9794
46.875	81.5948	46.875	81.6319	46.875	82.0795	46.875	82.9736	46.875	38.6376	46.875	39.5317	46.875	39.9794
48.3398	82.0699	48.3398	82.1106	48.3398	82.5609	48.3398	83.4326	48.3398	38.6574	48.3398	39.529	48.3398	39.9794
51.2695	82.9836	51.2695	83.0249	51.2695	83.431	51.2695	84.199	51.2695	38.8053	51.2695	39.5733	51.2695	39.9794
52.7344	83.3094	52.7344	83.3542	52.7344	83.7661	52.7344	84.5199	52.7344	38.8137	52.7344	39.5674	52.7344	39.9794
54.1992	83.623	54.1992	83.6681	54.1992	84.0615	54.1992	84.7677	54.1992	38.8798	54.1992	39.586	54.1992	39.9794
55.6641	83.9471	55.6641	83.991	55.6641	84.3548	55.6641	85.0018	55.6641	38.9686	55.6641	39.6156	55.6641	39.9794
58.5938	84.5332	58.5938	84.5748	58.5938	84.8972	58.5938	85.4632	58.5938	39.091	58.5938	39.6571	58.5938	39.9794
60.0586	84.7384	60.0586	84.7803	60.0586	85.0918	60.0586	85.631	60.0586	39.1286	60.0586	39.6679	60.0586	39.9794
62.9883	85.0368	62.9883	85.0805	62.9883	85.3858	62.9883	85.8953	62.9883	39.1646	62.9883	39.674	62.9883	39.9794
64.4531	85.1815	64.4531	85.2261	64.4531	85.5286	64.4531	86.0244	64.4531	39.181	64.4531	39.6769	64.4531	39.9794
67.3828	85.4131	67.3828	85.4583	67.3828	85.7497	67.3828	86.2125	67.3828	39.2252	67.3828	39.688	67.3828	39.9794
68.8477	85.4763	68.8477	85.5219	68.8477	85.8087	68.8477	86.2576	68.8477	39.2437	68.8477	39.6926	68.8477	39.9794
71.7773	85.7332	71.7773	85.7774	71.7773	86.0406	71.7773	86.441	71.7773	39.3158	71.7773	39.7162	71.7773	39.9794
74.707	86.0721	74.707	86.1124	74.707	86.3342	74.707	86.6577	74.707	39.4341	74.707	39.7576	74.707	39.9794
77.6367	86.1987	77.6367	86.2399	77.6367	86.4589	77.6367	86.7633	77.6367	39.456	77.6367	39.7604	77.6367	39.9794
79.1016	86.225	79.1016	86.2656	79.1016	86.4766	79.1016	86.765	79.1016	39.48	79.1016	39.7684	79.1016	39.9794
82.0313	86.3026	82.0313	86.3417	82.0313	86.5359	82.0313	86.7945	82.0313	39.5266	82.0313	39.7851	82.0313	39.9794
84.9609	86.3988	84.9609	86.4373	84.9609	86.6232	84.9609	86.866	84.9609	39.5507	84.9609	39.7935	84.9609	39.9794
87.8906	86.4427	87.8906	86.4788	87.8906	86.6426	87.8906	86.8482	87.8906	39.6099	87.8906	39.8155	87.8906	39.9794
90.8203	86.4135	90.8203	86.4488	90.8203	86.6047	90.8203	86.7921	90.8203	39.6361	90.8203	39.8235	90.8203	39.9794
95.2148	86.5659	95.2148	86.5952	95.2148	86.6995	95.2148	86.7982	95.2148	39.7764	95.2148	39.8751	95.2148	39.9794
98.1445	86.5626	98.1445	86.5924	98.1445	86.7002	98.1445	86.806	98.1445	39.7658	98.1445	39.8716	98.1445	39.9794
101.074	86.5572	101.074	86.5862	101.074	86.6914	101.074	86.7916	101.074	39.774	101.074	39.8742	101.074	39.9794
105.469	86.4353	105.469	86.4576	105.469	86.516	105.469	86.545	105.469	39.8919	105.469	39.921	105.469	39.9794
108.398	86.5495	108.398	86.5693	108.398	86.611	108.398	86.617	108.398	39.9317	108.398	39.9377	108.398	39.9794
112.793	86.6055	112.793	86.6264	112.793	86.6711	112.793	86.672	112.793	39.9337	112.793	39.9347	112.793	39.9794
117.188	86.5914	117.188	86.6036	117.188	86.5997	117.188	86.5433	117.188	40.0397	117.188	39.9833	117.188	39.9794
120.117	86.5668	120.117	86.5777	120.117	86.5682	120.117	86.51	120.117	40.0471	120.117	39.9888	120.117	39.9794
124.512	86.5889	124.512	86.5991	124.512	86.5933	124.512	86.5501	124.512	40.0284	124.512	39.9852	124.512	39.9794
128.906	86.4617	128.906	86.4688	128.906	86.4449	128.906	86.3787	128.906	40.0695	128.906	40.0033	128.906	39.9794
133.301	86.34	133.301	86.3446	133.301	86.3092	133.301	86.2353	133.301	40.0887	133.301	40.0147	133.301	39.9794
139.16	86.1942	139.16	86.193	139.16	86.1255	139.16	86.0186	139.16	40.1538	139.16	40.0469	139.16	39.9794
143.555	86.1391	143.555	86.1311	143.555	86.0245	143.555	85.872	143.555	40.2385	143.555	40.086	143.555	39.9794
147.949	86.0619	147.949	86.0484	147.949	85.9039	147.949	85.7022	147.949	40.3256	147.949	40.1239	147.949	39.9794
153.809	86.0133	153.809	85.9939	153.809	85.8008	153.809	85.5202	153.809	40.4532	153.809	40.1725	153.809	39.9794
