"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	57.2462	20.5078	57.1	20.5078	57.6382	20.5078	59.8952	20.5078	47.1842	20.5078	49.4412	20.5078	49.9794
23.4375	59.5053	23.4375	59.3964	23.4375	60.6049	23.4375	63.4431	23.4375	45.9327	23.4375	48.7709	23.4375	49.9794
26.3672	63.2763	26.3672	63.2187	26.3672	64.3523	26.3672	66.8832	26.3672	46.3149	26.3672	48.8458	26.3672	49.9794
29.2969	66.8979	29.2969	66.8735	29.2969	67.9146	29.2969	70.1697	29.2969	46.6832	29.2969	48.9383	29.2969	49.9794
32.2266	70.7005	32.2266	70.7052	32.2266	71.6474	32.2266	73.6079	32.2266	47.0767	32.2266	49.0372	32.2266	49.9794
35.1563	74.4735	35.1563	74.4915	35.1563	75.2772	35.1563	76.9178	35.1563	47.5531	35.1563	49.1937	35.1563	49.9794
38.0859	77.7688	38.0859	77.7954	38.0859	78.4786	38.0859	79.8855	38.0859	47.8893	38.0859	49.2962	38.0859	49.9794
41.0156	80.4968	41.0156	80.5306	41.0156	81.1353	41.0156	82.3447	41.0156	48.1653	41.0156	49.3747	41.0156	49.9794
43.9453	82.3453	43.9453	82.3817	43.9453	82.9171	43.9453	83.9708	43.9453	48.3903	43.9453	49.4441	43.9453	49.9794
46.875	83.3778	46.875	83.4177	46.875	83.9078	46.875	84.8406	46.875	48.5564	46.875	49.4893	46.875	49.9794
49.8047	83.8681	49.8047	83.9099	49.8047	84.3601	49.8047	85.1916	49.8047	48.6977	49.8047	49.5293	49.8047	49.9794
52.7344	84.1497	52.7344	84.1927	52.7344	84.608	52.7344	85.3497	52.7344	48.8225	52.7344	49.5641	52.7344	49.9794
55.6641	84.3397	55.6641	84.3829	55.6641	84.7655	55.6641	85.4295	55.6641	48.9329	55.6641	49.5969	55.6641	49.9794
58.5938	84.529	58.5938	84.5726	58.5938	84.9289	58.5938	85.5271	58.5938	49.025	58.5938	49.6231	58.5938	49.9794
61.5234	84.6695	61.5234	84.7124	61.5234	85.0396	61.5234	85.5742	61.5234	49.1176	61.5234	49.6522	61.5234	49.9794
64.4531	84.8662	64.4531	84.9075	64.4531	85.2019	64.4531	85.6696	64.4531	49.2173	64.4531	49.6851	64.4531	49.9794
67.3828	85.1435	67.3828	85.1822	67.3828	85.4397	67.3828	85.84	67.3828	49.3216	67.3828	49.7219	67.3828	49.9794
70.3125	85.2951	70.3125	85.3338	70.3125	85.5812	70.3125	85.9549	70.3125	49.3583	70.3125	49.732	70.3125	49.9794
73.2422	85.5852	73.2422	85.624	73.2422	85.8626	73.2422	86.2087	73.2422	49.3947	73.2422	49.7409	73.2422	49.9794
76.1719	85.8465	76.1719	85.8835	76.1719	86.0973	76.1719	86.397	76.1719	49.4658	76.1719	49.7655	76.1719	49.9794
79.1016	85.9756	79.1016	86.0139	79.1016	86.2325	79.1016	86.5317	79.1016	49.4616	79.1016	49.7608	79.1016	49.9794
82.0313	86.323	82.0313	86.3558	82.0313	86.5264	82.0313	86.7441	82.0313	49.5912	82.0313	49.8088	82.0313	49.9794
84.9609	86.7242	84.9609	86.7463	84.9609	86.8225	84.9609	86.8812	84.9609	49.8445	84.9609	49.9032	84.9609	49.9794
87.8906	86.6238	87.8906	86.6597	87.8906	86.8406	87.8906	87.0626	87.8906	49.5765	87.8906	49.7985	87.8906	49.9794
