"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	57.3341	20.5078	57.5249	20.5078	65.2052	20.5078	63.0365
21.2402	58.2699	21.2402	58.362	21.2402	65.8885	21.2402	63.7455
21.9727	59.6158	21.9727	59.6939	21.9727	66.7188	21.9727	64.6481
22.7051	60.0191	22.7051	60.241	22.7051	67.3091	22.7051	65.2234
23.4375	61.5816	23.4375	61.8436	23.4375	68.1232	23.4375	66.16
24.1699	62.4002	24.1699	62.6085	24.1699	68.6461	24.1699	66.7289
25.6348	64.0628	25.6348	64.4092	25.6348	69.8531	25.6348	68.0376
26.3672	64.9591	26.3672	65.3071	26.3672	70.3805	26.3672	68.641
27.0996	65.7954	27.0996	66.1498	27.0996	70.9029	27.0996	69.2327
27.832	66.5518	27.832	66.9175	27.832	71.3856	27.832	69.7801
29.2969	68.018	29.2969	68.405	29.2969	72.3501	29.2969	70.8717
30.0293	68.518	30.0293	68.9102	30.0293	72.6867	30.0293	71.252
31.4941	69.7718	31.4941	70.1664	31.4941	73.4911	31.4941	72.1807
32.2266	70.2571	32.2266	70.6651	32.2266	73.8491	32.2266	72.5779
33.6914	71.2898	33.6914	71.7138	33.6914	74.6058	33.6914	73.4203
34.4238	71.9336	34.4238	72.3573	34.4238	75.0676	34.4238	73.9386
35.8887	72.9746	35.8887	73.3634	35.8887	75.7518	35.8887	74.7316
37.3535	73.7537	37.3535	74.1308	37.3535	76.3016	37.3535	75.3565
38.8184	74.4317	38.8184	74.8134	38.8184	76.83	38.8184	75.9379
39.5508	74.8588	39.5508	75.2419	39.5508	77.166	39.5508	76.3065
41.0156	75.6311	41.0156	75.9878	41.0156	77.7018	41.0156	76.9222
42.4805	76.1867	42.4805	76.5279	42.4805	78.1056	42.4805	77.379
43.9453	76.832	43.9453	77.1753	43.9453	78.6477	43.9453	77.9607
45.4102	77.4593	45.4102	77.7937	45.4102	79.1508	45.4102	78.5095
47.6074	78.3475	47.6074	78.6719	47.6074	79.8824	47.6074	79.3002
49.0723	78.8682	49.0723	79.1789	49.0723	80.2879	49.0723	79.7484
50.5371	79.3645	50.5371	79.6695	50.5371	80.7056	50.5371	80.1965
52.7344	80.1071	52.7344	80.4007	52.7344	81.3252	52.7344	80.8637
54.1992	80.5937	54.1992	80.8765	54.1992	81.7253	54.1992	81.297
56.3965	81.297	56.3965	81.5717	56.3965	82.3351	56.3965	81.944
58.5938	82.0127	58.5938	82.2731	58.5938	82.944	58.5938	82.5946
60.0586	82.4204	60.0586	82.6666	60.0586	83.268	60.0586	82.951
62.2559	82.9951	62.2559	83.2282	62.2559	83.7519	62.2559	83.4709
64.4531	83.5941	64.4531	83.8174	64.4531	84.2766	64.4531	84.0257
66.6504	84.0789	66.6504	84.2805	66.6504	84.6478	66.6504	84.4414
69.5801	84.8139	69.5801	84.9993	69.5801	85.2961	69.5801	85.1243
71.7773	85.2097	71.7773	85.3933	71.7773	85.6591	71.7773	85.5016
73.9746	85.7164	73.9746	85.8839	73.9746	86.0762	73.9746	85.9551
76.9043	86.1404	76.9043	86.3034	76.9043	86.4619	76.9043	86.3572
79.834	86.5592	79.834	86.7154	79.834	86.8481	79.834	86.7565
82.7637	87.0882	82.7637	87.1832	82.7637	87.129	82.7637	87.1363
85.6934	87.441	85.6934	87.512	85.6934	87.3521	85.6934	87.4143
88.623	87.4261	88.623	87.5786	88.623	87.6286	88.623	87.576
91.5527	87.4646	91.5527	87.6593	91.5527	87.8593	91.5527	87.7297
94.4824	87.8787	94.4824	87.9376	94.4824	87.8204	94.4824	87.8646
98.1445	88.0643	98.1445	88.0999	98.1445	87.8528	98.1445	87.9641
101.807	88.0616	101.807	88.0967	101.807	87.8816	101.807	87.9775
