Freq[Hz]     dBSPL  Phase[Deg]
5.00000     64.178     0.000
5.07273     64.260     0.000
5.14651     64.341     0.000
5.22137     64.423     0.000
5.29732     64.504     0.000
5.37437     64.586     0.000
5.45254     64.667     0.000
5.53185     64.749     0.000
5.61231     64.831     0.000
5.69394     64.912     0.000
5.77676     64.994     0.000
5.86079     65.075     0.000
5.94604     65.157     0.000
6.03252     65.239     0.000
6.12027     65.320     0.000
6.20929     65.402     0.000
6.29961     65.483     0.000
6.39124     65.565     0.000
6.48420     65.646     0.000
6.57851     65.728     0.000
6.67420     65.810     0.000
6.77128     65.891     0.000
6.86977     65.973     0.000
6.96969     66.054     0.000
7.07107     66.136     0.000
7.17392     66.217     0.000
7.27827     66.299     0.000
7.38413     66.381     0.000
7.49154     66.462     0.000
7.60050     66.544     0.000
7.71105     66.625     0.000
7.82321     66.707     0.000
7.93701     66.788     0.000
8.05245     66.870     0.000
8.16958     66.952     0.000
8.28841     67.033     0.000
8.40896     67.115     0.000
8.53128     67.196     0.000
8.65537     67.278     0.000
8.78126     67.360     0.000
8.90899     67.441     0.000
9.03857     67.523     0.000
9.17004     67.604     0.000
9.30342     67.686     0.000
9.43874     67.767     0.000
9.57603     67.849     0.000
9.71532     67.931     0.000
9.85663     68.012     0.000
10.0000     68.094     0.000
10.1455     68.175     0.000
10.2930     68.257     0.000
10.4427     68.338     0.000
10.5946     68.420     0.000
10.7487     68.502     0.000
10.9051     68.583     0.000
11.0637     68.665     0.000
11.2246     68.746     0.000
11.3879     68.828     0.000
11.5535     68.910     0.000
11.7216     68.991     0.000
11.8921     69.073     0.000
12.0650     69.154     0.000
12.2405     69.236     0.000
12.4186     69.317     0.000
12.5992     69.399     0.000
12.7825     69.481     0.000
12.9684     69.562     0.000
13.1570     69.644     0.000
13.3484     69.725     0.000
13.5426     69.807     0.000
13.7395     69.888     0.000
13.9394     69.970     0.000
14.1421     70.052     0.000
14.3478     70.133     0.000
14.5565     70.215     0.000
14.7683     70.296     0.000
14.9831     70.378     0.000
15.2010     70.459     0.000
15.4221     70.541     0.000
15.6464     70.623     0.000
15.8740     70.704     0.000
16.1049     70.786     0.000
16.3392     70.867     0.000
16.5768     70.949     0.000
16.8179     71.031     0.000
17.0626     71.112     0.000
17.3107     71.194     0.000
17.5625     71.275     0.000
17.8180     71.357     0.000
18.0771     71.438     0.000
18.3401     71.520     0.000
18.6068     71.602     0.000
18.8775     71.683     0.000
19.1521     71.765     0.000
19.4306     71.846     0.000
19.7133     71.928     0.000
20.0000     72.009     0.000
20.2909     72.091     0.000
20.5860     72.173     0.000
20.8855     72.233     0.000
21.1893     72.293     0.000
21.4975     72.353     0.000
21.8102     72.413     0.000
22.1274     72.473     0.000
22.4492     72.533     0.000
22.7758     72.593     0.000
23.1071     72.653     0.000
23.4432     72.715     0.000
23.7841     72.834     0.000
24.1301     72.953     0.000
24.4811     73.073     0.000
24.8372     73.192     0.000
25.1984     73.312     0.000
25.5649     73.431     0.000
25.9368     73.551     0.000
26.3141     73.670     0.000
26.6968     73.826     0.000
27.0851     73.989     0.000
27.4791     74.151     0.000
27.8788     74.313     0.000
28.2843     74.475     0.000
28.6957     74.638     0.000
29.1131     74.800     0.000
29.5365     74.980     0.000
29.9661     75.173     0.000
30.4020     75.366     0.000
30.8442     75.559     0.000
31.2929     75.752     0.000
31.7480     75.945     0.000
32.2098     76.138     0.000
32.6783     76.349     0.000
33.1536     76.561     0.000
33.6359     76.773     0.000
34.1251     76.984     0.000
34.6215     77.196     0.000
35.1250     77.408     0.000
35.6359     77.626     0.000
36.1543     77.846     0.000
36.6802     78.065     0.000
37.2137     78.284     0.000
37.7550     78.503     0.000
