* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\2-LW.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:39:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\2-LW.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 2-LW
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	55.316715	-31.7079
20.144928	55.615231	-32.8773
20.290907	55.913734	-34.1848
20.437943	56.233021	-35.7451
20.586044	56.509830	-37.4348
20.735220	56.680828	-39.2836
20.885475	56.766945	-40.9463
21.036821	56.727566	-42.0327
21.189262	56.684021	-42.7064
21.342808	56.778603	-42.9565
21.497467	56.908836	-42.9192
21.653246	56.998749	-42.7764
21.810154	57.109829	-42.3807
21.968201	57.251209	-41.4675
22.127390	57.504639	-40.5679
22.287735	58.046162	-40.2109
22.449242	58.602596	-40.1420
22.611917	58.866650	-40.3494
22.775772	59.114655	-40.6297
22.940815	59.562859	-40.6071
23.107054	60.086277	-40.7855
23.274498	60.648220	-41.6059
23.443153	61.198284	-42.8850
23.613033	61.675701	-44.6945
23.784142	62.074696	-46.7072
23.956491	62.335781	-48.5956
24.130091	62.559742	-50.4309
24.304947	62.857262	-52.1568
24.481071	63.139656	-53.8298
24.658470	63.333378	-55.5066
24.837156	63.502766	-57.1308
25.017136	63.711758	-58.7040
25.198421	63.888847	-60.1077
25.381020	63.937214	-61.1902
25.564941	63.995914	-62.0523
25.750195	64.208366	-62.6617
25.936790	64.465675	-63.2672
26.124741	64.717613	-64.2302
26.314051	64.930740	-65.1817
26.504732	65.005714	-65.8329
26.696796	65.089859	-66.3005
26.890253	65.337364	-66.5313
27.085112	65.629654	-66.7497
27.281382	65.903610	-67.2916
27.479073	66.145714	-67.7705
27.678198	66.270256	-67.8634
27.878765	66.430702	-67.7124
28.080786	66.773865	-67.1862
28.284271	67.235283	-66.7843
28.489231	67.828445	-66.9639
28.695675	68.465118	-67.7245
28.903616	69.079109	-69.3707
29.113064	69.617310	-71.4429
29.324028	69.949669	-73.5563
29.536524	70.240639	-75.7863
29.750557	70.667397	-78.0652
29.966141	71.063606	-80.4403
30.183289	71.287483	-83.0257
30.402010	71.440834	-85.5539
30.622314	71.583527	-87.7788
30.844217	71.700867	-89.7478
31.067726	71.780388	-91.3875
31.292856	71.874817	-92.8160
31.519617	72.049110	-94.0818
31.748020	72.254738	-95.3195
31.978081	72.470238	-96.7216
32.209808	72.678734	-98.1631
32.443211	72.843605	-99.5889
32.678310	73.002777	-100.9802
32.915108	73.182327	-102.2492
33.153625	73.381737	-103.5473
33.393871	73.630157	-105.0322
33.635857	73.864662	-106.5985
33.879597	74.010620	-108.2183
34.125103	74.131836	-109.8159
34.372387	74.279045	-111.2985
34.621464	74.417809	-112.6900
34.872345	74.519623	-113.9990
35.125042	74.616882	-115.1786
35.379574	74.726288	-116.1272
35.635948	74.866798	-117.0169
35.894180	75.085381	-118.0012
36.154285	75.314682	-119.0364
36.416275	75.476265	-120.1034
36.680161	75.649704	-121.2811
36.945961	75.935631	-122.6946
37.213688	76.193680	-124.1868
37.483353	76.264122	-125.6802
37.754974	76.303925	-127.0590
38.028561	76.440529	-128.1074
38.304131	76.604774	-129.0468
38.581699	76.763458	-130.0356
38.861279	76.934731	-131.0494
39.142883	77.132706	-132.1070
39.426529	77.336731	-133.2364
39.712231	77.537163	-134.5246
40.000000	77.714760	-135.8141
40.289856	77.821541	-136.9556
40.581814	77.933815	-138.0116
40.875885	78.129997	-138.9418
41.172089	78.356651	-139.9065
41.470440	78.592934	-141.1084
41.770950	78.818642	-142.3809
42.073643	78.980125	-143.5869
42.378525	79.156708	-144.8382
42.685616	79.435081	-146.1291
42.994934	79.740562	-147.6755
43.306492	80.056824	-149.8411
43.620308	80.294739	-152.1794
43.936401	80.296867	-154.3728
44.254780	80.251053	-156.3940
44.575470	80.331787	-158.0435
44.898483	80.423866	-159.5217
45.223835	80.449356	-160.9866
45.551544	80.468956	-162.3680
45.881630	80.532341	-163.6412
46.214108	80.595917	-164.8272
46.548996	80.621468	-165.9561
46.886307	80.641960	-166.9765
47.226067	80.682861	-167.8542
47.568283	80.728920	-168.5679
47.912983	80.752190	-169.0334
48.260181	80.815842	-169.4054
48.609894	81.001656	-169.7831
48.962143	81.226646	-170.2502
49.316940	81.423119	-170.9480
49.674313	81.625664	-171.8025
50.034271	81.856888	-172.7844
50.396843	82.085663	-173.8992
50.762039	82.287376	-175.1872
51.129883	82.464714	-176.5147
51.500389	82.594093	-177.7299
51.873581	82.729736	-178.9259
52.249481	82.934258	179.9022
52.628101	83.159622	178.6113
53.009464	83.391006	177.0043
53.393593	83.590706	175.2481
53.780506	83.705788	173.3762
54.170223	83.766937	171.5948
54.562763	83.771446	170.1230
54.958145	83.766991	168.9556
55.356396	83.781799	168.2849
55.757530	83.871765	167.7359
56.161572	84.143730	167.0497
56.568542	84.473442	166.0670
56.978462	84.777878	164.4315
57.391350	85.038589	162.4758
57.807232	85.188156	160.3893
58.226128	85.290840	158.2487
58.648056	85.399712	156.1919
59.073048	85.481903	154.2231
59.501114	85.502968	152.4040
59.932281	85.519951	150.7000
60.366577	85.587418	149.1555
60.804020	85.678825	147.5947
61.244629	85.802170	145.8169
61.688435	85.907852	143.9403
62.135452	85.935684	141.9698
62.585712	85.925049	140.0472
63.039234	85.888390	138.3436
63.496040	85.847069	136.7765
63.956161	85.833458	135.3361
64.419617	85.827011	133.9734
64.886421	85.816521	132.6283
65.356621	85.806023	131.3243
65.830215	85.795959	130.0651
66.307251	85.786026	128.8503
66.787743	85.774895	127.6835
67.271713	85.766006	126.5580
67.759193	85.763748	125.4659
68.250206	85.764000	124.4138
68.744774	85.759254	123.4160
69.242928	85.763977	122.4417
69.744690	85.794678	121.4846
70.250084	85.837906	120.4860
70.759148	85.892532	119.3615
71.271896	85.937935	118.1802
71.788361	85.944260	116.9747
72.308571	85.938019	115.7722
72.832550	85.943314	114.5988
73.360321	85.938026	113.4910
73.891922	85.890282	112.5231
74.427376	85.853043	111.6087
74.966705	85.893402	110.6827
75.509949	85.937950	109.7537
76.057121	85.913567	108.7965
76.608261	85.885040	107.8489
77.163399	85.908134	106.9591
77.722557	85.937950	106.0708
78.285767	85.941315	105.1258
78.853058	85.938004	104.1769
79.424461	85.938004	103.2685
80.000000	85.938004	102.3677
80.579712	85.943436	101.4338
81.163628	85.938034	100.5337
81.751770	85.894600	99.7238
82.344177	85.851074	98.9944
82.940880	85.845558	98.3607
83.541901	85.850990	97.8030
84.147285	85.834763	97.3576
84.757050	85.850914	96.8720
85.371231	85.980721	96.1861
85.989868	86.110779	95.3578
86.612984	86.127258	94.3319
87.240616	86.111046	93.2890
87.872803	86.109810	92.4225
88.509560	86.110992	91.6415
89.150940	86.110802	90.9533
89.796967	86.129936	90.2555
90.447670	86.208511	89.4325
91.103088	86.284874	88.5299
91.763260	86.294701	87.5239
92.428215	86.285027	86.5090
93.097992	86.285004	85.5926
93.772614	86.284996	84.7137
94.452133	86.285004	83.8477
95.136566	86.285011	82.9917
95.825966	86.285004	82.1411
96.520363	86.285004	81.2768
97.219788	86.292252	80.3541
97.924286	86.285042	79.4468
98.633881	86.230751	78.6089
99.348625	86.169113	77.8574
100.068542	86.132805	77.2566
100.793686	86.111031	76.7183
101.524078	86.107376	76.1678
102.259766	86.110977	75.6273
103.000778	86.104378	75.1115
103.747162	86.110970	74.5691
104.498962	86.159645	73.9705
105.256203	86.216911	73.2644
106.018929	86.268440	72.3204
106.787186	86.285027	71.3458
107.561012	86.202415	70.5164
108.340446	86.111122	69.7990
109.125526	86.100121	69.2654
109.916290	86.110977	68.7749
110.712791	86.111000	68.1888
111.515060	86.111000	67.5723
112.323143	86.111000	66.9519
113.137085	86.111000	66.3063
113.956924	86.120056	65.5789
114.782700	86.111061	64.9016
115.614464	86.024185	64.4646
116.452255	85.966049	64.0389
117.296112	86.084679	63.4297
118.146095	86.197845	62.7196
119.002228	86.121002	61.8540
119.864563	86.006287	61.0499
120.733154	85.960075	60.5850
121.608040	85.938026	60.2247
122.489258	85.933746	59.8141
123.376869	85.937988	59.3861
124.270905	85.938004	58.9147
125.171425	85.938011	58.4239
126.078468	85.938004	57.9258
126.992081	85.938004	57.4310
127.912323	85.930321	56.9944
128.839233	85.937965	56.4961
129.772842	86.012482	55.7747
130.713242	86.060959	55.0085
131.660431	85.963844	54.3087
132.614502	85.851265	53.7175
133.575485	85.833557	53.4016
134.543427	85.852943	53.0986
135.518387	85.899170	52.5648
136.500412	85.937950	51.9053
137.489548	85.929558	51.0796
138.485855	85.880173	50.2838
139.489380	85.763535	49.7046
140.500168	85.637260	49.3315
141.518295	85.549973	49.2818
142.543793	85.503052	49.3568
143.576721	85.523224	49.4355
144.617142	85.582840	49.4003
145.665100	85.683701	49.0202
146.720642	85.763847	48.5134
147.783844	85.725761	48.0201
148.854752	85.677094	47.5462
149.933411	85.716248	47.1964
151.019897	85.775848	46.8120
152.114243	85.819588	46.2321
153.216522	85.850945	45.5639
154.326797	85.858559	44.8525
155.445114	85.851028	44.1266
156.571533	85.830612	43.4463
157.706116	85.805054	42.7635
158.848923	85.797974	42.0014
160.000000	85.764137	41.3065
161.159424	85.631264	40.8239
162.327255	85.503227	40.4836
163.503540	85.486671	40.3185
164.688354	85.502960	40.1644
165.881760	85.502998	39.8438
167.083801	85.502998	39.4282
168.294571	85.513802	38.8923
169.514099	85.503067	38.3512
170.742462	85.416733	37.9272
171.979736	85.330193	37.5759
173.225967	85.319183	37.3411
174.481232	85.329964	37.0787
175.745605	85.340866	36.5974
177.019119	85.330070	36.0802
178.301880	85.243233	35.6724
179.593933	85.156181	35.2989
180.895340	85.155670	34.9443
182.206177	85.156029	34.5729
183.526520	85.088257	34.0723
184.856430	84.987259	33.6567
186.195984	84.844261	33.5706
187.545227	84.722221	33.6138
188.904266	84.716225	33.6650
190.273132	84.722015	33.7299
191.651932	84.641174	33.7273
193.040726	84.549240	33.7976
194.439575	84.489380	34.1165
195.848572	84.462013	34.4999
197.267761	84.494560	34.8268
198.697250	84.548866	35.0805
200.137085	84.591904	35.1850
201.587372	84.634895	35.1981
203.048157	84.680634	35.1428
204.519531	84.721886	35.0473
206.001556	84.744629	34.9608
207.494324	84.771919	34.8433
208.997925	84.833595	34.6703
