* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\13-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 3:31:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\13-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 13-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	57.223850	178.6774
20.144928	57.380852	178.2103
20.290907	57.537857	177.7274
20.437943	57.695133	177.2261
20.586044	57.850891	176.7044
20.735220	58.004120	176.1562
20.885475	58.152828	175.5907
21.036821	58.294209	175.0164
21.189262	58.429836	174.4287
21.342808	58.570526	173.7747
21.497467	58.685886	173.2076
21.653246	58.715466	172.8909
21.810154	58.759903	172.7431
21.968201	58.915577	172.8489
22.127390	59.135731	172.8721
22.287735	59.441719	172.4059
22.449242	59.724804	171.7446
22.611917	59.831860	171.0268
22.775772	59.916878	170.3148
22.940815	60.115097	169.7706
23.107054	60.330727	169.2337
23.274498	60.497089	168.5659
23.443153	60.660770	167.8619
23.613033	60.840672	167.2574
23.784142	61.053799	166.4938
23.956491	61.370884	165.2811
24.130091	61.649738	163.8467
24.304947	61.725395	162.2366
24.481071	61.736004	160.7059
24.658470	61.763634	159.6313
24.837156	61.812904	158.6953
25.017136	61.942333	157.6880
25.198421	62.071884	156.6591
25.381020	62.116844	155.5730
25.564941	62.148964	154.4760
25.750195	62.231716	153.4092
25.936790	62.305927	152.3523
26.124741	62.319809	151.2737
26.314051	62.314014	150.2494
26.504732	62.314499	149.3633
26.696796	62.313999	148.5609
26.890253	62.313999	147.8164
27.085112	62.313999	147.1277
27.281382	62.313999	146.4857
27.479073	62.313999	145.8868
27.678198	62.313999	145.3250
27.878765	62.313999	144.7997
28.080786	62.313999	144.3088
28.284271	62.313999	143.8516
28.489231	62.313999	143.4272
28.695675	62.313995	143.0335
28.903616	62.313999	142.6676
29.113064	62.313999	142.3304
29.324028	62.313999	142.0223
29.536524	62.314003	141.7433
29.750557	62.313999	141.4941
