* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:53:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 4-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	59.718845	-164.9767
20.144928	59.878349	-165.2935
20.290907	60.037857	-165.6187
20.437943	60.197819	-165.9503
20.586044	60.357887	-166.2938
20.735220	60.517925	-166.6495
20.885475	60.677814	-167.0315
21.036821	60.842304	-167.4710
21.189262	60.996819	-167.9174
21.342808	61.118793	-168.3244
21.497467	61.236847	-168.7106
21.653246	61.385555	-169.1016
21.810154	61.524830	-169.4306
21.968201	61.598785	-169.6042
22.127390	61.688873	-169.7269
22.287735	61.892677	-169.8676
22.449242	62.106842	-170.0408
22.611917	62.236008	-170.3311
22.775772	62.352856	-170.5977
22.940815	62.494167	-170.6384
23.107054	62.672733	-170.7218
23.274498	62.952236	-171.1083
23.443153	63.216679	-171.6232
23.613033	63.327217	-172.2110
23.784142	63.414917	-172.7725
23.956491	63.585262	-173.1243
24.130091	63.777775	-173.4646
24.304947	63.966831	-173.9587
24.481071	64.152756	-174.5242
24.658470	64.320015	-175.1084
24.837156	64.490753	-175.7870
25.017136	64.708313	-176.6773
25.198421	64.893837	-177.6031
25.381020	64.934860	-178.3918
25.564941	64.974930	-179.1473
25.750195	65.170021	-179.8804
25.936790	65.371773	179.3021
26.124741	65.463226	178.2087
26.314051	65.504959	177.0826
26.504732	65.524185	176.0801
26.696796	65.505051	175.2728
26.890253	65.418114	174.8018
27.085112	65.331093	174.6151
27.281382	65.314690	174.7437
27.479073	65.330956	175.0795
27.678198	65.352631	175.5551
27.878765	65.417870	176.0782
28.080786	65.575874	176.5466
28.284271	65.766724	176.9216
28.489231	65.935883	177.1212
28.695675	66.115738	177.1730
28.903616	66.333244	177.0741
29.113064	66.550705	176.8344
29.324028	66.727592	176.4698
29.536524	66.898796	175.9607
29.750557	67.107216	175.2720
29.966141	67.288818	174.4659
30.183289	67.379799	173.5372
30.402010	67.421974	172.6540
30.622314	67.430313	171.9956
30.844217	67.422012	171.5244
31.067726	67.416557	171.2955
31.292856	67.421974	171.2100
31.519617	67.465431	171.1701
31.748020	67.508957	171.2278
31.978081	67.509010	171.3816
32.209808	67.508987	171.6965
32.443211	67.530701	172.3040
32.678310	67.595879	173.0041
32.915108	67.755020	173.6504
33.153625	67.943764	174.2114
33.393871	68.111519	174.5391
33.635857	68.266777	174.8365
33.879597	68.372025	175.3433
34.125103	68.514755	175.8044
34.372387	68.825844	176.0208
34.621464	69.138573	176.0621
34.872345	69.289337	175.8345
35.125042	69.397881	175.6312
35.379574	69.513466	175.8754
35.635948	69.685745	176.0859
35.894180	70.053802	175.8358
36.154285	70.398567	175.3798
36.416275	70.471573	174.7661
36.680161	70.497940	174.1898
36.945961	70.657982	173.9569
37.213688	70.840729	173.7843
37.483353	70.987419	173.4452
37.754974	71.119812	173.0726
38.028561	71.241341	172.7189
38.304131	71.348869	172.4014
38.581699	71.439438	172.1361
38.861279	71.515892	171.9792
39.142883	71.569984	172.0093
39.426529	71.631912	172.1747
39.712231	71.736031	172.4736
40.000000	71.861794	172.8344
40.289856	72.003654	173.1567
40.581814	72.150795	173.5254
40.875885	72.271317	174.0358
41.172089	72.422722	174.5582
41.470440	72.681488	174.9934
41.770950	72.959549	175.3445
42.073643	73.167175	175.5804
42.378525	73.384674	175.7049
42.685616	73.687691	175.7372
42.994934	74.001564	175.6003
43.306492	74.270691	175.1823
43.620308	74.512657	174.6060
43.936401	74.733749	173.9131
44.254780	74.912766	173.2370
44.575470	75.006554	172.7372
44.898483	75.086861	172.3774
45.223835	75.229767	172.1940
45.551544	75.379784	172.1281
45.881630	75.491402	172.1328
46.214108	75.609802	172.2078
46.548996	75.781723	172.3305
46.886307	75.957733	172.5206
47.226067	76.088295	172.7660
47.568283	76.219772	173.1403
47.912983	76.381630	173.7350
48.260181	76.575638	174.4856
48.609894	76.796097	175.4558
48.962143	77.094467	176.3508
49.316940	77.569580	176.8814
49.674313	78.074211	177.0919
50.034271	78.460548	176.8803
50.396843	78.827438	176.3979
50.762039	79.248947	175.7702
51.129883	79.653328	174.9745
51.500389	79.983582	173.9567
51.873581	80.268539	172.9347
52.249481	80.493927	172.1758
52.628101	80.732567	171.4811
53.009464	81.088432	170.7508
53.393593	81.454399	169.9515
53.780506	81.737427	168.9631
54.170223	81.997581	167.9467
54.562763	82.268318	167.0294
54.958145	82.537575	166.1932
55.356396	82.792259	165.4662
55.757530	83.068512	164.8370
56.161572	83.373367	164.5018
56.568542	83.781212	163.8665
56.978462	84.481567	162.2672
57.391350	85.136963	160.1035
57.807232	85.372345	157.3908
58.226128	85.485832	154.6236
58.648056	85.682243	152.4126
59.073048	85.871696	150.4281
59.501114	86.022751	148.5016
59.932281	86.162758	146.7549
60.366577	86.282188	145.3803
60.804020	86.460609	144.0015
61.244629	86.839371	142.2931
61.688435	87.224388	140.2897
62.135452	87.441139	137.7496
62.585712	87.569847	135.1793
63.039234	87.589417	133.1400
63.496040	87.630859	131.2321
63.956161	87.886642	129.2596
64.419617	88.152580	127.1659
64.886421	88.252762	124.7099
65.356621	88.291962	122.2493
65.830215	88.307785	120.1391
66.307251	88.327942	118.1497
66.787743	88.417084	116.1624
67.271713	88.501877	114.1965
67.759193	88.512878	112.1907
68.250206	88.502022	110.2703
68.744774	88.491127	108.6056
69.242928	88.501945	107.0017
69.744690	88.588837	105.3084
70.250084	88.675858	103.5604
70.759148	88.686882	101.7063
71.271896	88.676041	99.8553
71.788361	88.676003	98.1256
72.308571	88.676003	96.4411
72.832550	88.676003	94.7737
73.360321	88.676010	93.0971
73.891922	88.685310	91.3467
74.427376	88.676048	89.6113
74.966705	88.603210	87.9777
75.509949	88.527130	86.3879
76.057121	88.518822	84.8091
76.608261	88.502060	83.2511
77.163399	88.405289	81.6736
77.722557	88.284241	80.1948
78.285767	88.172470	78.9450
78.853058	88.066200	77.8480
79.424461	87.968483	76.9001
80.000000	87.892120	76.0126
80.579712	87.865601	75.0840
81.163628	87.845047	74.1488
81.751770	87.778702	73.2198
82.344177	87.718094	72.2620
82.940880	87.723236	71.2265
83.541901	87.718048	70.1681
84.147285	87.621346	69.0996
84.757050	87.507217	68.0988
85.371231	87.431702	67.2881
85.989868	87.369118	66.5475
86.612984	87.316040	65.7769
87.240616	87.261124	65.0364
87.872803	87.182846	64.3584
88.509560	87.108147	63.7262
89.150940	87.064949	63.1396
89.796967	87.029068	62.5821
90.447670	86.976662	62.0515
91.103088	86.934067	61.5052
91.763260	86.937798	60.8789
92.428215	86.934036	60.2353
93.097992	86.862793	59.5896
93.772614	86.778160	59.0210
94.452133	86.715355	58.6544
95.136566	86.672066	58.3686
95.825966	86.665367	58.0772
96.520363	86.671989	57.7986
97.219788	86.661507	57.5449
97.924286	86.671936	57.2487
98.633881	86.749947	56.8564
99.348625	86.839821	56.3382
100.068542	86.897392	55.5987
100.793686	86.933937	54.7801
101.524078	86.933632	54.0231
102.259766	86.933983	53.2380
103.000778	86.990120	52.3617
103.747162	87.033943	51.4518
104.498962	86.990349	50.5329
105.256203	86.934097	49.6416
106.018929	86.927742	48.8736
106.787186	86.933983	48.0766
107.561012	86.950363	47.0630
108.340446	86.934067	46.0326
109.125526	86.814102	45.1034
109.916290	86.672249	44.3372
110.712791	86.568802	43.9079
111.515060	86.498100	43.5976
112.323143	86.487122	43.2601
113.137085	86.497971	42.8510
113.956924	86.508873	42.2176
114.782700	86.498077	41.5387
115.614464	86.411209	40.9661
116.452255	86.324135	40.4309
117.296112	86.323975	39.9130
118.146095	86.324028	39.4160
119.002228	86.237343	38.9357
119.864563	86.150192	38.4762
120.733154	86.148857	38.0394
121.608040	86.148033	37.6278
122.489258	86.062080	37.2359
123.376869	85.976166	36.8898
124.270905	85.965240	36.6544
125.171425	85.975975	36.4085
126.078468	85.975998	36.0341
126.992081	85.975998	35.5830
127.912323	85.979118	35.0668
128.839233	85.976013	34.4882
129.772842	85.958862	33.8441
130.713242	85.926079	33.1644
131.660431	85.878975	32.4348
132.614502	85.801262	31.7836
133.575485	85.654793	31.3454
134.543427	85.506248	31.0883
135.518387	85.417686	31.0930
136.500412	85.366058	31.1549
137.489548	85.368111	31.0484
138.485855	85.366035	30.9153
139.489380	85.279205	30.8192
140.500168	85.192162	30.7720
141.518295	85.181114	30.8448
142.543793	85.191963	30.9229
143.576721	85.192001	30.8902
144.617142	85.192001	30.8192
145.665100	85.192001	30.7377
146.720642	85.191994	30.6652
147.783844	85.184509	30.6547
148.854752	85.191948	30.6331
149.933411	85.248459	30.5397
151.019897	85.311859	30.3884
152.114243	85.335556	30.1852
153.216522	85.365883	29.8940
154.326797	85.456139	29.4735
155.445114	85.539848	28.9453
156.571533	85.550888	28.2956
157.706116	85.540031	27.5896
158.848923	85.550865	26.8776
160.000000	85.540062	26.1915
161.159424	85.464088	25.5510
162.327255	85.366226	25.0449
163.503540	85.268318	24.8209
164.688354	85.192131	24.7241
165.881760	85.181114	24.6652
167.083801	85.191956	24.5933
168.294571	85.192001	24.4083
169.514099	85.192009	24.1696
170.742462	85.192001	23.9074
171.979736	85.192001	23.6108
173.225967	85.192001	23.2902
174.481232	85.192001	22.9120
175.745605	85.205307	22.3979
177.019119	85.192085	21.8911
178.301880	85.088837	21.5141
179.593933	84.979240	21.2515
180.895340	84.941559	21.1835
182.206177	84.930016	21.1451
183.526520	84.929558	20.9680
184.856430	84.925034	20.7405
186.195984	84.889221	20.4863
187.545227	84.843109	20.2346
188.904266	84.805351	20.0044
190.273132	84.756142	19.8502
191.651932	84.663803	19.8540
193.040726	84.582176	19.9526
194.439575	84.571114	20.1372
195.848572	84.581963	20.3265
197.267761	84.582001	20.4119
198.697250	84.582001	20.4649
200.137085	84.582001	20.5143
201.587372	84.581993	20.5828
203.048157	84.572945	20.7312
204.519531	84.581932	20.8737
206.001556	84.647049	20.9615
207.494324	84.726807	20.9432
208.997925	84.794922	20.7054
210.512405	84.842926	20.3848
212.037857	84.841278	20.0781
213.574371	84.827034	19.7947
215.122025	84.833984	19.5873
216.680893	84.842979	19.4214
218.251053	84.838570	19.2941
219.832581	84.842972	19.1614
221.425583	84.886375	18.9742
223.030121	84.929909	18.7456
224.646286	84.935440	18.4534
226.274170	84.930016	18.1547
227.913849	84.930000	17.9109
229.565399	84.930008	17.6885
231.228928	84.930000	17.4736
232.904510	84.930000	17.2686
234.592224	84.930000	17.0714
236.292191	84.930000	16.8815
238.004456	84.930000	16.6975
239.729126	84.930000	16.5215
241.466309	84.930000	16.3545
