Freq[Hz]     dBSPL  Phase[Deg]
2.0507813e+01 6.0021520e+01 -8.8426913e+01 
2.1240234e+01 6.0863494e+01 -9.8216117e+01 
2.1972656e+01 6.2549783e+01 -1.0298036e+02 
2.2705078e+01 6.3890294e+01 -1.1338566e+02 
2.4169922e+01 6.6378548e+01 -1.3329232e+02 
2.4902344e+01 6.7371657e+01 -1.4489225e+02 
2.5634766e+01 6.7819375e+01 -1.5697676e+02 
2.7099609e+01 7.0339074e+01 -1.7227886e+02 
2.7832031e+01 7.1737277e+01 1.7620641e+02 
2.9296875e+01 7.4412593e+01 1.4747912e+02 
3.0029297e+01 7.5064736e+01 1.3375059e+02 
3.1494141e+01 7.6280552e+01 1.0731594e+02 
3.2226563e+01 7.6688963e+01 9.3999822e+01 
3.3691406e+01 7.7254604e+01 6.9753927e+01 
3.5156250e+01 7.7718054e+01 4.7117475e+01 
3.6621094e+01 7.7977168e+01 2.5484796e+01 
3.8085938e+01 7.8098229e+01 5.4049114e+00 
3.9550781e+01 7.8138731e+01 -1.2729896e+01 
4.1015625e+01 7.8236539e+01 -3.0255452e+01 
4.2480469e+01 7.7991707e+01 -4.7846752e+01 
4.3945313e+01 7.7911786e+01 -6.3376320e+01 
4.6142578e+01 7.7806015e+01 -8.5281323e+01 
4.7607422e+01 7.7693782e+01 -9.8770295e+01 
4.9804688e+01 7.7645411e+01 -1.1850835e+02 
5.1269531e+01 7.7533204e+01 -1.3094119e+02 
5.3466797e+01 7.7503970e+01 -1.4852063e+02 
5.5664063e+01 7.7556977e+01 -1.6633136e+02 
5.7861328e+01 7.7448846e+01 1.7563149e+02 
6.0058594e+01 7.7127692e+01 1.5749492e+02 
6.2255859e+01 7.7086998e+01 1.4140722e+02 
6.5185547e+01 7.6949399e+01 1.2028847e+02 
6.7382813e+01 7.6837174e+01 1.0486826e+02 
7.0312500e+01 7.6750348e+01 8.5030757e+01 
7.3242188e+01 7.6586168e+01 6.5014824e+01 
7.5439453e+01 7.6363596e+01 5.0927403e+01 
7.9101563e+01 7.6419325e+01 2.9003176e+01 
8.2031250e+01 7.6638911e+01 9.9392690e+00 
8.4960938e+01 7.6596365e+01 -1.0075044e+01 
8.8623047e+01 7.6462498e+01 -3.3620317e+01 
9.1552734e+01 7.6163213e+01 -5.3197722e+01 
9.5214844e+01 7.5885463e+01 -7.3858648e+01 
9.8876953e+01 7.5705688e+01 -9.7027030e+01 
1.0327148e+02 7.5381082e+01 -1.2195179e+02 
1.0693359e+02 7.5124584e+01 -1.4285677e+02 
1.1132813e+02 7.4981444e+01 -1.6925723e+02 
1.1572266e+02 7.4612495e+01 1.6647872e+02 
1.2011719e+02 7.4530224e+01 1.4311462e+02 
1.2524414e+02 7.4605824e+01 1.1233395e+02 
1.2963867e+02 7.4164180e+01 8.9022940e+01 
1.3476563e+02 7.4320199e+01 6.0670394e+01 
1.4062500e+02 7.4046635e+01 2.7347924e+01 
1.4575195e+02 7.3926104e+01 4.7733682e-01 
