Freq[Hz]     dBSPL  Phase[Deg]
2.0507813e+01 6.3991134e+01 -6.7488767e+01 
2.1240234e+01 6.5142301e+01 -7.2022000e+01 
2.1972656e+01 6.6847714e+01 -7.7053614e+01 
2.2705078e+01 6.7728157e+01 -8.5549358e+01 
2.4169922e+01 7.0191965e+01 -1.0004489e+02 
2.4902344e+01 7.1490977e+01 -1.1056571e+02 
2.5634766e+01 7.2319201e+01 -1.2098830e+02 
2.7099609e+01 7.4571624e+01 -1.3882189e+02 
2.7832031e+01 7.5831012e+01 -1.5093891e+02 
2.9296875e+01 7.7889086e+01 -1.7508194e+02 
3.0029297e+01 7.8739874e+01 1.7301032e+02 
3.1494141e+01 8.0068229e+01 1.4780738e+02 
3.2226563e+01 8.0545182e+01 1.3569896e+02 
3.3691406e+01 8.1270051e+01 1.1224211e+02 
3.5156250e+01 8.1676668e+01 9.0640633e+01 
3.6621094e+01 8.1960924e+01 7.1009052e+01 
3.8085938e+01 8.2166168e+01 5.2983206e+01 
3.9550781e+01 8.2323122e+01 3.6391230e+01 
4.1015625e+01 8.2516098e+01 2.0574563e+01 
4.2480469e+01 8.2526742e+01 6.1603907e+00 
4.3945313e+01 8.2641361e+01 -8.0780916e+00 
4.6142578e+01 8.2740648e+01 -2.8673965e+01 
4.7607422e+01 8.2756011e+01 -4.1716810e+01 
4.9804688e+01 8.2608922e+01 -5.9640394e+01 
5.1269531e+01 8.2681703e+01 -7.0896849e+01 
5.3466797e+01 8.2587101e+01 -8.7931560e+01 
5.5664063e+01 8.2554819e+01 -1.0374640e+02 
5.7861328e+01 8.2390445e+01 -1.1937124e+02 
6.0058594e+01 8.2101521e+01 -1.3312136e+02 
6.2255859e+01 8.2061047e+01 -1.4638604e+02 
6.5185547e+01 8.1984144e+01 -1.6463819e+02 
6.7382813e+01 8.1950430e+01 -1.7761257e+02 
7.0312500e+01 8.1852915e+01 1.6488170e+02 
7.3242188e+01 8.1690707e+01 1.4860575e+02 
7.5439453e+01 8.1770929e+01 1.3679270e+02 
7.9101563e+01 8.1680117e+01 1.1612623e+02 
8.2031250e+01 8.1660695e+01 9.8373679e+01 
8.4960938e+01 8.1484647e+01 8.2356185e+01 
8.8623047e+01 8.1394758e+01 6.2425867e+01 
9.1552734e+01 8.1230111e+01 4.7083911e+01 
9.5214844e+01 8.1024879e+01 2.7597295e+01 
9.8876953e+01 8.0678348e+01 9.7644472e+00 
1.0327148e+02 8.0560146e+01 -1.1312150e+01 
1.0693359e+02 8.0461801e+01 -2.9622642e+01 
1.1132813e+02 8.0093589e+01 -5.0765085e+01 
1.1572266e+02 7.9894602e+01 -6.9851885e+01 
1.2011719e+02 7.9647919e+01 -8.9140546e+01 
1.2524414e+02 7.9920931e+01 -1.1188811e+02 
1.2963867e+02 7.9807944e+01 -1.3278228e+02 
1.3476563e+02 7.9883536e+01 -1.5662644e+02 
1.4062500e+02 7.9623589e+01 1.7715255e+02 
1.4575195e+02 7.9470567e+01 1.5410175e+02 
1.5161133e+02 7.9538606e+01 1.2744350e+02 
1.5747070e+02 7.9143353e+01 1.0044464e+02 
1.6333008e+02 7.8776501e+01 7.4409810e+01 
1.6992188e+02 7.8560561e+01 5.0571368e+01 
1.7651367e+02 7.8743296e+01 1.9470047e+01 
1.8383789e+02 7.8419241e+01 -1.1391368e+01 
1.9116211e+02 7.8096783e+01 -4.4813759e+01 
1.9848633e+02 7.7574724e+01 -7.3549786e+01 
2.0654297e+02 7.7327835e+01 -1.0270593e+02 
2.1459961e+02 7.7469237e+01 -1.3576327e+02 
2.2265625e+02 7.7329286e+01 -1.6813673e+02 
2.3144531e+02 7.7514058e+01 1.5505599e+02 
2.4023438e+02 7.7168525e+01 1.2374291e+02 
2.4975586e+02 7.8797305e+01 8.6278653e+01 
2.6000977e+02 7.9589454e+01 3.3628492e+01 
2.7026367e+02 7.8903212e+01 -1.7409044e+01 
2.8051758e+02 7.8808460e+01 -6.3367578e+01 
2.9150391e+02 7.7827318e+01 -1.1628215e+02 
3.0322266e+02 7.5634774e+01 -1.6372898e+02 
3.1494141e+02 7.5816190e+01 1.5351866e+02 
3.2739258e+02 7.5455264e+01 1.0612624e+02 
3.3984375e+02 7.6047665e+01 5.4693716e+01 
3.5375977e+02 7.5588622e+01 -8.7650945e+00 
3.6767578e+02 7.5185726e+01 -6.5317181e+01 
3.8159180e+02 7.5454081e+01 -1.2347181e+02 
3.9697266e+02 7.5688301e+01 1.6328815e+02 
4.1235352e+02 7.3883697e+01 9.1832597e+01 
4.2846680e+02 7.3683702e+01 2.3364543e+01 
4.4531250e+02 7.2812563e+01 -4.8771287e+01 
4.6289063e+02 7.2282040e+01 -1.3094141e+02 
4.8120117e+02 7.1234111e+01 1.4038330e+02 
5.0024414e+02 6.8568248e+01 4.6217264e+01 
5.1928711e+02 6.6207084e+01 -3.1619191e+01 
5.3979492e+02 6.4261870e+01 -1.1813772e+02 
5.6103516e+02 6.5086633e+01 1.4110801e+02 
5.8300781e+02 6.3838992e+01 3.2461212e+01 
6.0644531e+02 6.2102762e+01 -7.1854425e+01 
6.2988281e+02 6.2378596e+01 1.6318485e+02 
6.5478516e+02 5.9348815e+01 4.6083521e+01 
6.8041992e+02 6.0488162e+01 -3.5222770e+01 
7.0678711e+02 5.9639680e+01 -1.6897703e+02 
7.3461914e+02 5.9169081e+01 7.0880506e+01 
7.6391602e+02 5.9194804e+01 -4.5786576e+01 
7.9394531e+02 5.4659034e+01 -1.6983366e+02 
8.2470703e+02 6.0097457e+01 6.6758392e+01 
8.5693359e+02 5.7391415e+01 -6.6125574e+01 
8.9062500e+02 5.4383710e+01 1.3386657e+02 
9.2578125e+02 5.4059649e+01 2.8445463e+01 
9.6240234e+02 5.3827175e+01 -1.0462442e+02 
9.9975586e+02 5.4496111e+01 1.0604207e+02 
1.0393066e+03 5.5439135e+01 -8.6348526e+01 
1.0803223e+03 5.7168234e+01 1.4447342e+02 
1.1228027e+03 5.5571848e+01 -5.0108048e+01 
1.1667480e+03 5.6266298e+01 1.6188583e+02 
1.2121582e+03 5.8460323e+01 -4.3611065e+01 
1.2597656e+03 5.3308419e+01 1.0771531e+02 
1.3095703e+03 5.2730197e+01 -7.2354236e+01 
1.3608398e+03 5.5796155e+01 7.1586679e+01 
1.4143066e+03 4.8054459e+01 -1.6335336e+02 
1.4699707e+03 5.0565632e+01 4.3449055e+01 
1.5270996e+03 5.2941383e+01 1.5969297e+02 
1.5871582e+03 5.0741110e+01 -8.2056463e+01 
1.6494141e+03 5.3616399e+01 2.8876637e+01 
1.7145996e+03 4.7156428e+01 9.6626904e+01 
1.7819824e+03 5.2162083e+01 -1.6803222e+02 
1.8515625e+03 4.7399134e+01 -1.3417507e+02 
1.9248047e+03 3.7847718e+01 2.5471751e+01 
2.0002441e+03 4.4444117e+01 1.1895357e+02 
2.0786133e+03 4.2870306e+01 1.2034866e+02 
2.1599121e+03 4.4780774e+01 8.3912119e+01 
2.2448730e+03 3.4760644e+01 2.3020940e+01 
2.3327637e+03 4.1111679e+01 -3.4411708e+01 
2.4243164e+03 3.3377540e+01 1.0142235e+02 
2.5195313e+03 2.2195219e+01 -2.5549344e+01 
2.6184082e+03 4.5306144e+01 -9.3328110e+00 
2.7216797e+03 4.3194252e+01 -2.7881450e+00 
2.8286133e+03 4.7447607e+01 -1.0135554e+02 
2.9392090e+03 4.8035758e+01 1.6894137e+02 
3.0549316e+03 4.6290468e+01 9.3084616e+01 
3.1750488e+03 5.1015745e+01 -9.9726108e+00 
3.2995605e+03 5.1467136e+01 -1.5441042e+02 
3.4291992e+03 5.0881094e+01 5.5304415e+01 
3.5632324e+03 5.0680966e+01 -9.5365035e+01 
3.7038574e+03 5.1829143e+01 6.1391725e+01 
3.8488770e+03 4.8097886e+01 -1.2868568e+02 
3.9997559e+03 5.1109053e+01 1.2417738e+01 
4.1572266e+03 5.1241760e+01 1.2136213e+02 
4.3205566e+03 5.1436134e+01 -1.5508821e+02 
4.4897461e+03 5.1413639e+01 -9.0162918e+01 
4.6662598e+03 5.2604202e+01 -5.6404356e+01 
4.8493652e+03 5.0930696e+01 -4.0714268e+01 
5.0397949e+03 5.1794218e+01 -5.9488664e+01 
5.2375488e+03 5.2801085e+01 -1.1276347e+02 
5.4433594e+03 5.2383107e+01 1.7491768e+02 
5.6564941e+03 5.0791712e+01 6.8806380e+01 
5.8791504e+03 5.0137396e+01 -7.9226364e+01 
6.1098633e+03 4.9980678e+01 1.1133004e+02 
6.3493652e+03 4.9110653e+01 -8.5426383e+01 
6.5991211e+03 4.8066613e+01 3.0323871e+01 
6.8576660e+03 4.8473168e+01 1.1182093e+02 
7.1271973e+03 4.8842563e+01 1.5528344e+02 
7.4069824e+03 4.8427534e+01 1.5791858e+02 
7.6977539e+03 4.6661042e+01 1.0254369e+02 
8.0002441e+03 4.6317090e+01 1.0778223e+01 
8.3137207e+03 4.5871438e+01 -1.2136861e+02 
8.6403809e+03 4.5501812e+01 6.3150083e+01 
8.9794922e+03 4.2859586e+01 -1.6959024e+02 
9.3325195e+03 4.3090823e+01 -1.0759669e+02 
9.6987305e+03 4.2476870e+01 -6.8738915e+01 
1.0079590e+04 3.7290716e+01 -9.8241253e+01 
1.0475098e+04 3.1331616e+01 -1.7037447e+02 
1.0885986e+04 3.5675716e+01 2.3021997e+01 
1.1313721e+04 3.7414317e+01 1.7020481e+02 
1.1757568e+04 3.8082961e+01 -8.0677286e+01 
1.2219727e+04 4.2423852e+01 -8.8596717e+01 
1.2699463e+04 4.1630927e+01 -1.7688096e+02 
1.3197510e+04 3.6301649e+01 6.1351544e+01 
1.3716064e+04 4.0977160e+01 -1.2827204e+02 
1.4254395e+04 4.1506728e+01 -5.6602052e+01 
1.4813965e+04 4.1546900e+01 -6.7603881e+01 
1.5395508e+04 4.0909714e+01 -1.5158058e+02 
1.5999756e+04 3.9867281e+01 3.2686400e+01 
