Freq[Hz]     dBSPL  Phase[Deg]
2.0507813e+01 6.1829869e+01 -8.2676136e+01 
2.1240234e+01 6.2915919e+01 -8.8543325e+01 
2.1972656e+01 6.4651878e+01 -9.3066282e+01 
2.2705078e+01 6.5486961e+01 -1.0318146e+02 
2.4169922e+01 6.7780901e+01 -1.1746923e+02 
2.4902344e+01 6.9239653e+01 -1.2788801e+02 
2.5634766e+01 7.0281609e+01 -1.3989406e+02 
2.7099609e+01 7.2182730e+01 -1.6095181e+02 
2.7832031e+01 7.3340833e+01 -1.7303460e+02 
2.9296875e+01 7.5389880e+01 1.6442168e+02 
3.0029297e+01 7.6379889e+01 1.5231415e+02 
3.1494141e+01 7.7781238e+01 1.2560410e+02 
3.2226563e+01 7.8247325e+01 1.1282446e+02 
3.3691406e+01 7.8958169e+01 8.8502673e+01 
3.5156250e+01 7.9403172e+01 6.6073889e+01 
3.6621094e+01 7.9743844e+01 4.5195159e+01 
3.8085938e+01 7.9945823e+01 2.5996965e+01 
3.9550781e+01 8.0100027e+01 8.3069850e+00 
4.1015625e+01 8.0301825e+01 -8.4414705e+00 
4.2480469e+01 8.0327226e+01 -2.4156560e+01 
4.3945313e+01 8.0423935e+01 -3.9517954e+01 
4.6142578e+01 8.0534023e+01 -6.1323460e+01 
4.7607422e+01 8.0615622e+01 -7.5158916e+01 
4.9804688e+01 8.0573857e+01 -9.5725999e+01 
5.1269531e+01 8.0541552e+01 -1.0834186e+02 
5.3466797e+01 8.0333507e+01 -1.2666259e+02 
5.5664063e+01 8.0329160e+01 -1.4276697e+02 
5.7861328e+01 8.0376937e+01 -1.6002033e+02 
6.0058594e+01 8.0168976e+01 -1.7549576e+02 
6.2255859e+01 8.0072683e+01 1.6944580e+02 
6.5185547e+01 8.0008101e+01 1.4942205e+02 
6.7382813e+01 7.9977115e+01 1.3486964e+02 
7.0312500e+01 7.9926688e+01 1.1550891e+02 
7.3242188e+01 7.9833136e+01 9.6701075e+01 
7.5439453e+01 7.9824857e+01 8.3687552e+01 
7.9101563e+01 7.9869781e+01 6.0161749e+01 
8.2031250e+01 8.0179323e+01 4.2308875e+01 
8.4960938e+01 7.9996347e+01 2.3681081e+01 
8.8623047e+01 7.9855053e+01 1.9810909e+00 
9.1552734e+01 7.9780801e+01 -1.4911598e+01 
9.5214844e+01 7.9761286e+01 -3.5916091e+01 
9.8876953e+01 7.9654743e+01 -5.7327892e+01 
1.0327148e+02 7.9663781e+01 -8.2480458e+01 
1.0693359e+02 7.9357789e+01 -1.0319941e+02 
1.1132813e+02 7.9132034e+01 -1.2621927e+02 
1.1572266e+02 7.9190492e+01 -1.4756608e+02 
1.2011719e+02 7.9395514e+01 -1.7112828e+02 
1.2524414e+02 7.9717347e+01 1.5969956e+02 
1.2963867e+02 7.9496112e+01 1.3574145e+02 
1.3476563e+02 7.9602024e+01 1.0794896e+02 
1.4062500e+02 7.9376406e+01 7.7077853e+01 
1.4575195e+02 7.9287223e+01 5.0252742e+01 
1.5161133e+02 7.9457782e+01 2.1415068e+01 
1.5747070e+02 7.9596602e+01 -1.1359801e+01 
1.6333008e+02 7.9553295e+01 -4.3058022e+01 
1.6992188e+02 7.9324861e+01 -7.7176312e+01 
1.7651367e+02 7.9297371e+01 -1.1230265e+02 
1.8383789e+02 7.9330978e+01 -1.4927529e+02 
1.9116211e+02 7.9169115e+01 1.7112336e+02 
1.9848633e+02 7.8788800e+01 1.3334923e+02 
2.0654297e+02 7.8879334e+01 9.4206863e+01 
2.1459961e+02 7.8731071e+01 5.1511450e+01 
2.2265625e+02 7.8618832e+01 1.2242660e+01 
2.3144531e+02 7.8522691e+01 -3.3882802e+01 
2.4023438e+02 7.8461468e+01 -7.8800081e+01 
2.4975586e+02 7.8309819e+01 -1.2460560e+02 
2.6000977e+02 7.9021056e+01 -1.7894470e+02 
2.7026367e+02 7.8445069e+01 1.2407263e+02 
2.8051758e+02 7.7677846e+01 7.4889504e+01 
2.9150391e+02 7.7750503e+01 2.1608106e+01 
3.0322266e+02 7.8511404e+01 -4.0495919e+01 
3.1494141e+02 7.7829881e+01 -1.0385572e+02 
3.2739258e+02 7.7581427e+01 -1.6206380e+02 
3.3984375e+02 7.8014068e+01 1.3537398e+02 
3.5375977e+02 7.8200341e+01 6.1348908e+01 
3.6767578e+02 7.8057600e+01 -9.6603864e+00 
3.8159180e+02 7.8141050e+01 -8.0299556e+01 
3.9697266e+02 7.8215093e+01 -1.5964277e+02 
4.1235352e+02 7.8252565e+01 1.2181714e+02 
4.2846680e+02 7.8409252e+01 4.0903847e+01 
4.4531250e+02 7.8371630e+01 -4.8466787e+01 
4.6289063e+02 7.7398737e+01 -1.3406755e+02 
4.8120117e+02 7.7760036e+01 1.3924745e+02 
5.0024414e+02 7.7618002e+01 4.7975022e+01 
5.1928711e+02 7.7507396e+01 -4.4495166e+01 
5.3979492e+02 7.7279425e+01 -1.3892046e+02 
5.6103516e+02 7.7235652e+01 1.2460519e+02 
5.8300781e+02 7.7386567e+01 2.3543708e+01 
6.0644531e+02 7.7054488e+01 -8.2580186e+01 
6.2988281e+02 7.7170509e+01 1.7288963e+02 
6.5478516e+02 7.6930751e+01 6.3207422e+01 
6.8041992e+02 7.6872683e+01 -5.0172181e+01 
7.0678711e+02 7.6799387e+01 -1.6477513e+02 
7.3461914e+02 7.6568081e+01 7.6710786e+01 
7.6391602e+02 7.6824493e+01 -4.7742611e+01 
7.9394531e+02 7.6889865e+01 -1.7671254e+02 
8.2470703e+02 7.7184775e+01 5.0670320e+01 
8.5693359e+02 7.7169850e+01 -8.5902272e+01 
8.9062500e+02 7.7219925e+01 1.2898446e+02 
9.2578125e+02 7.7056909e+01 -2.0880291e+01 
9.6240234e+02 7.6639890e+01 -1.7349866e+02 
9.9975586e+02 7.6453588e+01 2.9425337e+01 
1.0393066e+03 7.6105128e+01 -1.3286455e+02 
1.0803223e+03 7.6535595e+01 5.7155401e+01 
1.1228027e+03 7.6944045e+01 -1.1741149e+02 
1.1667480e+03 7.6574199e+01 5.5865318e+01 
1.2121582e+03 7.6810690e+01 -1.3275565e+02 
1.2597656e+03 7.6474187e+01 3.2061900e+01 
1.3095703e+03 7.6171916e+01 -1.7437469e+02 
1.3608398e+03 7.6342106e+01 -2.3629192e+01 
1.4143066e+03 7.6191863e+01 1.1560306e+02 
1.4699707e+03 7.6266441e+01 -1.1417365e+02 
1.5270996e+03 7.6044412e+01 1.1829376e+01 
1.5871582e+03 7.5931712e+01 1.2772665e+02 
1.6494141e+03 7.5887612e+01 -1.2420755e+02 
1.7145996e+03 7.6299242e+01 -3.0639067e+01 
1.7819824e+03 7.6512186e+01 5.1022378e+01 
1.8515625e+03 7.5921349e+01 1.2649644e+02 
1.9248047e+03 7.6254181e+01 -1.6697887e+02 
2.0002441e+03 7.7214967e+01 -1.1647467e+02 
2.0786133e+03 7.7201385e+01 -8.2825711e+01 
2.1599121e+03 7.6312138e+01 -5.3594756e+01 
2.2448730e+03 7.7004645e+01 -3.6932359e+01 
2.3327637e+03 7.7138089e+01 -4.0355480e+01 
2.4243164e+03 7.6125613e+01 -5.4640176e+01 
2.5195313e+03 7.6446005e+01 -7.9264455e+01 
2.6184082e+03 7.6324523e+01 -1.2406335e+02 
2.7216797e+03 7.5931276e+01 1.7651319e+02 
2.8286133e+03 7.5699519e+01 1.0079414e+02 
2.9392090e+03 7.5456269e+01 1.4736028e+01 
3.0549316e+03 7.5622281e+01 -9.9623473e+01 
3.1750488e+03 7.4496720e+01 1.3706308e+02 
3.2995605e+03 7.5298027e+01 -7.8113459e+00 
3.4291992e+03 7.4502496e+01 -1.7494036e+02 
3.5632324e+03 7.4962800e+01 5.2011204e+00 
3.7038574e+03 7.4546944e+01 1.5137211e+02 
3.8488770e+03 7.4456870e+01 -7.2735229e+01 
3.9997559e+03 7.4578405e+01 3.3863012e+01 
4.1572266e+03 7.4142108e+01 1.1887556e+02 
4.3205566e+03 7.4241152e+01 1.7466992e+02 
4.4897461e+03 7.4207519e+01 -1.4729336e+02 
4.6662598e+03 7.4354517e+01 -1.4079974e+02 
4.8493652e+03 7.4336781e+01 -1.6325750e+02 
5.0397949e+03 7.4327141e+01 1.4368618e+02 
5.2375488e+03 7.5127618e+01 6.4813297e+01 
5.4433594e+03 7.4849335e+01 -4.8178203e+01 
5.6564941e+03 7.4488995e+01 1.6445787e+02 
5.8791504e+03 7.4426509e+01 -1.8695969e+01 
6.1098633e+03 7.4156294e+01 1.2892091e+02 
6.3493652e+03 7.4084559e+01 -1.1976430e+02 
6.5991211e+03 7.4111340e+01 -4.9246225e+01 
6.8576660e+03 7.4290577e+01 -1.4256241e+01 
7.1271973e+03 7.4500743e+01 -2.4856181e+01 
7.4069824e+03 7.4824380e+01 -7.8604921e+01 
7.6977539e+03 7.5064310e+01 -1.7857917e+02 
8.0002441e+03 7.5074610e+01 3.3484445e+01 
8.3137207e+03 7.4885966e+01 -1.5815337e+02 
8.6403809e+03 7.4607603e+01 -4.3031747e+01 
8.9794922e+03 7.4151827e+01 2.3007020e+01 
9.3325195e+03 7.3100397e+01 3.3736043e+01 
9.6987305e+03 7.3402451e+01 -2.6159493e+00 
1.0079590e+04 7.3408454e+01 -1.0725577e+02 
1.0475098e+04 7.2837821e+01 9.1987514e+01 
1.0885986e+04 7.2403793e+01 -1.2773331e+02 
1.1313721e+04 7.2083189e+01 -5.2361672e+01 
1.1757568e+04 7.3654642e+01 -3.6841620e+01 
1.2219727e+04 7.7052940e+01 -1.2611198e+02 
1.2699463e+04 7.3739236e+01 7.2232228e+01 
1.3197510e+04 7.2529075e+01 -1.3085820e+02 
