Freq[Hz]     dBSPL  Phase[Deg]
5.00000     42.463  -138.797
5.07273     42.808  -138.985
5.14651     43.152  -139.175
5.22137     43.511  -134.998
5.29732     43.885  -131.233
5.37437     44.303  -128.804
5.45254     44.834  -127.786
5.53185     45.464  -127.883
5.61231     46.091  -128.531
5.69394     46.636  -129.450
5.77676     47.012  -130.673
5.86079     47.273  -132.164
5.94604     47.455  -133.648
6.03252     47.592  -134.825
6.12027     47.692  -135.410
6.20929     47.754  -135.500
6.29961     47.819  -135.213
6.39124     47.967  -134.575
6.48420     48.218  -133.577
6.57851     48.551  -132.394
6.67420     48.946  -131.391
6.77128     49.398  -130.807
6.86977     49.904  -130.628
6.96969     50.433  -130.812
7.07107     50.938  -131.376
7.17392     51.404  -132.318
7.27827     51.835  -133.513
7.38413     52.225  -134.782
7.49154     52.570  -136.058
7.60050     52.870  -137.330
7.71105     53.151  -138.489
7.82321     53.420  -139.493
7.93701     53.683  -140.365
8.05245     53.949  -141.135
8.16958     54.229  -141.827
8.28841     54.519  -142.469
8.40896     54.815  -143.107
8.53128     55.114  -143.779
8.65537     55.411  -144.464
8.78126     55.702  -145.139
8.90899     55.981  -145.786
9.03857     56.256  -146.386
9.17004     56.531  -146.887
9.30342     56.809  -147.305
9.43874     57.101  -147.668
9.57603     57.413  -147.998
9.71532     57.740  -148.348
9.85663     58.079  -148.774
10.0000     58.427  -149.279
10.1455     58.770  -149.873
10.2930     59.101  -150.536
10.4427     59.422  -151.210
10.5946     59.731  -151.864
10.7487     60.035  -152.488
10.9051     60.343  -153.072
11.0637     60.652  -153.636
11.2246     60.965  -154.203
11.3879     61.277  -154.770
11.5535     61.583  -155.318
11.7216     61.885  -155.846
11.8921     62.193  -156.310
12.0650     62.504  -156.755
12.2405     62.834  -157.218
12.4186     63.173  -157.724
12.5992     63.515  -158.348
12.7825     63.849  -159.041
12.9684     64.159  -159.749
13.1570     64.467  -160.453
13.3484     64.768  -161.043
13.5426     65.085  -161.601
13.7395     65.427  -162.226
13.9394     65.787  -163.049
14.1421     66.127  -164.158
14.3478     66.441  -165.383
14.5565     66.684  -166.633
14.7683     66.878  -167.700
14.9831     67.055  -168.372
15.2010     67.275  -168.770
15.4221     67.548  -169.158
15.6464     67.848  -169.732
15.8740     68.137  -170.527
16.1049     68.387  -171.435
16.3392     68.604  -172.317
16.5768     68.808  -173.101
16.8179     69.007  -173.796
17.0626     69.190  -174.399
17.3107     69.348  -174.807
17.5625     69.500  -174.901
17.8180     69.689  -174.683
18.0771     69.943  -174.341
18.3401     70.253  -174.104
18.6068     70.589  -174.111
18.8775     70.930  -174.366
19.1521     71.262  -174.814
19.4306     71.577  -175.374
19.7133     71.871  -175.951
20.0000     72.155  -176.473
20.2909     72.446  -176.938
20.5860     72.750  -177.421
20.8855     73.056  -177.969
21.1893     73.358  -178.571
21.4975     73.655  -179.201
21.8102     73.953  -179.844
22.1274     74.248   179.476
22.4492     74.540   178.777
22.7758     74.825   178.063
23.1071     75.105   177.353
23.4432     75.383   176.657
23.7841     75.659   175.971
24.1301     75.933   175.290
24.4811     76.203   174.637
24.8372     76.471   174.023
25.1984     76.748   173.447
25.5649     77.031   172.864
25.9368     77.316   172.266
26.3141     77.602   171.670
26.6968     77.895   171.077
27.0851     78.198   170.445
27.4791     78.503   169.704
27.8788     78.798   168.877
28.2843     79.074   168.055
28.6957     79.345   167.285
29.1131     79.618   166.560
29.5365     79.897   165.836
29.9661     80.169   165.123
30.4020     80.449   164.445
30.8442     80.741   163.740
31.2929     81.034   162.985
31.7480     81.328   162.177
32.2098     81.622   161.316
32.6783     81.912   160.397
33.1536     82.193   159.434
33.6359     82.467   158.447
34.1251     82.731   157.445
34.6215     82.981   156.474
35.1250     83.223   155.596
35.6359     83.471   154.816
36.1543     83.730   154.085
36.6802     83.998   153.368
37.2137     84.279   152.649
37.7550     84.573   151.883
38.3041     84.872   151.058
38.8613     85.174   150.146
39.4265     85.475   149.198
40.0000     85.781   148.201
40.5818     86.088   147.106
41.1721     86.388   145.924
41.7710     86.679   144.684
42.3785     86.958   143.434
42.9949     87.235   142.205
43.6203     87.514   140.975
44.2548     87.799   139.709
44.8985     88.091   138.363
45.5515     88.384   136.842
46.2141     88.661   135.066
46.8863     88.875   133.096
47.5683     89.012   131.288
48.2602     89.109   130.062
48.9621     89.262   129.353
49.6743     89.468   128.719
50.3968     89.719   128.015
51.1299     89.996   127.178
51.8736     90.289   126.138
52.6281     90.581   124.918
53.3936     90.864   123.587
54.1702     91.140   122.191
54.9581     91.410   120.747
55.7575     91.677   119.255
56.5685     91.942   117.718
57.3914     92.206   116.132
58.2261     92.467   114.476
59.0730     92.721   112.740
59.9323     92.964   110.979
60.8040     93.207   109.178
61.6884     93.438   107.285
62.5857     93.657   105.392
63.4960     93.876   103.515
64.4196     94.101   101.582
65.3566     94.328    99.482
66.3073     94.535    97.151
67.2717     94.695    94.668
68.2502     94.796    92.249
69.2429     94.853    90.143
70.2501     94.912    88.512
71.2719     95.036    87.155
72.3086     95.222    85.569
73.3603     95.413    83.581
74.4274     95.573    81.359
75.5099     95.700    79.065
76.6083     95.804    76.755
77.7226     95.888    74.437
78.8531     95.950    72.126
80.0000     95.989    69.839
81.1636     96.000    67.551
82.3442     95.966    65.391
83.5419     95.909    63.585
84.7570     95.865    62.108
85.9899     95.852    60.815
87.2406     95.874    59.579
88.5096     95.925    58.297
89.7970     95.998    56.817
91.1031     96.069    55.122
92.4282     96.112    53.252
93.7726     96.123    51.384
95.1366     96.115    49.612
96.5204     96.099    47.901
97.9243     96.075    46.201
99.3486     96.036    44.551
100.794     95.987    42.966
102.260     95.922    41.458
103.747     95.848    40.119
105.256     95.783    38.965
106.787     95.736    37.884
108.340     95.705    36.768
109.916     95.672    35.563
111.515     95.626    34.340
113.137     95.561    33.160
114.783     95.479    32.101
116.452     95.408    31.391
118.146     95.365    30.748
119.865     95.364    30.027
121.608     95.374    29.210
123.377     95.387    28.175
125.171     95.386    27.021
126.992     95.341    25.792
128.839     95.263    24.926
130.713     95.189    24.417
132.615     95.166    23.943
134.543     95.192    23.356
136.500     95.229    22.543
138.486     95.255    21.531
140.500     95.260    20.485
142.544     95.262    19.495
144.617     95.273    18.347
146.721     95.234    16.882
148.855     95.127    15.684
151.020     95.005    15.015
153.217     94.932    14.714
155.445     94.918    14.338
157.706     94.919    13.773
160.000     94.943    13.153
162.327     94.965    12.047
164.688     94.912    10.879
167.084     94.829    10.049
169.514     94.746     9.423
171.980     94.668     8.993
174.481     94.619     8.770
177.019     94.611     8.474
179.594     94.607     8.008
182.206     94.596     7.581
184.856     94.591     7.235
187.545     94.608     6.954
190.273     94.669     6.584
193.041     94.752     5.784
195.849     94.784     4.530
198.697     94.728     3.402
201.587     94.652     2.857
204.520     94.622     2.634
207.494     94.651     2.413
210.512     94.717     1.958
213.574     94.793     1.263
216.681     94.876     0.342
219.833     94.961    -0.847
223.030     94.983    -2.580
226.274     94.929    -4.325
229.565     94.797    -5.806
232.905     94.634    -6.709
236.292     94.519    -7.168
239.729     94.457    -7.735
243.216     94.355    -8.682
246.754     94.179    -9.266
250.343     94.023    -9.186
253.984     93.915    -8.782
257.678     93.890    -8.116
261.426     93.926    -7.566
265.229     94.002    -7.021
269.087     94.166    -6.465
273.001     94.397    -6.947
276.972     94.543    -8.234
281.000     94.569    -9.391
285.088     94.561   -10.141
289.234     94.595   -10.458
293.441     94.689   -10.963
297.709     94.798   -11.890
302.040     94.877   -13.231
306.433     94.889   -14.749
310.890     94.856   -16.122
315.412     94.788   -17.396
320.000     94.698   -18.406
324.655     94.629   -19.104
329.377     94.589   -19.896
334.168     94.545   -20.762
339.028     94.501   -21.622
343.959     94.454   -22.498
348.962     94.407   -23.369
354.038     94.358   -24.254
359.188     94.305   -25.138
364.412     94.248   -25.999
369.713     94.192   -26.834
375.090     94.135   -27.643
380.546     94.080   -28.423
386.081     94.024   -29.182
391.697     93.970   -29.910
397.394     93.918   -30.622
403.175     93.868   -31.307
409.039     93.820   -31.972
414.989     93.776   -32.618
421.025     93.735   -33.248
427.149     93.698   -33.866
433.362     93.666   -34.475
439.665     93.638   -35.077
446.060     93.614   -35.678
452.548     93.594   -36.281
459.131     93.580   -36.891
465.809     93.570   -37.511
472.584     93.564   -38.147
479.458     93.562   -38.800
486.432     93.564   -39.471
493.507     93.569   -40.169
500.686     93.576   -40.893
507.968     93.585   -41.642
515.357     93.597   -42.420
522.853     93.608   -43.227
530.458     93.621   -44.058
538.174     93.633   -44.915
546.002     93.645   -45.797
553.943     93.656   -46.698
562.001     93.666   -47.616
570.175     93.676   -48.547
578.469     93.685   -49.490
586.883     93.694   -50.440
595.419     93.702   -51.393
604.080     93.711   -52.348
612.866     93.721   -53.304
621.780     93.733   -54.259
630.824     93.749   -55.216
640.000     93.767   -56.176
649.309     93.791   -57.144
658.753     93.822   -58.127
668.335     93.858   -59.132
678.056     93.901   -60.170
687.919     93.951   -61.249
697.925     94.008   -62.383
708.077     94.071   -63.583
