Freq[Hz]     dBSPL  Phase[Deg]
5.00000     42.463  -138.797
5.07273     42.808  -138.985
5.14651     43.152  -139.175
5.22137     43.511  -134.998
5.29732     43.885  -131.233
5.37437     44.303  -128.804
5.45254     44.834  -127.786
5.53185     45.464  -127.883
5.61231     46.091  -128.531
5.69394     46.636  -129.450
5.77676     47.012  -130.673
5.86079     47.273  -132.164
5.94604     47.455  -133.648
6.03252     47.592  -134.825
6.12027     47.692  -135.410
6.20929     47.754  -135.500
6.29961     47.819  -135.213
6.39124     47.967  -134.575
6.48420     48.218  -133.577
6.57851     48.551  -132.394
6.67420     48.946  -131.391
6.77128     49.398  -130.807
6.86977     49.904  -130.628
6.96969     50.433  -130.812
7.07107     50.938  -131.376
7.17392     51.404  -132.318
7.27827     51.835  -133.513
7.38413     52.225  -134.782
7.49154     52.570  -136.058
7.60050     52.870  -137.330
7.71105     53.151  -138.489
7.82321     53.420  -139.493
7.93701     53.683  -140.365
8.05245     53.949  -141.135
8.16958     54.229  -141.827
8.28841     54.519  -142.469
8.40896     54.815  -143.107
8.53128     55.114  -143.779
8.65537     55.411  -144.464
8.78126     55.702  -145.139
8.90899     55.981  -145.786
9.03857     56.256  -146.386
9.17004     56.531  -146.887
9.30342     56.809  -147.305
9.43874     57.101  -147.668
9.57603     57.413  -147.998
9.71532     57.740  -148.348
9.85663     58.079  -148.774
10.0000     58.427  -149.279
10.1455     58.770  -149.873
10.2930     59.101  -150.536
10.4427     59.422  -151.210
10.5946     59.731  -151.864
10.7487     60.035  -152.488
10.9051     60.343  -153.072
11.0637     60.652  -153.636
11.2246     60.965  -154.203
11.3879     61.277  -154.770
11.5535     61.583  -155.318
11.7216     61.885  -155.846
11.8921     62.193  -156.310
12.0650     62.504  -156.755
12.2405     62.834  -157.218
12.4186     63.173  -157.724
12.5992     63.515  -158.348
12.7825     63.849  -159.041
12.9684     64.159  -159.749
13.1570     64.467  -160.453
13.3484     64.768  -161.043
13.5426     65.085  -161.601
13.7395     65.427  -162.226
13.9394     65.787  -163.049
14.1421     66.127  -164.158
14.3478     66.441  -165.383
14.5565     66.684  -166.633
14.7683     66.878  -167.700
14.9831     67.055  -168.372
15.2010     67.275  -168.770
15.4221     67.548  -169.158
15.6464     67.848  -169.732
15.8740     68.137  -170.527
16.1049     68.387  -171.435
16.3392     68.604  -172.317
16.5768     68.808  -173.101
16.8179     69.007  -173.796
17.0626     69.190  -174.399
17.3107     69.348  -174.807
17.5625     69.500  -174.901
17.8180     69.689  -174.683
18.0771     69.943  -174.341
18.3401     70.253  -174.104
18.6068     70.589  -174.111
18.8775     70.930  -174.366
19.1521     71.262  -174.814
19.4306     71.577  -175.374
19.7133     71.871  -175.951
20.0000     72.155  -176.473
20.2909     72.446  -176.938
20.5860     72.750  -177.421
20.8855     73.056  -177.969
21.1893     73.358  -178.571
21.4975     73.655  -179.201
21.8102     73.953  -179.844
22.1274     74.248   179.476
22.4492     74.540   178.777
22.7758     74.825   178.063
23.1071     75.105   177.353
23.4432     75.383   176.657
23.7841     75.659   175.971
24.1301     75.933   175.290
24.4811     76.203   174.637
24.8372     76.471   174.023
25.1984     76.748   173.447
25.5649     77.031   172.864
25.9368     77.316   172.266
26.3141     77.602   171.670
26.6968     77.895   171.077
27.0851     78.198   170.445
27.4791     78.503   169.704
27.8788     78.798   168.877
28.2843     79.074   168.055
28.6957     79.345   167.285
29.1131     79.618   166.560
29.5365     79.897   165.836
29.9661     80.169   165.123
30.4020     80.449   164.445
30.8442     80.741   163.740
31.2929     81.034   162.985
31.7480     81.328   162.177
32.2098     81.622   161.316
32.6783     81.912   160.397
33.1536     82.193   159.434
33.6359     82.467   158.447
34.1251     82.731   157.445
34.6215     82.981   156.474
35.1250     83.223   155.596
35.6359     83.471   154.816
36.1543     83.730   154.085
36.6802     83.998   153.368
37.2137     84.279   152.649
37.7550     84.573   151.883
38.3041     84.872   151.058
38.8613     85.174   150.146
39.4265     85.475   149.198
40.0000     85.781   148.201
40.5818     86.088   147.101
41.1721     86.386   145.903
41.7710     86.675   144.638
42.3785     86.951   143.354
42.9949     87.223   142.081
43.6203     87.496   140.800
44.2548     87.775   139.474
44.8985     88.059   138.061
45.5515     88.344   136.465
46.2141     88.610   134.607
46.8863     88.813   132.549
47.5683     88.938   130.646
48.2602     89.022   129.318
48.9621     89.160   128.501
49.6743     89.350   127.753
50.3968     89.584   126.930
51.1299     89.844   125.969
51.8736     90.117   124.798
52.6281     90.388   123.444
53.3936     90.650   121.972
54.1702     90.903   120.431
54.9581     91.149   118.837
55.7575     91.391   117.190
56.5685     91.629   115.494
57.3914     91.864   113.744
58.2261     92.097   111.920
59.0730     92.320   110.012
59.9323     92.532   108.074
60.8040     92.742   106.092
61.6884     92.939   104.013
62.5857     93.123   101.930
63.4960     93.305    99.860
64.4196     93.493    97.729
65.3566     93.681    95.427
66.3073     93.848    92.889
67.2717     93.967    90.195
68.2502     94.025    87.561
69.2429     94.039    85.235
70.2501     94.053    83.381
71.2719     94.131    81.796
72.3086     94.270    79.978
73.3603     94.412    77.752
74.4274     94.523    75.288
75.5099     94.599    72.749
76.6083     94.652    70.187
77.7226     94.683    67.614
78.8531     94.690    65.042
80.0000     94.674    62.488
81.1636     94.630    59.930
82.3442     94.538    57.493
83.5419     94.422    55.405
84.7570     94.318    53.641
85.9899     94.245    52.054
87.2406     94.205    50.519
88.5096     94.193    48.931
89.7970     94.203    47.141
91.1031     94.208    45.128
92.4282     94.186    42.933
93.7726     94.130    40.734
95.1366     94.054    38.624
96.5204     93.970    36.567
97.9243     93.875    34.515
99.3486     93.766    32.505
100.794     93.645    30.551
102.260     93.507    28.668
103.747     93.359    26.945
105.256     93.220    25.397
106.787     93.097    23.916
108.340     92.990    22.389
109.916     92.880    20.765
111.515     92.756    19.113
113.137     92.612    17.494
114.783     92.450    15.988
116.452     92.298    14.819
118.146     92.174    13.708
119.865     92.092    12.506
121.608     92.019    11.200
123.377     91.948     9.664
125.171     91.863     7.996
126.992     91.733     6.243
128.839     91.570     4.841
130.713     91.410     3.784
132.615     91.299     2.749
134.543     91.239     1.589
136.500     91.188     0.190
138.486     91.125    -1.421
140.500     91.042    -3.078
142.544     90.955    -4.694
144.617     90.877    -6.479
146.721     90.748    -8.597
148.855     90.550   -10.461
151.020     90.338   -11.810
153.217     90.175   -12.803
155.445     90.070   -13.885
157.706     89.981   -15.171
160.000     89.914   -16.523
162.327     89.845   -18.376
164.688     89.701   -20.304
167.084     89.527   -21.907
169.514     89.354   -23.320
171.980     89.185   -24.549
174.481     89.047   -25.584
177.019     88.949   -26.702
179.594     88.856   -28.003
182.206     88.756   -29.275
184.856     88.663   -30.477
187.545     88.593   -31.624
190.273     88.568   -32.867
193.041     88.565   -34.551
195.849     88.511   -36.696
198.697     88.373   -38.722
201.587     88.214   -40.170
204.520     88.103   -41.302
207.494     88.052   -42.435
210.512     88.040   -43.804
213.574     88.039   -45.415
216.681     88.047   -47.254
219.833     88.059   -49.358
223.030     88.010   -52.007
226.274     87.888   -54.662
229.565     87.689   -57.050
232.905     87.462   -58.853
236.292     87.286   -60.206
239.729     87.165   -61.659
243.216     87.008   -63.481
246.754     86.778   -64.931
250.343     86.573   -65.704
253.984     86.419   -66.141
257.678     86.349   -66.321
261.426     86.343   -66.611
265.229     86.382   -66.886
269.087     86.513   -67.121
273.001     86.716   -68.364
276.972     86.840   -70.381
281.000     86.850   -72.237
285.088     86.831   -73.653
289.234     86.860   -74.610
293.441     86.953   -75.734
297.709     87.067   -77.263
302.040     87.152   -79.199
306.433     87.174   -81.323
310.890     87.152   -83.318
315.412     87.097   -85.230
320.000     87.021   -86.894
324.655     86.968   -88.264
329.377     86.946   -89.748
334.168     86.923   -91.325
339.028     86.902   -92.919
343.959     86.880   -94.550
348.962     86.860   -96.200
354.038     86.841   -97.892
359.188     86.819   -99.609
364.412     86.796  -101.332
369.713     86.776  -103.062
375.090     86.758  -104.800
380.546     86.742  -106.550
386.081     86.728  -108.309
391.697     86.718  -110.088
397.394     86.711  -111.879
403.175     86.707  -113.696
409.039     86.707  -115.536
414.989     86.711  -117.406
421.025     86.719  -119.311
427.149     86.730  -121.251
433.362     86.745  -123.235
439.665     86.764  -125.269
446.060     86.786  -127.350
452.548     86.811  -129.490
459.131     86.839  -131.697
465.809     86.869  -133.964
472.584     86.901  -136.307
479.458     86.934  -138.722
486.432     86.966  -141.209
493.507     87.000  -143.785
500.686     87.032  -146.448
507.968     87.062  -149.192
515.357     87.088  -152.032
522.853     87.111  -154.964
530.458     87.130  -157.983
538.174     87.142  -161.096
546.002     87.148  -164.307
553.943     87.146  -167.612
562.001     87.134  -171.007
570.175     87.115  -174.481
578.469     87.082  -178.061
586.883     87.038   178.274
595.419     86.981   174.528
604.080     86.911   170.707
612.866     86.825   166.806
621.780     86.724   162.832
630.824     86.603   158.783
640.000     86.465   154.676
649.309     86.306   150.507
658.753     86.126   146.289
668.335     85.923   142.030
678.056     85.698   137.739
687.919     85.447   133.426
