Frequency Spectrum for Input Signal

Data Shown:    QR24 (Alcons Audio)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 170°

Freq [Hz]	Signal Level [dBSPL]
22.4	33.1
23	33.4
23.6	33.8
24	34.1
25	34.2
25.8	34.1
26.5	35.8
27.2	38.2
28	40.8
29	43.7
30	46.5
30.7	44.5
31.5	43.5
32.5	41.8
33.5	47.2
34.5	49.8
35.5	51.5
36.5	53.2
37.5	55.4
38.7	58.7
40	60
41.2	61.8
42.5	64.4
43.7	68
45	71.8
46.2	71.1
47.5	71.4
48.7	75.8
50	77.7
51.5	76.2
53	77.2
54.5	79.9
56	82
58	84.3
60	86.2
61.5	88.2
63	89.9
65	91.5
67	92.7
69	93.5
71	94.1
73	95.2
75	96.2
77.5	97.2
80	97.9
82.5	98.6
85	99.4
87.5	100
90	100.3
92.5	100
95	100
97.5	99.8
100	99.7
103	99.9
106	100
109	100
112	99.9
115	99.7
118	99.6
122	99.6
125	99.6
128	99.6
132	99.7
136	99.7
140	99.7
145	99.4
150	99.3
155	99.3
160	99
165	98.7
170	99.5
175	99.8
180	99.7
185	99.6
190	99.8
195	100.1
200	100.4
206	100.2
212	99.6
218	99.3
224	99.1
230	99.1
236	98.7
240	97.8
250	97.1
258	96.9
265	97
272	97.1
280	97.1
290	97.1
300	97.3
307	97.9
315	98.1
325	97.7
335	97.4
345	96.4
355	95.9
365	95.5
375	95.2
387	94.7
400	94.1
412	93.5
425	93
437	92.9
450	92.9
462	93
475	92.9
487	93
500	92.5
515	91.9
530	91
545	89.7
560	87.9
580	86
600	85.3
615	84.8
630	84.8
650	85.3
670	85.3
690	84.8
710	83.5
730	82.8
750	83.7
775	83
800	83.5
825	84.7
850	83.8
875	83.1
900	81.7
925	79.7
950	81.1
975	79.5
1000	81
1030	80.2
1060	81.1
1090	74.8
1120	75.6
1150	76.6
1180	75
1220	76.4
1250	74.8
1280	77.9
1320	78
1360	75.2
1400	74.3
1450	73.7
1500	72.7
1550	72.6
1600	69.9
1650	69.5
1700	63.9
1750	58.6
1800	61.8
1850	58
1900	60.7
1950	59.5
2000	57.7
2060	61.5
2120	57.5
2180	61.5
2240	61
2300	62.9
2360	61.8
2400	63.7
2500	62
2580	61.7
2650	56.8
2720	53.6
2800	57.2
2900	58.8
3000	59
3070	56.4
3150	53
3250	54.4
3350	60.1
3450	60.4
3550	60.6
3650	61
3750	60.2
3870	57.4
4000	58.9
4120	60.5
4250	61.7
4370	60.2
4500	59.3
4620	59.4
4750	57.2
4870	58.1
5000	58.1
5150	52
5300	53.6
5450	51
5600	53.8
5800	51.1
6000	54.2
6150	53.9
6300	56.8
6500	58.5
6700	61.5
6900	63.2
7100	61.2
7300	60.7
7500	59
7750	58.5
8000	56.4
8250	56.2
8500	57
8750	54.1
9000	54.6
9250	53
9500	54.1
9750	53.5
10000	56.1
10300	54.8
10600	51.3
10900	53.4
11200	54.2
11500	55.8
11800	57.7
12200	57.5
12500	56.5
12800	58.2
13200	58.1
13600	54.4
14000	50.6
14500	54
15000	52.8
15500	51.4
16000	49.9
16500	52.3
17000	51.9
17500	50.1
18000	49.4
18500	49.3
19000	46.6
19500	46.6
20000	44
20600	41.3
21200	39.8
21800	40.6
22400	38.4
