Frequency Spectrum for Input Signal

Data Shown:    QR24 (Alcons Audio)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 130°

Freq [Hz]	Signal Level [dBSPL]
22.4	29.4
23	30.9
23.6	31
24	34.9
25	37.8
25.8	41.1
26.5	47.1
27.2	48.9
28	49
29	48.5
30	49.4
30.7	52.7
31.5	51.8
32.5	55.3
33.5	64.9
34.5	66
35.5	61.6
36.5	58.9
37.5	60.2
38.7	61.1
40	65.4
41.2	67.3
42.5	71.2
43.7	74.9
45	76.6
46.2	79.2
47.5	74.9
48.7	82.2
50	83.4
51.5	82.9
53	83.9
54.5	86.9
56	89
58	90.7
60	92.4
61.5	93.8
63	95.4
65	97.1
67	98.1
69	98.9
71	99.7
73	100.3
75	100.9
77.5	101.5
80	101.9
82.5	102.2
85	102.6
87.5	102.8
90	102.7
92.5	102.1
95	101.8
97.5	101.5
100	101.1
103	100.6
106	100.3
109	99.6
112	98.8
115	98
118	97.2
122	96.3
125	95.3
128	94.5
132	93.7
136	93.1
140	92.5
145	92
150	91.7
155	91.9
160	92.1
165	93.2
170	94.5
175	95.2
180	95.3
185	95.6
190	96
195	96.4
200	96.6
206	96.5
212	95.9
218	95.3
224	94.9
230	94.4
236	93.8
240	92.8
250	91.7
258	90.7
265	89.2
272	87.5
280	86.1
290	84.6
300	84.9
307	86.5
315	88.2
325	89.6
335	90.4
345	89.8
355	89.2
365	89.2
375	88.8
387	87.4
400	85.8
412	83.6
425	81.3
437	78.1
450	75.5
462	78.4
475	82.2
487	84.4
500	84.8
515	83.1
530	82.4
545	80.5
560	82.9
580	85.9
600	86
615	79.6
630	78.2
650	84.8
670	84
690	82
710	79.9
730	78.3
750	80.7
775	80.9
800	81.2
825	79.3
850	74.1
875	64.4
900	66.8
925	67.7
950	67.3
975	72.6
1000	75.4
1030	71.6
1060	64.8
1090	77
1120	78.9
1150	77.5
1180	78.5
1220	78.7
1250	74.3
1280	73.3
1320	68.1
1360	66
1400	67.1
1450	57.4
1500	70.4
1550	61.3
1600	61.4
1650	63.6
1700	70.3
1750	70.8
1800	68.2
1850	66.1
1900	64.3
1950	53.5
2000	60.5
2060	65
2120	67
2180	61.7
2240	60.3
2300	68.4
2360	65.8
2400	58.5
2500	59.6
2580	62.3
2650	62.3
2720	66.2
2800	69.3
2900	65.8
3000	56.2
3070	49.9
3150	63.4
3250	69.3
3350	68.9
3450	66.1
3550	53.5
3650	55.6
3750	63.9
3870	66.6
4000	67.7
4120	59.7
4250	41.9
4370	64.5
4500	67.3
4620	53.6
4750	50.3
4870	61.8
5000	64.1
5150	57.7
5300	61
5450	59.1
5600	60
5800	49.9
6000	59.8
6150	61.8
6300	49.6
6500	64
6700	60.4
6900	46.4
7100	61.6
7300	63.3
7500	62.3
7750	62
8000	42.8
8250	40.6
8500	63.9
8750	49.7
9000	35.6
9250	49.4
9500	57.1
9750	59.4
10000	57.4
10300	61.3
10600	58.2
10900	55.9
11200	46.8
11500	58.4
11800	41.1
12200	47.8
12500	43.8
12800	56.9
13200	61.3
13600	52.7
14000	53
14500	61.3
15000	54
15500	54.6
16000	42.4
16500	40
17000	50.4
17500	51.5
18000	53.7
18500	39.7
19000	51.7
19500	42.3
20000	43.1
20600	44.2
21200	41.5
21800	36.3
22400	35.7
