Frequency Spectrum for Input Signal

Data Shown:    QRP20 (Alcons Audio)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 140°  

Freq [Hz]	Signal Level [dBSPL]
22.4	-10.3
23	-12.5
23.6	-11.8
24	-3.8
25	0.7
25.8	6.5
26.5	12.8
27.2	18.7
28	21.7
29	26.1
30	25.7
30.7	22.1
31.5	20.8
32.5	20.8
33.5	24.6
34.5	28.4
35.5	32
36.5	33.4
37.5	34
38.7	35.1
40	37.1
41.2	38.4
42.5	38.5
43.7	38.6
45	39.9
46.2	45.3
47.5	52.1
48.7	57.3
50	60.1
51.5	57.2
53	55.6
54.5	57.4
56	59.1
58	59
60	60.8
61.5	63.9
63	65.6
65	66.8
67	68.5
69	70.7
71	73.1
73	75.2
75	77.6
77.5	80
80	81.7
82.5	83.7
85	85.8
87.5	87.7
90	89.5
92.5	91
95	92.1
97.5	93.1
100	93.6
103	93.8
106	93.9
109	94
112	93.7
115	93.5
118	93.3
122	93.2
125	93
128	92.9
132	92.8
136	92.7
140	92.8
145	92.6
150	92.4
155	92.2
160	91.8
165	91.2
170	90.4
175	89.6
180	89.7
185	89.9
190	89.9
195	89.8
200	89.6
206	89.1
212	88.3
218	87.4
224	86.6
230	86.3
236	86.2
240	86.1
250	85.9
258	85.6
265	85.3
272	85.4
280	85.3
290	85.3
300	85.1
307	84.9
315	84.7
325	84.8
335	84.8
345	84.4
355	83.9
365	83.6
375	83.6
387	83.3
400	82.9
412	82.4
425	82.1
437	81.8
450	81.4
462	80.6
475	79
487	76.7
500	74.8
515	73.7
530	72.8
545	70.4
560	67.9
580	69.7
600	71.9
615	73.4
630	72.6
650	71.1
670	68.6
690	65.9
710	67.2
730	70.8
750	71.6
775	72.3
800	73.1
825	72.8
850	73.4
875	73.8
900	73.6
925	72.1
950	71.6
975	70.8
1000	70.2
1030	62.2
1060	64.4
1090	66.9
1120	61.8
1150	69
1180	68.5
1220	60.3
1250	71.7
1280	70.9
1320	74.6
1360	74.6
1400	70.1
1450	74
1500	75.9
1550	76
1600	78.2
1650	77.2
1700	76.4
1750	73.6
1800	74.5
1850	77.3
1900	77.5
1950	73.6
2000	74.2
2060	74.7
2120	69.3
2180	69.2
2240	64.7
2300	62.1
2360	63.8
2400	64.2
2500	65.3
2580	62.8
2650	65.5
2720	68.4
2800	66.8
2900	66.1
3000	69.9
3070	68.9
3150	68.5
3250	69.5
3350	68.5
3450	67.6
3550	65.8
3650	63.1
3750	59.9
3870	57.6
4000	59.2
4120	59.1
4250	61.7
4370	61.8
4500	58.3
4620	58.5
4750	60.2
4870	62.4
5000	61.8
5150	59.9
5300	60.3
5450	60.5
5600	61.2
5800	60.3
6000	58.2
6150	57.7
6300	63.5
6500	60.2
6700	61.2
6900	63.4
7100	60
7300	61.6
7500	61
7750	60.6
8000	61.4
8250	63.4
8500	60.8
8750	58.9
9000	60.5
9250	60.8
9500	62.4
9750	59.7
10000	58.7
10300	61
10600	62.5
10900	62.6
11200	59.6
11500	62.2
11800	61
12200	62.4
12500	61.3
12800	62.4
13200	63.4
13600	60.5
14000	63.4
14500	63.5
15000	56.7
15500	60.3
16000	61
16500	58.6
17000	59.6
17500	60
18000	61.3
18500	57.4
19000	57.7
19500	55.1
20000	56.6
20600	56.5
21200	51.9
21800	49.3
22400	47.5
