Frequency Spectrum for Input Signal

Data Shown:    QRP20 (Alcons Audio)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 60°

Freq [Hz]	Signal Level [dBSPL]
22.4	-6.9
23	-2.9
23.6	0.4
24	4.9
25	9
25.8	13.4
26.5	20.2
27.2	24.8
28	26.4
29	27.2
30	22.7
30.7	19.2
31.5	17.9
32.5	18.3
33.5	22.8
34.5	25.5
35.5	26.7
36.5	27
37.5	27.3
38.7	28.6
40	34.8
41.2	40.2
42.5	42.3
43.7	42.2
45	43
46.2	45.8
47.5	50.5
48.7	56.2
50	58.9
51.5	55.1
53	51.4
54.5	54.1
56	56.8
58	59
60	61.1
61.5	63.3
63	65.2
65	67.1
67	69.3
69	71.4
71	73.6
73	75.6
75	77.4
77.5	79.4
80	81.7
82.5	83.4
85	85.3
87.5	87.3
90	89
92.5	90.4
95	91.4
97.5	92.3
100	93
103	93.6
106	93.9
109	94.1
112	94
115	93.9
118	93.7
122	93.5
125	93.3
128	93
132	92.8
136	92.6
140	92.5
145	92.3
150	92.1
155	91.9
160	91.6
165	91.2
170	90.7
175	90.1
180	89.8
185	89.5
190	89.2
195	88.6
200	87.9
206	87
212	86.4
218	86.2
224	86.1
230	86.1
236	86.1
240	85.9
250	85.8
258	85.9
265	86
272	86
280	85.6
290	85.1
300	84.4
307	83.8
315	83.3
325	82.8
335	82.4
345	81.8
355	81
365	80.3
375	80.1
387	79.7
400	78.9
412	78
425	76.9
437	75.9
450	75.1
462	74.1
475	72.7
487	70.1
500	67.2
515	66.3
530	67.5
545	71.4
560	73.5
580	73.5
600	74.2
615	77.8
630	80.8
650	82.2
670	82.9
690	83
710	83.3
730	84.4
750	85.3
775	85.1
800	84.3
825	83.5
850	82.9
875	81.1
900	79
925	78.3
950	78.3
975	78.6
1000	77.9
1030	77
1060	74.4
1090	74.4
1120	76.1
1150	78.4
1180	80.7
1220	82.6
1250	83.7
1280	83.6
1320	84.7
1360	86.2
1400	86
1450	85.8
1500	85.5
1550	84.8
1600	84.9
1650	85.6
1700	84.9
1750	84.4
1800	82.6
1850	81.2
1900	78.7
1950	70.4
2000	79.6
2060	80.2
2120	82.4
2180	81.7
2240	81.1
2300	82.3
2360	82.7
2400	81.1
2500	82.5
2580	82
2650	81.2
2720	80.7
2800	79.6
2900	81.1
3000	79.3
3070	78.6
3150	78
3250	77.7
3350	77.4
3450	78
3550	74.6
3650	74.8
3750	77.2
3870	79.4
4000	81.2
4120	81.2
4250	81.4
4370	80.3
4500	79.8
4620	78.6
4750	72.2
4870	64.9
5000	63.1
5150	70.5
5300	72.6
5450	72.3
5600	72
5800	69.2
6000	71.2
6150	72
6300	70.1
6500	62.1
6700	66.3
6900	66.3
7100	67
7300	67
7500	67.2
7750	70.8
8000	68.3
8250	68.2
8500	68
8750	71.9
9000	74.1
9250	75.5
9500	74.7
9750	72.7
10000	71
10300	69.2
10600	68.8
10900	65.8
11200	65.6
11500	62.7
11800	63.8
12200	66.4
12500	70.8
12800	70.4
13200	69.5
13600	67.2
14000	69.6
14500	68.7
15000	67.1
15500	68.6
16000	66.8
16500	66.7
17000	67.9
17500	66.2
18000	61.8
18500	63.8
19000	62.8
19500	60.2
20000	60.6
20600	60.4
21200	62.5
21800	59.2
22400	49.6
