Frequency Spectrum for Input Signal

Data Shown:    RR12 HOR (Alcons Audio)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 100°

Freq [Hz]	Signal Level [dBSPL]
22.4	19.3
23	19.4
23.6	7.5
24	22.9
25	29.7
25.8	29
26.5	27.6
27.2	36.6
28	47.7
29	45.4
30	50.2
30.7	41.1
31.5	48.3
32.5	57.6
33.5	63.8
34.5	66.7
35.5	63.2
36.5	71.5
37.5	72.4
38.7	71.6
40	73.9
41.2	76.1
42.5	76.5
43.7	74.5
45	73
46.2	74.7
47.5	85
48.7	87.6
50	88.2
51.5	89.3
53	89.4
54.5	91.8
56	93.2
58	94
60	95.3
61.5	96.9
63	98.5
65	99.9
67	100.9
69	101.9
71	102.9
73	104.1
75	105
77.5	105.4
80	105.9
82.5	106.4
85	106.6
87.5	106.6
90	106.5
92.5	106.4
95	106.1
97.5	105.8
100	105.2
103	104.7
106	104.5
109	104.4
112	104.5
115	104.5
118	104.7
122	105
125	105.3
128	105.7
132	106.3
136	106.5
140	106.5
145	107.1
150	107
155	106.3
160	106.2
165	106.4
170	106.5
175	106.6
180	106.6
185	106.6
190	106.6
195	106.3
200	105.6
206	104
212	103
218	103.4
224	103.6
230	104
236	104
240	103.3
250	102.3
258	101.5
265	102.7
272	103.5
280	104.5
290	105.3
300	105.8
307	105.7
315	105.8
325	106.1
335	106.5
345	106.5
355	106.2
365	105.6
375	104.2
387	104.9
400	107.2
412	106.5
425	107.1
437	107.3
450	106.7
462	105.9
475	106.2
487	106.1
500	105.9
515	104.8
530	104.1
545	103.5
560	102.1
580	99.4
600	95.7
615	95.2
630	97.2
650	100
670	101.3
690	100.6
710	100
730	99.2
750	98.2
775	97.2
800	96.1
825	95.6
850	94.3
875	93.4
900	93.5
925	93
950	94
975	93.6
1000	95.1
1030	96.5
1060	97.2
1090	95.7
1120	92.2
1150	93.8
1180	93.8
1220	95.4
1250	94.8
1280	93.8
1320	89.8
1360	87.6
1400	82.9
1450	81.2
1500	76.5
1550	71.5
1600	81.1
1650	77
1700	76.6
1750	81.1
1800	85.8
1850	82.4
1900	80.7
1950	83.9
2000	86.5
2060	85.3
2120	87.6
2180	87.5
2240	86.4
2300	87.9
2360	86.7
2400	87.3
2500	86.1
2580	84.8
2650	86.8
2720	87.6
2800	87.4
2900	85
3000	83.7
3070	85.2
3150	86.5
3250	87.6
3350	87.9
3450	88.8
3550	88.7
3650	88.7
3750	88.5
3870	86.2
4000	82.4
4120	81.1
4250	79.8
4370	77.2
4500	74.8
4620	61.3
4750	70.8
4870	77.8
5000	81.2
5150	79
5300	78.3
5450	81
5600	80
5800	78.1
6000	81
6150	84.6
6300	83.2
6500	83.1
6700	84.2
6900	85
7100	85.4
7300	84.4
7500	83.5
7750	83.8
8000	84.4
8250	85.5
8500	82.5
8750	80.6
9000	81.2
9250	75.3
9500	74.4
9750	80.4
10000	80
10300	78.4
10600	80.4
10900	84.5
11200	82.5
11500	75.8
11800	74.1
12200	80.5
12500	79.2
12800	80.5
13200	79.4
13600	79.9
14000	79.2
14500	80.5
15000	79.2
15500	75
16000	76.5
16500	75.2
17000	74.9
17500	71.7
18000	61.5
18500	66.6
19000	58.1
19500	65
20000	68.2
20600	62.3
21200	63.6
21800	59
22400	52.1
