Frequency Spectrum for Input Signal

Data Shown:    SR9 (Alcons Audio)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 100°  

Freq [Hz]	Signal Level [dBSPL]
22.4	34.6
23	35.2
23.6	36.1
24	37.4
25	38.8
25.8	40.4
26.5	43.2
27.2	45.3
28	44.4
29	42.3
30	36.3
30.7	35.4
31.5	36.3
32.5	36.9
33.5	40
34.5	41.9
35.5	43.1
36.5	44.4
37.5	45.8
38.7	46.7
40	50.4
41.2	53
42.5	54
43.7	53
45	49.2
46.2	48.6
47.5	49.7
48.7	51.4
50	52.2
51.5	53.7
53	54.6
54.5	57.2
56	58.4
58	57.9
60	58.2
61.5	60.3
63	62.3
65	64.2
67	65.4
69	66.7
71	68.1
73	69.1
75	70.3
77.5	71.6
80	72.8
82.5	74.2
85	75.5
87.5	76.7
90	77.7
92.5	78.5
95	79
97.5	79.6
100	80.3
103	80.8
106	81.2
109	81.7
112	81.9
115	82.1
118	82.4
122	82.5
125	82.7
128	83
132	83.4
136	83.7
140	84
145	84.2
150	84.4
155	84.7
160	85
165	85.4
170	85.7
175	86.1
180	86.5
185	86.9
190	87.2
195	87.5
200	87.7
206	87.9
212	87.8
218	87.5
224	87
230	86.5
236	86.2
240	85.6
250	84.9
258	85.4
265	85.8
272	85.7
280	85.5
290	85.3
300	85.1
307	85.1
315	85.3
325	85.5
335	85.2
345	84.7
355	84
365	83.4
375	83.3
387	83.2
400	82.8
412	81.9
425	81.4
437	81.4
450	81.7
462	82
475	82.1
487	81.9
500	81.9
515	82
530	81.8
545	81.3
560	81.2
580	81.9
600	82.3
615	83
630	83.4
650	84
670	84.4
690	84.4
710	84.4
730	84.3
750	83.9
775	83.6
800	83.5
825	83.6
850	84
875	83.5
900	83.2
925	82.4
950	81
975	81.2
1000	80.9
1030	81.3
1060	81.2
1090	79.9
1120	79.7
1150	79.3
1180	79.4
1220	78.8
1250	78.2
1280	78.2
1320	78.2
1360	76.1
1400	76.3
1450	75.7
1500	77.1
1550	76.7
1600	75.1
1650	74.1
1700	72.4
1750	71.9
1800	70.1
1850	71.6
1900	71.3
1950	68.7
2000	67.3
2060	67.6
2120	68.5
2180	65.6
2240	66.3
2300	66.6
2360	64.4
2400	62
2500	59.4
2580	61.4
2650	58.6
2720	59.3
2800	57.4
2900	64.8
3000	64.8
3070	65.3
3150	67.8
3250	69.6
3350	70
3450	70.6
3550	69.6
3650	68.8
3750	69.2
3870	67.4
4000	66.9
4120	66.7
4250	65.5
4370	63.3
4500	66.3
4620	61.9
4750	65.7
4870	66.6
5000	63.3
5150	61.9
5300	59.4
5450	60.2
5600	59.5
5800	57.4
6000	58.4
6150	57.4
6300	59.4
6500	56
6700	57
6900	58.9
7100	61.4
7300	64.1
7500	64.5
7750	63.4
8000	59.4
8250	58.2
8500	60.9
8750	63.9
9000	66.4
9250	67.5
9500	67.2
9750	65.5
10000	59.8
10300	53
10600	49.7
10900	47.3
11200	54.7
11500	58.8
11800	58.2
12200	57.2
12500	57.3
12800	55.1
13200	56.8
13600	58.3
14000	54.7
14500	49.3
15000	47
15500	48.3
16000	49.6
16500	52.5
17000	51.2
17500	46.3
18000	47.6
18500	48.3
19000	46.7
19500	44.1
20000	42.4
20600	39.4
21200	36.3
21800	39.2
22400	-107.2
