Frequency Spectrum for Input Signal

Data Shown:    VR5 (Alcons Audio)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 90°  

Freq [Hz]	Signal Level [dBSPL]
22.4	9.5
23	14.7
23.6	16.2
24	16.4
25	16.8
25.8	19.4
26.5	21
27.2	21.9
28	24.9
29	26.6
30	28.7
30.7	30.6
31.5	32.7
32.5	34.5
33.5	36.8
34.5	38.4
35.5	40.4
36.5	42.6
37.5	44.7
38.7	46.6
40	48.7
41.2	50.5
42.5	52.8
43.7	54.9
45	57
46.2	59.4
47.5	61.5
48.7	63.6
50	65.4
51.5	67.8
53	69.9
54.5	72.1
56	74.1
58	76.2
60	78.2
61.5	80.2
63	82.1
65	83.9
67	85.6
69	87.2
71	88.7
73	89.9
75	91.1
77.5	92.1
80	93
82.5	93.7
85	94.4
87.5	95
90	95.4
92.5	95.8
95	96.1
97.5	96.4
100	96.6
103	96.8
106	96.9
109	97
112	97
115	97.1
118	97.1
122	97.2
125	97.2
128	97.2
132	97.3
136	97.3
140	97.3
145	97.3
150	97.3
155	97.2
160	97.2
165	97.2
170	97.1
175	97
180	97
185	96.9
190	96.7
195	96.5
200	96.3
206	96.2
212	96
218	95.6
224	95.3
230	95.2
236	94.9
240	94.6
250	94.5
258	94.5
265	94.2
272	93.9
280	93.7
290	93.5
300	93.2
307	93.1
315	93
325	92.7
335	92.5
345	92.3
355	92.3
365	92.3
375	92.3
387	92.3
400	92
412	91.5
425	91.4
437	91.1
450	91.5
462	91.7
475	92.1
487	92.1
500	91.4
515	90.9
530	90.7
545	90.6
560	90.9
580	91.3
600	91.6
615	91.5
630	91.5
650	91.8
670	91.9
690	91.9
710	92.2
730	92.5
750	92.4
775	92.4
800	92
825	91.3
850	91
875	90.3
900	89.6
925	90
950	89.9
975	90.2
1000	90.2
1030	89.5
1060	89.3
1090	88.7
1120	88.7
1150	88.2
1180	88.6
1220	87.9
1250	88.2
1280	88.5
1320	89.8
1360	90
1400	87.4
1450	84.1
1500	83.8
1550	85
1600	85.8
1650	85.8
1700	85.7
1750	84.8
1800	84.4
1850	83.6
1900	82.8
1950	81.9
2000	82.2
2060	80.9
2120	80.1
2180	80.6
2240	80.3
2300	79.5
2360	79.7
2400	80
2500	79.9
2580	80.9
2650	81.5
2720	80.8
2800	81.5
2900	81.7
3000	81.5
3070	80.8
3150	80.8
3250	80.3
3350	80.4
3450	79
3550	78.4
3650	78.2
3750	79.4
3870	80.3
4000	79.4
4120	79
4250	80
4370	80
4500	80.6
4620	81.2
4750	80.1
4870	79.5
5000	78.2
5150	76
5300	72.6
5450	70.7
5600	70.4
5800	71
6000	73.9
6150	76.2
6300	77.4
6500	78.3
6700	79.4
6900	79.5
7100	78.7
7300	76.1
7500	71.9
7750	66.9
8000	68.6
8250	71.6
8500	73.1
8750	73.9
9000	75.9
9250	79
9500	78.6
9750	77
10000	75.8
10300	75.6
10600	74.6
10900	73.4
11200	73.6
11500	74.4
11800	75.2
12200	74.9
12500	74
12800	72.5
13200	71.7
13600	70.8
14000	71.7
14500	73.6
15000	74
15500	73
16000	69.2
16500	62.1
17000	67.1
17500	69
18000	69.3
18500	68.3
19000	62.4
19500	55.6
20000	59
20600	60.6
21200	57.8
21800	53.7
22400	52.4
