Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -9.287    10.281
5.07273     -8.961    11.005
5.14651     -8.737    11.552
5.22137     -8.792    11.607
5.29732     -8.848    11.662
5.37437     -8.904    11.718
5.45254     -8.959    11.773
5.53185     -9.244    12.989
5.61231     -9.772    15.435
5.69394    -10.300    17.881
5.77676    -10.827    20.327
5.86079    -11.348    22.883
5.94604    -11.492    31.943
6.03252    -11.635    41.003
6.12027    -11.779    50.064
6.20929    -11.922    59.124
6.29961    -11.140    65.140
6.39124    -10.152    70.480
6.48420     -9.165    75.821
6.57851     -8.177    81.161
6.67420     -7.475    81.719
6.77128     -6.820    81.499
6.86977     -6.164    81.280
6.96969     -5.588    80.926
7.07107     -5.615    79.546
7.17392     -5.642    78.166
7.27827     -5.668    76.786
7.38413     -6.194    77.168
7.49154     -7.106    78.911
7.60050     -8.018    80.654
7.71105     -8.839    85.024
7.82321     -9.259   100.929
7.93701     -9.678   116.834
8.05245    -10.098   132.740
8.16958     -8.211   140.238
8.28841     -6.238   147.423
8.40896     -4.265   154.607
8.53128     -3.028   153.636
8.65537     -1.885   151.614
8.78126     -0.742   149.591
8.90899     -0.569   146.044
9.03857     -0.460   142.396
9.17004     -0.533   139.180
9.30342     -2.060   139.399
9.43874     -3.586   139.618
9.57603     -4.483   153.191
9.71532     -4.416  -172.831
9.85663     -4.350  -138.854
10.0000     -1.132  -128.981
10.1455      2.964  -125.824
10.2930      6.584  -125.026
10.4427      8.875  -130.811
10.5946     11.167  -136.597
10.7487     12.826  -143.895
10.9051     14.360  -151.496
11.0637     15.668  -159.565
11.2246     16.739  -168.129
11.3879     17.734  -176.879
11.5535     18.454   173.695
11.7216     19.169   164.251
11.8921     19.584   153.785
12.0650     20.000   143.317
12.2405     20.164   131.510
12.4186     20.296   119.530
12.5992     20.235   105.574
12.7825     20.131    91.180
12.9684     19.979    73.797
13.1570     19.816    55.718
13.3484     19.987    34.370
13.5426     20.213    12.490
13.7395     21.124    -9.729
13.9394     22.104   -31.612
14.1421     23.414   -50.836
14.3478     24.703   -69.122
14.5565     25.949   -85.393
14.7683     27.052  -100.622
14.9831     28.044  -115.045
15.2010     28.773  -128.575
15.4221     29.393  -141.842
15.6464     29.741  -154.621
15.8740     29.883  -167.201
16.1049     29.861  -179.621
16.3392     29.431   168.191
16.5768     28.772   156.091
16.8179     27.801   144.107
17.0626     26.170   132.312
17.3107     23.936   120.685
17.5625     20.913   109.277
17.8180     14.198    99.398
18.0771     10.739   151.973
18.3401     11.333  -109.231
18.6068     17.527  -118.200
18.8775     20.897  -127.545
19.1521     22.765  -136.572
19.4306     23.796  -144.765
19.7133     24.195  -151.170
20.0000     24.360  -155.577
20.2909     24.496  -158.281
20.5860     24.749  -159.777
20.8855     25.238  -161.018
21.1893     25.944  -163.769
21.4975     26.632  -168.176
21.8102     27.189  -173.549
22.1274     27.568  -178.973
22.4492     27.813   176.612
22.7758     28.072   174.056
23.1071     28.586   173.390
23.4432     29.554   173.126
23.7841     30.894   170.905
24.1301     32.256   166.147
24.4811     33.406   159.680
24.8372     34.230   152.770
25.1984     34.724   146.809
25.5649     35.008   143.072
25.9368     35.336   142.143
26.3141     35.990   143.063
26.6968     37.039   143.604
27.0851     38.273   142.145
27.4791     39.416   138.667
