Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -10.320     9.814
5.07273     -9.998    10.436
5.14651     -9.776    10.878
5.22137     -9.832    10.817
5.29732     -9.888    10.756
5.37437     -9.945    10.696
5.45254    -10.001    10.635
5.53185    -10.285    11.730
5.61231    -10.809    14.050
5.69394    -11.334    16.369
5.77676    -11.858    18.688
5.86079    -12.376    21.118
5.94604    -12.513    30.047
6.03252    -12.649    38.976
6.12027    -12.785    47.905
6.20929    -12.921    56.834
6.29961    -12.128    62.721
6.39124    -11.128    67.932
6.48420    -10.128    73.143
6.57851     -9.129    78.354
6.67420     -8.411    78.790
6.77128     -7.739    78.450
6.86977     -7.067    78.111
6.96969     -6.474    77.638
7.07107     -6.480    76.154
7.17392     -6.486    74.670
7.27827     -6.491    73.186
7.38413     -6.995    73.477
7.49154     -7.882    75.139
7.60050     -8.769    76.801
7.71105     -9.565    81.095
7.82321     -9.957    96.948
7.93701    -10.349   112.801
8.05245    -10.741   128.654
8.16958     -8.825   136.132
8.28841     -6.822   143.297
8.40896     -4.820   150.462
8.53128     -3.552   149.503
8.65537     -2.379   147.496
8.78126     -1.206   145.489
8.90899     -1.004   141.991
9.03857     -0.865   138.395
9.17004     -0.908   135.234
9.30342     -2.406   135.538
9.43874     -3.905   135.843
9.57603     -4.774   149.514
9.71532     -4.681  -176.392
9.85663     -4.589  -142.299
10.0000     -1.349  -132.290
10.1455      2.769  -128.991
10.2930      6.410  -128.045
10.4427      8.719  -133.669
10.5946     11.028  -139.293
10.7487     12.701  -146.419
10.9051     14.247  -153.846
11.0637     15.566  -161.739
11.2246     16.645  -170.125
11.3879     17.647  -178.697
11.5535     18.369   172.052
11.7216     19.087   162.784
11.8921     19.500   152.481
12.0650     19.913   142.177
12.2405     20.072   130.519
12.4186     20.199   118.685
12.5992     20.129   104.856
12.7825     20.015    90.583
12.9684     19.853    73.301
13.1570     19.679    55.317
13.3484     19.839    34.037
13.5426     20.052    12.222
13.7395     20.952    -9.963
13.9394     21.921   -31.817
14.1421     23.221   -51.037
14.3478     24.501   -69.328
14.5565     25.739   -85.622
14.7683     26.838  -100.884
14.9831     27.828  -115.350
15.2010     28.557  -128.936
15.4221     29.180  -142.261
15.6464     29.535  -155.101
15.8740     29.688  -167.739
16.1049     29.680   179.785
16.3392     29.270   167.558
16.5768     28.632   155.430
16.8179     27.687   143.434
17.0626     26.086   131.662
17.3107     23.883   120.083
17.5625     20.894   108.752
17.8180     14.215    99.003
18.0771     10.791   151.745
18.3401     11.421  -109.254
18.6068     17.647  -117.957
18.8775     21.047  -126.988
19.1521     22.940  -135.661
19.4306     23.990  -143.459
19.7133     24.401  -149.420
20.0000     24.566  -153.353
20.2909     24.694  -155.565
20.5860     24.928  -156.558
20.8855     25.385  -157.296
21.1893     26.046  -159.565
21.4975     26.677  -163.525
21.8102     27.165  -168.499
22.1274     27.466  -173.587
22.4492     27.624  -177.741
22.7758     27.789   179.878
23.1071     28.205   179.290
23.4432     29.074   179.002
23.7841     30.314   176.645
24.1301     31.583   171.649
24.4811     32.647   164.850
24.8372     33.393   157.523
25.1984     33.823   151.072
25.5649     34.056   146.789
25.9368     34.348   145.278
26.3141     34.983   145.598
26.6968     36.029   145.544
27.0851     37.274   143.513
27.4791     38.444   139.511
27.8788     39.389   134.634
28.2843     40.121   129.985
28.6957     40.729   126.141
29.1131     41.307   123.126
29.5365     41.914   120.582
29.9661     42.545   118.143
30.4020     43.173   115.666
30.8442     43.786   113.171
31.2929     44.390   110.625
31.7480     44.982   107.916
32.2098     45.541   105.017
32.6783     46.050   102.069
33.1536     46.538    99.244
33.6359     47.042    96.481
34.1251     47.572    93.527
34.6215     48.091    90.283
35.1250     48.577    87.000
35.6359     49.059    84.037
36.1543     49.600    81.336
36.6802     50.223    78.488
37.2137     50.867    75.222
37.7550     51.467    71.841
38.3041     52.031    68.856
38.8613     52.626    66.306
39.4265     53.284    63.802
40.0000     53.944    61.012
40.5818     54.548    58.089
41.1721     55.096    55.392
41.7710     55.631    52.942
42.3785     56.162    50.567
42.9949     56.677    48.222
43.6203     57.183    46.025
44.2548     57.720    43.942
44.8985     58.298    41.704
45.5515     58.898    39.205
46.2141     59.505    36.523
46.8863     60.133    33.719
47.5683     60.786    30.737
48.2602     61.459    27.605
48.9621     62.153    24.418
49.6743     62.885    21.138
50.3968     63.652    17.612
51.1299     64.422    13.814
51.8736     65.183     9.892
52.6281     65.949     5.896
53.3936     66.726     1.660
54.1702     67.486    -2.963
54.9581     68.202    -7.921
55.7575     68.878   -13.158
56.5685     69.520   -18.793
57.3914     70.113   -24.949
58.2261     70.632   -31.537
59.0730     71.081   -38.372
59.9323     71.484   -45.333
60.8040     71.845   -52.365
61.6884     72.155   -59.301
62.5857     72.417   -65.968
63.4960     72.625   -72.269
64.4196     72.762   -78.153
65.3566     72.820   -83.468
66.3073     72.824   -88.285
67.2717     72.775   -92.858
68.2502     72.657   -97.174
69.2429     72.524  -101.074
70.2501     72.422  -104.888
71.2719     72.321  -108.625
72.3086     72.258  -112.067
73.3603     72.226  -115.474
74.4274     72.182  -118.598
75.5099     72.160  -121.416
76.6083     72.114  -124.193
77.7226     72.040  -126.387
78.8531     72.047  -128.287
80.0000     72.071  -130.341
81.1636     72.129  -132.030
82.3442     72.272  -133.913
83.5419     72.391  -136.018
84.7570     72.510  -137.961
85.9899     72.629  -139.959
87.2406     72.728  -141.807
88.5096     72.861  -143.461
89.7970     73.037  -145.232
91.1031     73.228  -147.306
92.4282     73.378  -149.536
93.7726     73.494  -151.711
95.1366     73.571  -153.482
96.5204     73.685  -154.657
97.9243     73.883  -155.503
99.3486     74.145  -156.391
100.794     74.448  -157.430
102.260     74.751  -158.727
103.747     75.065  -160.256
105.256     75.386  -162.053
106.787     75.711  -164.043
108.340     76.047  -166.039
109.916     76.374  -167.989
111.515     76.710  -169.678
113.137     77.096  -171.433
114.783     77.503  -173.484
116.452     77.915  -175.787
118.146     78.336  -178.070
119.865     78.771   179.721
121.608     79.237   177.345
123.377     79.709   174.735
125.171     80.198   171.596
126.992     80.698   167.995
128.839     81.190   164.130
130.713     81.655   159.995
132.615     82.063   155.770
134.543     82.439   151.449
136.500     82.834   146.849
138.486     83.185   142.249
140.500     83.492   136.958
142.544     83.741   131.341
144.617     83.932   126.287
146.721     84.135   121.268
148.855     84.366   115.242
151.020     84.452   108.654
153.217     84.362   102.175
155.445     84.158    96.552
157.706     83.956    90.945
160.000     83.527    85.963
162.327     83.211    82.489
164.688     83.000    79.132
167.084     82.866    75.692
169.514     82.660    70.172
171.980     81.980    65.117
174.481     81.215    63.965
177.019     80.987    65.626
179.594     81.273    64.335
182.206     81.208    60.177
184.856     80.965    57.257
187.545     80.775    54.936
190.273     80.598    52.579
193.041     80.424    49.933
195.849     80.212    47.436
198.697     79.991    44.892
201.587     79.742    42.255
204.520     79.401    39.686
207.494     79.067    38.111
210.512     78.768    37.032
213.574     78.656    34.765
216.681     78.172    32.906
219.833     77.946    32.577
223.030     77.638    31.330
226.274     77.364    30.762
229.565     77.148    30.498
232.905     76.993    30.413
236.292     76.985    30.490
239.729     77.052    28.341
243.216     76.732    25.752
246.754     76.443    25.487
250.343     76.204    25.067
253.984     76.072    25.397
257.678     76.131    24.902
261.426     76.172    23.072
265.229     75.864    20.676
269.087     75.546    19.300
273.001     75.173    19.741
276.972     75.089    20.174
281.000     74.942    20.076
285.088     74.850    19.937
289.234     74.863    20.004
293.441     74.861    18.704
297.709     74.750    17.749
302.040     74.650    16.179
306.433     74.417    15.229
310.890     74.104    14.955
315.412     74.113    14.119
320.000     73.936    12.933
324.655     73.396    11.179
329.377     73.131    13.638
334.168     73.079    14.331
339.028     73.013    14.499
343.959     73.016    14.080
348.962     72.772    12.817
354.038     72.459    12.687
359.188     72.149    14.849
364.412     72.418    14.894
369.713     72.141    13.309
375.090     71.652    14.108
380.546     71.658    16.078
386.081     71.448    16.908
391.697     71.470    19.496
397.394     71.744    19.217
403.175     71.523    19.303
409.039     71.773    21.169
414.989     72.057    19.079
421.025     71.870    17.579
427.149     71.603    16.351
433.362     71.315    18.227
439.665     71.604    18.967
446.060     71.498    17.989
452.548     71.441    19.054
459.131     71.730    17.500
465.809     71.345    16.694
472.584     71.570    16.797
479.458     71.371    14.567
486.432     71.166    13.607
493.507     71.040    13.839
500.686     70.953    11.472
507.968     70.613    10.864
515.357     70.394    10.089
522.853     70.180     9.048
530.458     69.896     8.107
538.174     69.614     6.996
546.002     69.208     5.804
553.943     68.775     5.179
562.001     68.318     5.011
570.175     67.850     5.141
578.469     67.412     5.634
586.883     66.976     6.396
595.419     66.590     7.445
604.080     66.223     8.846
612.866     65.906    10.165
621.780     65.647    11.516
630.824     65.425    12.583
640.000     65.239    13.346
649.309     65.052    13.734
658.753     64.866    13.564
668.335     64.643    12.907
678.056     64.371    11.871
687.919     64.013    10.324
697.925     63.554     8.232
708.077     62.974     5.797
718.376     62.242     2.784
728.825     61.331    -0.739
739.426     60.170    -4.751
750.181     58.705    -9.901
761.093     56.785   -16.216
772.163     54.261   -25.792
783.394     50.982   -42.757
794.789     47.647   -78.166
806.349     48.300  -126.772
818.078     51.893  -155.961
829.977     55.072  -170.561
842.050     57.510  -178.707
854.298     59.377   175.474
866.724     60.856   171.250
879.330     62.068   167.683
892.120     63.077   164.939
905.097     63.908   162.542
918.262     64.617   160.719
931.618     65.210   159.335
945.169     65.720   158.488
958.917     66.161   158.118
972.864     66.566   158.293
987.015     66.974   158.915
1001.37     67.418   160.099
1015.94     67.915   161.587
1030.71     68.485   163.140
1045.71     69.147   164.477
1060.92     69.891   165.422
1076.35     70.666   165.673
1092.00     71.449   165.165
1107.89     72.215   163.945
1124.00     72.924   162.046
1140.35     73.550   159.591
1156.94     74.088   156.683
1173.77     74.514   153.532
1190.84     74.833   150.277
1208.16     75.045   147.085
1225.73     75.159   144.126
1243.56     75.186   141.527
1261.65     75.154   139.439
1280.00     75.094   137.939
1298.62     75.048   136.956
1317.51     75.037   136.377
1336.67     75.088   135.899
1356.11     75.196   135.324
1375.84     75.337   134.359
1395.85     75.468   132.927
1416.15     75.561   131.032
1436.75     75.568   128.868
1457.65     75.485   126.550
1478.85     75.306   124.378
1500.36     75.042   122.540
1522.19     74.720   121.199
1544.33     74.371   120.390
1566.79     74.031   119.985
1589.58     73.717   119.817
1612.70     73.414   119.650
1636.16     73.087   119.357
1659.95     72.695   119.056
1684.10     72.212   119.022
1708.60     71.636   119.670
1733.45     71.027   121.486
1758.66     70.476   124.626
1784.24     70.100   128.739
1810.19     69.972   132.941
1836.52     70.047   136.283
1863.24     70.192   138.251
1890.34     70.296   138.904
1917.83     70.268   138.651
1945.73     70.075   138.011
1974.03     69.705   137.481
2002.74     69.187   137.442
2031.87     68.566   138.266
2061.43     67.895   140.082
2091.41     67.260   142.769
2121.83     66.694   145.840
2152.69     66.152   148.665
2184.01     65.526   150.923
2215.77     64.624   153.251
2248.00     63.367   157.143
2280.70     61.838   165.163
2313.87     60.574   179.408
2347.53     60.340  -162.846
2381.68     61.060  -147.829
2416.32     62.011  -136.684
2451.46     63.013  -126.910
2487.12     64.266  -117.927
2523.30     65.823  -111.360
2560.00     67.422  -108.470
2597.24     68.752  -108.524
2635.01     69.710  -109.865
2673.34     70.344  -110.994
2712.23     70.827  -111.063
2751.68     71.357  -110.193
2791.70     72.033  -109.446
2832.31     72.793  -109.946
2873.50     73.489  -112.012
2915.30     73.982  -115.161
2957.70     74.222  -118.497
3000.72     74.271  -121.024
3044.37     74.303  -122.341
3088.65     74.487  -123.238
3133.58     74.810  -125.267
3179.16     75.039  -129.092
3225.40     74.974  -133.776
3272.31     74.619  -137.530
3319.91     74.233  -139.443
3368.20     74.093  -140.787
3417.19     74.107  -143.811
3466.89     73.938  -148.748
3517.32     73.431  -153.769
3568.48     72.794  -157.246
3620.39     72.309  -160.029
3673.05     71.924  -164.211
3726.47     71.309  -169.790
3780.67     70.373  -174.666
3835.67     69.391  -177.455
3891.46     68.643  -179.231
3948.06     68.092   178.369
4005.49     67.616   174.968
4063.75     67.099   170.411
4122.86     66.319   165.736
4182.82     65.415   164.363
4243.66     65.252   165.708
4305.39     65.735   162.069
4368.01     65.541   153.932
4431.55     64.478   150.705
4496.01     64.275   154.759
4561.40     65.099   153.107
4627.75     65.052   146.641
4695.06     64.403   146.406
4763.35     64.674   148.722
4832.64     64.847   145.678
4902.93     64.161   145.460
4974.24     63.873   150.099
5046.60     63.588   152.998
5120.00     62.994   161.990
5194.47     63.625   173.894
5270.03     64.582  -177.568
5346.68     66.188  -169.738
5424.45     67.837  -169.756
5503.35     68.677  -169.446
5583.40     70.087  -169.522
5664.61     70.741  -178.221
5747.01     69.430   179.072
5830.60     69.045  -169.230
5915.41     70.182  -162.419
6001.45     71.309  -160.016
6088.74     72.146  -162.194
6177.30     72.133  -162.423
6267.15     72.549  -159.364
6358.31     72.927  -158.774
6450.80     73.234  -156.285
6544.62     73.718  -154.258
6639.82     74.373  -152.026
6736.40     75.074  -152.344
6834.38     75.718  -151.589
6933.79     76.669  -154.504
7034.64     76.903  -158.773
7136.96     77.200  -161.414
7240.77     77.155  -165.268
7346.09     77.086  -166.063
7452.94     77.124  -167.521
7561.35     77.204  -167.347
7671.33     77.621  -168.314
7782.91     77.971  -171.446
7896.12     78.042  -175.348
8010.97     77.869  -178.618
8127.49     77.741  -179.844
8245.71     77.661   177.242
8365.65     77.394   177.523
8487.33     77.564   175.406
8610.78     77.421   175.318
8736.03     77.757   170.855
8863.09     77.034   167.966
8992.01     76.854   165.337
9122.80     75.608   164.730
9255.50     75.575   168.028
9390.12     74.823   167.827
9526.70     74.906   170.793
9665.27     74.147   169.971
9805.86     73.972   173.530
