Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -30.655   103.866
5.07273    -27.240    98.336
5.14651    -24.526    92.824
5.22137    -23.773    87.362
5.29732    -23.020    81.901
5.37437    -22.267    76.439
5.45254    -21.514    70.978
5.53185    -21.176    64.489
5.61231    -21.277    56.913
5.69394    -21.378    49.337
5.77676    -21.480    41.761
5.86079    -21.591    34.064
5.94604    -22.290    19.266
6.03252    -22.988     4.468
6.12027    -23.687   -10.330
6.20929    -24.386   -25.128
6.29961    -23.896   -44.872
6.39124    -23.143   -65.713
6.48420    -22.389   -86.554
6.57851    -21.635  -107.395
6.67420    -20.693  -121.001
6.77128    -19.721  -133.432
6.86977    -18.748  -145.863
6.96969    -17.889  -158.223
7.07107    -17.892  -170.043
7.17392    -17.896   178.138
7.27827    -17.899   166.319
7.38413    -18.266   148.779
7.49154    -18.913   126.819
7.60050    -19.561   104.859
7.71105    -19.756    82.395
7.82321    -17.962    57.718
7.93701    -16.169    33.041
8.05245    -14.375     8.365
8.16958    -12.834    -4.237
8.28841    -11.303   -16.388
8.40896     -9.772   -28.539
8.53128     -9.437   -38.074
8.65537     -9.257   -47.271
8.78126     -9.077   -56.469
8.90899    -12.362   -69.052
9.03857    -15.875   -81.857
9.17004    -18.443  -100.455
9.30342    -13.502  -165.163
9.43874     -8.560   130.129
9.57603     -4.119    87.810
9.71532     -0.443    79.698
9.85663      3.233    71.586
10.0000      5.735    64.325
10.1455      7.909    57.301
10.2930      9.898    50.401
10.4427     11.371    43.846
10.5946     12.843    37.290
10.7487     13.958    31.120
10.9051     15.001    25.027
11.0637     15.887    19.215
11.2246     16.606    13.699
11.3879     17.272     8.342
11.5535     17.739     3.560
11.7216     18.203    -1.207
11.8921     18.482    -5.127
12.0650     18.761    -9.046
12.2405     18.929   -12.174
12.4186     19.083   -15.199
12.5992     19.174   -17.568
12.7825     19.251   -19.791
12.9684     19.285   -21.446
13.1570     19.309   -22.970
13.3484     19.297   -23.828
13.5426     19.281   -24.577
13.7395     19.271   -24.355
13.9394     19.275   -23.981
14.1421     19.390   -22.750
14.3478     19.576   -21.488
14.5565     19.916   -20.159
14.7683     20.355   -19.501
14.9831     20.870   -19.362
15.2010     21.367   -20.720
15.4221     21.822   -22.576
15.6464     22.105   -25.502
15.8740     22.196   -28.563
16.1049     22.136   -31.731
