Freq[Hz]     dBSPL  Phase[Deg]
2.0507813e+01 6.5452545e+01 8.5350521e+01 
2.1972656e+01 6.9281775e+01 7.9815432e+01 
2.3437500e+01 7.1234689e+01 6.5907640e+01 
2.4902344e+01 7.2589001e+01 6.0857162e+01 
2.6367188e+01 7.4398150e+01 5.1345420e+01 
2.7832031e+01 7.5864286e+01 4.1089983e+01 
2.9296875e+01 7.6856186e+01 3.0721630e+01 
3.0761719e+01 7.7909623e+01 2.1162672e+01 
3.2226563e+01 7.8843735e+01 1.1748035e+01 
3.3691406e+01 7.9627571e+01 2.7235553e+00 
3.5156250e+01 8.0264126e+01 -5.8006158e+00 
3.6621094e+01 8.0820528e+01 -1.3646352e+01 
3.8085938e+01 8.1314094e+01 -2.1079257e+01 
3.9550781e+01 8.1757954e+01 -2.7989240e+01 
4.1015625e+01 8.2151978e+01 -3.4471992e+01 
4.2480469e+01 8.2515222e+01 -4.0614065e+01 
4.3945313e+01 8.2822980e+01 -4.6282393e+01 
4.5410156e+01 8.3124759e+01 -5.1778964e+01 
4.6875000e+01 8.3405484e+01 -5.6963755e+01 
4.8339844e+01 8.3660541e+01 -6.1858020e+01 
5.1269531e+01 8.4111049e+01 -7.1219966e+01 
5.2734375e+01 8.4323229e+01 -7.5622171e+01 
5.4199219e+01 8.4530887e+01 -7.9854432e+01 
5.5664063e+01 8.4720623e+01 -8.3935993e+01 
5.8593750e+01 8.5054396e+01 -9.1823997e+01 
6.0058594e+01 8.5182412e+01 -9.5582619e+01 
6.2988281e+01 8.5383522e+01 -1.0230194e+02 
6.4453125e+01 8.5517512e+01 -1.0528360e+02 
6.7382813e+01 8.5876940e+01 -1.1127793e+02 
6.8847656e+01 8.6041674e+01 -1.1448205e+02 
7.1777344e+01 8.6304563e+01 -1.2094725e+02 
7.4707031e+01 8.6511098e+01 -1.2723411e+02 
7.7636719e+01 8.6679803e+01 -1.3330195e+02 
7.9101563e+01 8.6734260e+01 -1.3622171e+02 
8.2031250e+01 8.6798542e+01 -1.4178225e+02 
8.4960938e+01 8.6867628e+01 -1.4724214e+02 
8.7890625e+01 8.6914097e+01 -1.5236192e+02 
9.0820313e+01 8.6932312e+01 -1.5720501e+02 
9.5214844e+01 8.6993916e+01 -1.6412688e+02 
9.8144531e+01 8.7060894e+01 -1.6863999e+02 
1.0107422e+02 8.7093806e+01 -1.7322263e+02 
1.0546875e+02 8.7034354e+01 1.7990887e+02 
1.0839844e+02 8.6958144e+01 1.7603787e+02 
1.1279297e+02 8.6979904e+01 1.7020141e+02 
1.1718750e+02 8.6885084e+01 1.6371527e+02 
