Freq[Hz]     dBSPL  Phase[Deg]
2.0600000e+01 6.8094991e+01 8.3850597e+01 
2.1200000e+01 6.8763396e+01 8.0348919e+01 
2.1800000e+01 6.9413146e+01 7.6943707e+01 
2.2400000e+01 7.0121610e+01 7.3146108e+01 
2.3000000e+01 7.0841792e+01 6.9254868e+01 
2.3600000e+01 7.1517678e+01 6.5370179e+01 
2.4300000e+01 7.2205121e+01 6.0673227e+01 
2.5000000e+01 7.2892730e+01 5.6126148e+01 
2.5800000e+01 7.3791995e+01 5.1205818e+01 
2.6500000e+01 7.4491894e+01 4.6685757e+01 
2.7200000e+01 7.4902192e+01 4.0862384e+01 
2.8000000e+01 7.5424984e+01 3.4760221e+01 
2.9000000e+01 7.6365717e+01 2.9099228e+01 
3.0000000e+01 7.7284111e+01 2.3207823e+01 
3.0700000e+01 7.7911742e+01 1.9075406e+01 
3.1500000e+01 7.8560600e+01 1.4475171e+01 
3.2500000e+01 7.9327777e+01 8.7228092e+00 
3.3500000e+01 8.0030237e+01 2.7170413e+00 
3.4500000e+01 8.0662791e+01 -3.1550263e+00 
3.5500000e+01 8.1241603e+01 -8.8848398e+00 
3.6500000e+01 8.1758816e+01 -1.4483692e+01 
3.7500000e+01 8.2214914e+01 -1.9993831e+01 
3.8700000e+01 8.2715387e+01 -2.6417066e+01 
4.0000000e+01 8.3197629e+01 -3.3139908e+01 
4.1200000e+01 8.3586577e+01 -3.9135578e+01 
4.2500000e+01 8.3936968e+01 -4.5365211e+01 
4.3700000e+01 8.4222753e+01 -4.9881392e+01 
4.5000000e+01 8.4514268e+01 -5.5373214e+01 
4.6200000e+01 8.4727191e+01 -6.0516595e+01 
4.7500000e+01 8.4916221e+01 -6.5859669e+01 
4.8700000e+01 8.5066476e+01 -7.0533601e+01 
5.0000000e+01 8.5199372e+01 -7.5419879e+01 
5.1500000e+01 8.5342839e+01 -8.0872680e+01 
5.3000000e+01 8.5446750e+01 -8.5960924e+01 
5.4500000e+01 8.5521902e+01 -9.0733007e+01 
5.6000000e+01 8.5574361e+01 -9.5232896e+01 
5.8000000e+01 8.5618831e+01 -1.0088699e+02 
