Freq[Hz]     dBSPL  Phase[Deg]
2.0507813e+01 5.9327271e+01 1.7455808e+02
2.1972656e+01 6.0543061e+01 1.7362554e+02
2.3437500e+01 6.1529080e+01 1.7649319e+02
2.4902344e+01 6.2678456e+01 1.7278829e+02
2.6367188e+01 6.3294822e+01 1.7197749e+02
2.7832031e+01 6.4192915e+01 1.7112082e+02
2.9296875e+01 6.5045776e+01 1.6939365e+02
3.0761719e+01 6.5782809e+01 1.6767479e+02
3.2226563e+01 6.6499122e+01 1.6555501e+02
3.3691406e+01 6.7095143e+01 1.6427579e+02
3.5156250e+01 6.7819741e+01 1.6298679e+02
3.6621094e+01 6.8482648e+01 1.6119307e+02
3.8085938e+01 6.9135293e+01 1.5963211e+02
3.9550781e+01 6.9787999e+01 1.5808091e+02
4.1015625e+01 7.0396761e+01 1.5605339e+02
4.2480469e+01 7.0954530e+01 1.5440122e+02
4.3945313e+01 7.1501926e+01 1.5268041e+02
4.5410156e+01 7.2074711e+01 1.5107632e+02
4.6875000e+01 7.2615578e+01 1.4942061e+02
4.8339844e+01 7.3138466e+01 1.4753745e+02
5.1269531e+01 7.4157595e+01 1.4400771e+02
5.2734375e+01 7.4653657e+01 1.4226098e+02
5.4199219e+01 7.5130631e+01 1.4050999e+02
5.5664063e+01 7.5587432e+01 1.3859079e+02
5.8593750e+01 7.6451979e+01 1.3475157e+02
6.0058594e+01 7.6828500e+01 1.3275256e+02
6.2988281e+01 7.7645156e+01 1.2960482e+02
6.4453125e+01 7.8074161e+01 1.2755542e+02
6.7382813e+01 7.8747790e+01 1.2345320e+02
6.8847656e+01 7.9084323e+01 1.2169860e+02
7.1777344e+01 7.9747985e+01 1.1819090e+02
7.4707031e+01 8.0374046e+01 1.1448824e+02
7.7636719e+01 8.0929334e+01 1.1050280e+02
7.9101563e+01 8.1206108e+01 1.0866549e+02
8.2031250e+01 8.1672426e+01 1.0491905e+02
8.4960938e+01 8.2032662e+01 1.0119022e+02
8.7890625e+01 8.2381376e+01 9.7573368e+01
9.0820313e+01 8.2698124e+01 9.3904928e+01
9.5214844e+01 8.3075535e+01 8.8563558e+01
9.8144531e+01 8.3310686e+01 8.5139222e+01
1.0107422e+02 8.3529372e+01 8.1852640e+01
1.0546875e+02 8.3759095e+01 7.6830929e+01
1.0839844e+02 8.3904685e+01 7.3654854e+01
1.1279297e+02 8.4058041e+01 6.9051072e+01
1.1718750e+02 8.4135079e+01 6.4612420e+01
1.2011719e+02 8.4191312e+01 6.1947274e+01
1.2451172e+02 8.4210072e+01 5.8077979e+01
1.2890625e+02 8.4325556e+01 5.4559773e+01
1.3330078e+02 8.4418210e+01 5.1063052e+01
1.3916016e+02 8.4460753e+01 4.6349159e+01
1.4355469e+02 8.4421013e+01 4.3417099e+01
1.4794922e+02 8.4396846e+01 4.0959984e+01
1.5380859e+02 8.4419433e+01 3.7943623e+01
1.5966797e+02 8.4445372e+01 3.4818714e+01
1.6552734e+02 8.4457036e+01 3.1999760e+01
1.7138672e+02 8.4455264e+01 2.8776276e+01
1.7724609e+02 8.4342246e+01 2.6243389e+01
1.8310547e+02 8.4277164e+01 2.4442326e+01
1.8896484e+02 8.4338825e+01 2.2503235e+01
1.9628906e+02 8.4286363e+01 1.9390230e+01
2.0361328e+02 8.4172904e+01 1.7058609e+01
2.1093750e+02 8.4066914e+01 1.5450921e+01
2.1826172e+02 8.4040133e+01 1.3996734e+01
2.2558594e+02 8.4146419e+01 1.3084773e+01
