Freq[Hz]     dBSPL  Phase[Deg]
2.0600000e+01 5.5855991e+01 -2.0828644e+01
2.1200000e+01 5.6847256e+01 -2.1560922e+01
2.1800000e+01 5.7810854e+01 -2.2272824e+01
2.2400000e+01 5.8634118e+01 -2.4747836e+01
2.3000000e+01 5.9390097e+01 -2.7868155e+01
2.3600000e+01 6.0149503e+01 -3.0872686e+01
2.4300000e+01 6.1082316e+01 -3.4173124e+01
2.5000000e+01 6.1946480e+01 -3.7578206e+01
2.5800000e+01 6.2612435e+01 -4.2730977e+01
2.6500000e+01 6.3202943e+01 -4.7049564e+01
2.7200000e+01 6.3881425e+01 -5.0999551e+01
2.8000000e+01 6.4641386e+01 -5.5668284e+01
2.9000000e+01 6.5587313e+01 -6.2600335e+01
3.0000000e+01 6.6605478e+01 -6.9754947e+01
3.0700000e+01 6.7328675e+01 -7.4756396e+01
3.1500000e+01 6.7692136e+01 -7.9160714e+01
3.2500000e+01 6.8225678e+01 -8.4825458e+01
3.3500000e+01 6.9103087e+01 -9.1456329e+01
3.4500000e+01 6.9929917e+01 -9.8053505e+01
3.5500000e+01 7.0721934e+01 -1.0454436e+02
3.6500000e+01 7.1481772e+01 -1.1093868e+02
3.7500000e+01 7.2182403e+01 -1.1724270e+02
3.8700000e+01 7.2993346e+01 -1.2463065e+02
4.0000000e+01 7.3834130e+01 -1.3257075e+02
4.1200000e+01 7.4558798e+01 -1.3990604e+02
4.2500000e+01 7.5265016e+01 -1.4733400e+02
4.3700000e+01 7.5853622e+01 -1.5394311e+02
4.5000000e+01 7.6431621e+01 -1.6087221e+02
4.6200000e+01 7.6910963e+01 -1.6699239e+02
4.7500000e+01 7.7380062e+01 -1.7338077e+02
4.8700000e+01 7.7778786e+01 -1.7913175e+02
5.0000000e+01 7.8189715e+01 1.7474660e+02
5.1500000e+01 7.8650417e+01 1.6796529e+02
5.3000000e+01 7.9083579e+01 1.6188969e+02
5.4500000e+01 7.9439149e+01 1.5612160e+02
5.6000000e+01 7.9726661e+01 1.5048424e+02
5.8000000e+01 7.9997705e+01 1.4355061e+02
6.0000000e+01 8.0274709e+01 1.3623854e+02
6.1500000e+01 8.0531451e+01 1.3106269e+02
6.3000000e+01 8.0783544e+01 1.2603010e+02
6.5000000e+01 8.0996929e+01 1.2029059e+02
6.7000000e+01 8.1115851e+01 1.1463762e+02
6.9000000e+01 8.1177174e+01 1.0817901e+02
7.1000000e+01 8.1419297e+01 1.0171453e+02
7.3000000e+01 8.1589277e+01 9.6483420e+01
7.5000000e+01 8.1672253e+01 9.2054568e+01
7.7500000e+01 8.1476468e+01 8.6681102e+01
8.0000000e+01 8.1472102e+01 7.9436540e+01
8.2500000e+01 8.1637339e+01 7.3529930e+01
8.5000000e+01 8.1697866e+01 6.9907789e+01
8.7500000e+01 8.1397239e+01 6.5305866e+01
9.0000000e+01 8.1301807e+01 6.0047248e+01
9.2500000e+01 8.1293792e+01 5.6088507e+01
9.5000000e+01 8.1309541e+01 5.2861406e+01
9.7500000e+01 8.1151543e+01 4.9022034e+01
1.0000000e+02 8.1104734e+01 4.5240444e+01
1.0300000e+02 8.1068283e+01 4.0979557e+01
1.0600000e+02 8.1013982e+01 3.7124449e+01
1.0900000e+02 8.0959129e+01 3.3989983e+01
1.1200000e+02 8.0916769e+01 2.9665698e+01
1.1500000e+02 8.0830209e+01 2.6198147e+01
1.1800000e+02 8.0735984e+01 2.2851397e+01
1.2200000e+02 8.0589427e+01 1.8267989e+01
1.2500000e+02 8.0451264e+01 1.5440924e+01
1.2800000e+02 8.0353478e+01 1.2887338e+01
1.3200000e+02 8.0219181e+01 9.6353045e+00
1.3600000e+02 8.0154835e+01 6.6408734e+00
1.4000000e+02 8.0115396e+01 3.6368182e+00
1.4500000e+02 7.9992276e+01 -7.0206745e-01
1.5000000e+02 7.9777429e+01 -4.2386448e+00
1.5500000e+02 7.9603102e+01 -6.9506931e+00
1.6000000e+02 7.9606785e+01 -9.6972333e+00
1.6500000e+02 7.9459857e+01 -1.2884952e+01
1.7000000e+02 7.9504192e+01 -1.5197210e+01
1.7500000e+02 7.9461227e+01 -1.9045243e+01
1.8000000e+02 7.9235688e+01 -2.2493008e+01
1.8500000e+02 7.8982992e+01 -2.4282279e+01
1.9000000e+02 7.8957869e+01 -2.5173429e+01
1.9500000e+02 7.9268564e+01 -2.7801901e+01
2.0000000e+02 7.9240334e+01 -3.1706077e+01
2.0600000e+02 7.9031014e+01 -3.6131546e+01
2.1200000e+02 7.8771340e+01 -3.9186853e+01
2.1800000e+02 7.8536821e+01 -4.1138466e+01
2.2400000e+02 7.8302580e+01 -4.3383731e+01
2.3000000e+02 7.8407625e+01 -4.3799474e+01
2.3600000e+02 7.8518276e+01 -4.6405183e+01
2.4300000e+02 7.8484378e+01 -5.1803167e+01
2.5000000e+02 7.8276741e+01 -5.4332490e+01
2.5800000e+02 7.8104988e+01 -5.6396109e+01
2.6500000e+02 7.8250380e+01 -5.9225848e+01
2.7200000e+02 7.8136625e+01 -6.3333859e+01
2.8000000e+02 7.7735050e+01 -6.6640255e+01
2.9000000e+02 7.7492296e+01 -6.6574344e+01
3.0000000e+02 7.7799917e+01 -6.8413204e+01
3.0700000e+02 7.7962636e+01 -7.2573078e+01
3.1500000e+02 7.8156103e+01 -7.5218632e+01
3.2500000e+02 7.8081655e+01 -7.9482925e+01
3.3500000e+02 7.8116454e+01 -8.3639352e+01
3.4500000e+02 7.8363225e+01 -8.7982755e+01
3.5500000e+02 7.8401985e+01 -9.4370317e+01
3.6500000e+02 7.8122091e+01 -1.0196355e+02
3.7500000e+02 7.7387818e+01 -1.0525138e+02
3.8700000e+02 7.6829975e+01 -1.0768000e+02
4.0000000e+02 7.6817445e+01 -1.0884679e+02
4.1200000e+02 7.6983459e+01 -1.1307263e+02
4.2500000e+02 7.6782872e+01 -1.1993422e+02
4.3700000e+02 7.6196291e+01 -1.2358924e+02
4.5000000e+02 7.6269149e+01 -1.2599298e+02
4.6200000e+02 7.5633385e+01 -1.3071479e+02
4.7500000e+02 7.5484097e+01 -1.3218105e+02
4.8700000e+02 7.5587859e+01 -1.3217187e+02
5.0000000e+02 7.5733429e+01 -1.3271185e+02
5.1500000e+02 7.6254011e+01 -1.4079983e+02
5.3000000e+02 7.6096758e+01 -1.4708943e+02
5.4500000e+02 7.5815352e+01 -1.5311709e+02
5.6000000e+02 7.5475008e+01 -1.5894007e+02
5.8000000e+02 7.4655364e+01 -1.6394890e+02
6.0000000e+02 7.3906238e+01 -1.6350335e+02
6.1500000e+02 7.4642690e+01 -1.6272691e+02
6.3000000e+02 7.5182621e+01 -1.7032658e+02
6.5000000e+02 7.4813882e+01 -1.7866949e+02
6.7000000e+02 7.4200370e+01 1.7686573e+02
6.9000000e+02 7.4246257e+01 1.7404831e+02
7.1000000e+02 7.4807983e+01 1.6941491e+02
7.3000000e+02 7.4718062e+01 1.6028784e+02
7.5000000e+02 7.4286372e+01 1.5552212e+02
7.7500000e+02 7.4415080e+01 1.4863113e+02
8.0000000e+02 7.3985484e+01 1.3941384e+02
8.2500000e+02 7.3518940e+01 1.3234345e+02
8.5000000e+02 7.3201815e+01 1.2715604e+02
8.7500000e+02 7.2381235e+01 1.2015494e+02
9.0000000e+02 7.1580577e+01 1.1174688e+02
9.2500000e+02 7.1578925e+01 1.1757657e+02
9.5000000e+02 7.2127319e+01 1.1217750e+02
9.7500000e+02 7.2300255e+01 1.0126493e+02
1.0000000e+03 7.1516036e+01 9.0360389e+01
1.0300000e+03 6.9855171e+01 8.0374385e+01
1.0600000e+03 6.8970089e+01 8.5106299e+01
1.0900000e+03 6.9527368e+01 8.5762720e+01
1.1200000e+03 7.0338306e+01 7.7804801e+01
1.1500000e+03 7.0078646e+01 6.4132719e+01
1.1800000e+03 6.8544699e+01 5.4736132e+01
1.2200000e+03 6.6971408e+01 4.2878571e+01
