Freq[Hz]     dBSPL  Phase[Deg]
2.0507813e+01 5.1657483e+01 -1.8693097e+01 
2.1972656e+01 5.2636290e+01 -3.3901312e+01 
2.3437500e+01 5.4354869e+01 -2.7080161e+01 
2.4902344e+01 5.3913185e+01 -3.4462346e+01 
2.6367188e+01 5.8054863e+01 -3.5832505e+01 
2.7832031e+01 5.9575297e+01 -4.5111803e+01 
2.9296875e+01 6.1310571e+01 -5.4283013e+01 
3.0761719e+01 6.2581039e+01 -6.2316086e+01 
3.2226563e+01 6.4214841e+01 -6.9495180e+01 
3.3691406e+01 6.5974895e+01 -7.7697759e+01 
3.5156250e+01 6.7274520e+01 -8.6736762e+01 
3.6621094e+01 6.8407588e+01 -9.5359753e+01 
3.8085938e+01 6.9499330e+01 -1.0256640e+02 
3.9550781e+01 7.0549193e+01 -1.1068260e+02 
4.1015625e+01 7.1474167e+01 -1.1814437e+02 
4.2480469e+01 7.2256170e+01 -1.2555696e+02 
4.3945313e+01 7.2955776e+01 -1.3245247e+02 
4.5410156e+01 7.3502864e+01 -1.3867650e+02 
4.6875000e+01 7.4035709e+01 -1.4429857e+02 
4.8339844e+01 7.4504003e+01 -1.4921013e+02 
5.1269531e+01 7.5455715e+01 -1.5828597e+02 
5.2734375e+01 7.5897483e+01 -1.6269720e+02 
5.4199219e+01 7.6312125e+01 -1.6680929e+02 
5.5664063e+01 7.6624398e+01 -1.7083284e+02 
5.8593750e+01 7.7275177e+01 -1.7777154e+02 
6.0058594e+01 7.7589469e+01 1.7893725e+02 
6.2988281e+01 7.8241000e+01 1.7333475e+02 
6.4453125e+01 7.8583094e+01 1.7077861e+02 
6.7382813e+01 7.9234705e+01 1.6553703e+02 
6.8847656e+01 7.9555409e+01 1.6265600e+02 
7.1777344e+01 8.0233577e+01 1.5721480e+02 
7.4707031e+01 8.0840150e+01 1.5264082e+02 
7.7636719e+01 8.1339479e+01 1.4785240e+02 
7.9101563e+01 8.1622035e+01 1.4504477e+02 
8.2031250e+01 8.2270387e+01 1.3995206e+02 
8.4960938e+01 8.2799496e+01 1.3560264e+02 
8.7890625e+01 8.3217451e+01 1.3038512e+02 
9.0820313e+01 8.3763546e+01 1.2499808e+02 
9.5214844e+01 8.4390627e+01 1.1802597e+02 
9.8144531e+01 8.4723780e+01 1.1272179e+02 
1.0107422e+02 8.5093149e+01 1.0737124e+02 
1.0546875e+02 8.5530562e+01 9.9978495e+01 
1.0839844e+02 8.5734340e+01 9.4804091e+01 
1.1279297e+02 8.6083776e+01 8.7043433e+01 
