Freq[Hz]     dBSPL  Phase[Deg]
2.0507813e+01 4.9948594e+01 -3.0642493e+01 
2.1972656e+01 5.0403053e+01 -3.7856659e+01 
2.3437500e+01 5.2354543e+01 -3.7102901e+01 
2.4902344e+01 5.3071383e+01 -3.7974507e+01 
2.6367188e+01 5.7311457e+01 -4.1359098e+01 
2.7832031e+01 5.8935251e+01 -5.1394740e+01 
2.9296875e+01 6.0788552e+01 -5.9914046e+01 
3.0761719e+01 6.2167083e+01 -6.6993426e+01 
3.2226563e+01 6.4113711e+01 -7.4028203e+01 
3.3691406e+01 6.5919788e+01 -8.2686748e+01 
3.5156250e+01 6.7287431e+01 -9.1270867e+01 
3.6621094e+01 6.8490277e+01 -9.9580801e+01 
3.8085938e+01 6.9621236e+01 -1.0681267e+02 
3.9550781e+01 7.0631525e+01 -1.1430101e+02 
4.1015625e+01 7.1623663e+01 -1.2115180e+02 
4.2480469e+01 7.2447983e+01 -1.2823111e+02 
4.3945313e+01 7.3171925e+01 -1.3476839e+02 
4.5410156e+01 7.3757501e+01 -1.4066006e+02 
4.6875000e+01 7.4307360e+01 -1.4606732e+02 
4.8339844e+01 7.4802925e+01 -1.5070624e+02 
5.1269531e+01 7.5785144e+01 -1.5934873e+02 
5.2734375e+01 7.6238233e+01 -1.6350211e+02 
5.4199219e+01 7.6662568e+01 -1.6738358e+02 
5.5664063e+01 7.6976939e+01 -1.7121994e+02 
5.8593750e+01 7.7651494e+01 -1.7765258e+02 
6.0058594e+01 7.8001926e+01 1.7928308e+02 
6.2988281e+01 7.8695778e+01 1.7381351e+02 
6.4453125e+01 7.9043732e+01 1.7133957e+02 
6.7382813e+01 7.9694911e+01 1.6639279e+02 
6.8847656e+01 8.0016957e+01 1.6363143e+02 
7.1777344e+01 8.0703741e+01 1.5857208e+02 
7.4707031e+01 8.1329249e+01 1.5431419e+02 
7.7636719e+01 8.1839916e+01 1.4983490e+02 
7.9101563e+01 8.2137368e+01 1.4721632e+02 
8.2031250e+01 8.2812092e+01 1.4241596e+02 
8.4960938e+01 8.3359221e+01 1.3834190e+02 
8.7890625e+01 8.3806265e+01 1.3339364e+02 
9.0820313e+01 8.4369657e+01 1.2809858e+02 
9.5214844e+01 8.5015118e+01 1.2149793e+02 
9.8144531e+01 8.5370582e+01 1.1646890e+02 
1.0107422e+02 8.5761834e+01 1.1135511e+02 
1.0546875e+02 8.6219006e+01 1.0434233e+02 
1.0839844e+02 8.6453781e+01 9.9484451e+01 
1.1279297e+02 8.6830563e+01 9.1983695e+01 
1.1718750e+02 8.7015370e+01 8.5238492e+01 
1.2011719e+02 8.7092115e+01 8.0726551e+01 
1.2451172e+02 8.7157073e+01 7.4505847e+01 
1.2890625e+02 8.7146158e+01 6.8928055e+01 
1.3330078e+02 8.7146601e+01 6.3914169e+01 
1.3916016e+02 8.7095734e+01 5.7078190e+01 
1.4355469e+02 8.6931459e+01 5.2540672e+01 
1.4794922e+02 8.6765052e+01 4.8780438e+01 
1.5380859e+02 8.6581699e+01 4.4444447e+01 
1.5966797e+02 8.6432025e+01 4.0415737e+01 
1.6552734e+02 8.6279979e+01 3.6823202e+01 
1.7138672e+02 8.6197848e+01 3.3147331e+01 
1.7724609e+02 8.5941472e+01 2.9314483e+01 
1.8310547e+02 8.5645531e+01 2.6879165e+01 
1.8896484e+02 8.5482012e+01 2.5625087e+01 
1.9628906e+02 8.5533134e+01 2.2610745e+01 
2.0361328e+02 8.5351699e+01 1.9165845e+01 
2.1093750e+02 8.5071998e+01 1.6260451e+01 
2.1826172e+02 8.4794383e+01 1.4995835e+01 
2.2558594e+02 8.4673440e+01 1.4431287e+01 
2.3291016e+02 8.4886783e+01 1.2572600e+01 
2.4169922e+02 8.4601859e+01 9.1739589e+00 
2.5048828e+02 8.4514800e+01 7.7644767e+00 
2.5927734e+02 8.4443234e+01 6.3314441e+00 
2.6806641e+02 8.4460203e+01 3.4420932e+00 
2.7685547e+02 8.4039522e+01 1.6116082e+00 
2.8710938e+02 8.3990757e+01 2.6701131e+00 
2.9736328e+02 8.4299421e+01 9.8868809e-01 
3.0761719e+02 8.4174605e+01 -1.8209452e+00 
3.1933594e+02 8.4182807e+01 -4.1133125e+00 
3.2958984e+02 8.3940562e+01 -4.0931196e+00 
