Freq[Hz]     dBSPL  Phase[Deg]
2.0507813e+01 5.5294861e+01 -1.7906970e+02
2.1972656e+01 5.6238429e+01 1.7415458e+02
2.3437500e+01 5.7754162e+01 -1.7467478e+02
2.4902344e+01 5.9038347e+01 -1.7572564e+02
2.6367188e+01 5.9517070e+01 -1.7854203e+02
2.7832031e+01 6.1411582e+01 -1.6874892e+02
2.9296875e+01 6.2603057e+01 -1.6887419e+02
3.0761719e+01 6.4064130e+01 -1.6874456e+02
3.2226563e+01 6.5504133e+01 -1.6762342e+02
3.3691406e+01 6.6868239e+01 -1.6899644e+02
3.5156250e+01 6.8172744e+01 -1.7021118e+02
3.6621094e+01 6.9456533e+01 -1.7211844e+02
3.8085938e+01 7.0575421e+01 -1.7490385e+02
3.9550781e+01 7.1551863e+01 -1.7750047e+02
4.1015625e+01 7.2441999e+01 1.7958151e+02
4.2480469e+01 7.3365733e+01 1.7667504e+02
4.3945313e+01 7.4198085e+01 1.7367127e+02
4.5410156e+01 7.4973362e+01 1.7069114e+02
4.6875000e+01 7.5730968e+01 1.6731937e+02
4.8339844e+01 7.6385994e+01 1.6390822e+02
5.1269531e+01 7.7691624e+01 1.5712706e+02
5.2734375e+01 7.8314278e+01 1.5384251e+02
5.4199219e+01 7.8877837e+01 1.5053114e+02
5.5664063e+01 7.9407961e+01 1.4703745e+02
5.8593750e+01 8.0371130e+01 1.4003550e+02
6.0058594e+01 8.0801027e+01 1.3624223e+02
6.2988281e+01 8.1686967e+01 1.2843833e+02
6.4453125e+01 8.2075653e+01 1.2474780e+02
6.7382813e+01 8.2714573e+01 1.1770298e+02
6.8847656e+01 8.2932115e+01 1.1417136e+02
7.1777344e+01 8.3313836e+01 1.0581661e+02
7.4707031e+01 8.3705293e+01 9.8187236e+01
7.7636719e+01 8.3931655e+01 9.1990952e+01
7.9101563e+01 8.3910907e+01 8.8771418e+01
8.2031250e+01 8.3901641e+01 8.1782443e+01
8.4960938e+01 8.3961698e+01 7.5954230e+01
8.7890625e+01 8.3902505e+01 7.1266402e+01
9.0820313e+01 8.3811517e+01 6.6197030e+01
9.5214844e+01 8.3808561e+01 6.0370639e+01
9.8144531e+01 8.3664941e+01 5.6790554e+01
1.0107422e+02 8.3675961e+01 5.2950585e+01
1.0546875e+02 8.3498709e+01 4.8450477e+01
1.0839844e+02 8.3394701e+01 4.5360379e+01
1.1279297e+02 8.3281348e+01 4.2210437e+01
1.1718750e+02 8.3182090e+01 3.8060482e+01
1.2011719e+02 8.3009713e+01 3.5999292e+01
1.2451172e+02 8.2856333e+01 3.3445902e+01
1.2890625e+02 8.2787226e+01 3.1004574e+01
1.3330078e+02 8.2696867e+01 2.9087358e+01
1.3916016e+02 8.2734410e+01 2.5895785e+01
1.4355469e+02 8.2562634e+01 2.3249173e+01
1.4794922e+02 8.2376162e+01 2.1701348e+01
1.5380859e+02 8.2217602e+01 2.0972086e+01
1.5966797e+02 8.2431453e+01 1.9615459e+01
1.6552734e+02 8.2379902e+01 1.6668653e+01
1.7138672e+02 8.2397777e+01 1.4997973e+01
1.7724609e+02 8.2240037e+01 1.1772352e+01
1.8310547e+02 8.1956694e+01 1.0914990e+01
1.8896484e+02 8.1828416e+01 1.1545112e+01
1.9628906e+02 8.2282382e+01 1.0723066e+01
2.0361328e+02 8.2200896e+01 6.2909827e+00
2.1093750e+02 8.1876209e+01 4.9159115e+00
2.1826172e+02 8.1699722e+01 5.1505438e+00
2.2558594e+02 8.1644517e+01 4.6196643e+00
2.3291016e+02 8.2028121e+01 6.3581599e+00
2.4169922e+02 8.1966203e+01 4.8929556e-01
2.5048828e+02 8.1906615e+01 2.6092277e+00
2.5927734e+02 8.2231308e+01 -3.9299118e-01
2.6806641e+02 8.2222443e+01 -4.2214636e+00
2.7685547e+02 8.1198759e+01 -6.2682696e+00
2.8710938e+02 8.1043903e+01 -1.8829733e-01
2.9736328e+02 8.1424236e+01 -1.7353060e-01
3.0761719e+02 8.1114265e+01 -8.4450359e-01
3.1933594e+02 8.1714357e+01 -2.6015997e-01
3.2958984e+02 8.1613760e+01 -7.6262848e-01
3.4130859e+02 8.1953713e+01 -3.3696281e+00
3.5302734e+02 8.1959835e+01 -5.9378814e+00
3.6621094e+02 8.1653483e+01 -8.4134561e+00
3.7939453e+02 8.2079792e+01 -3.3881002e+00
3.9257813e+02 8.3085330e+01 -1.1192290e+01
4.0576172e+02 8.3005385e+01 -1.5973549e+01
4.2041016e+02 8.2538927e+01 -1.9389784e+01
4.3505859e+02 8.2690987e+01 -2.0057018e+01
4.5117188e+02 8.2672046e+01 -2.6332087e+01
4.6582031e+02 8.2081461e+01 -2.4013641e+01
4.8339844e+02 8.3068388e+01 -3.0828817e+01
4.9951172e+02 8.2364636e+01 -3.1884099e+01
5.1708984e+02 8.2167431e+01 -3.4850319e+01
5.3613281e+02 8.2121714e+01 -3.7406696e+01
5.5517578e+02 8.2058094e+01 -3.6729050e+01
5.7421875e+02 8.2192554e+01 -3.5512582e+01
5.9472656e+02 8.2840946e+01 -4.4357814e+01
6.1523438e+02 8.2402403e+01 -4.8056406e+01
6.3720703e+02 8.1944979e+01 -5.1178234e+01
6.5917969e+02 8.1699269e+01 -5.0943220e+01
6.8261719e+02 8.1540691e+01 -5.3342101e+01
7.0751953e+02 8.1917518e+01 -5.4606040e+01
7.3242188e+02 8.1513347e+01 -5.5837446e+01
7.5732422e+02 8.2601047e+01 -6.1899238e+01
7.8515625e+02 8.1456662e+01 -6.6321790e+01
8.1152344e+02 8.2116953e+01 -7.1867547e+01
8.4082031e+02 8.1185706e+01 -7.6553181e+01
8.7011719e+02 8.0991737e+01 -7.8969817e+01
9.0087891e+02 8.0719968e+01 -7.4209484e+01
9.3310547e+02 8.0657132e+01 -7.1587511e+01
9.6533203e+02 8.0989395e+01 -7.1162990e+01
1.0004883e+03 8.1285073e+01 -7.4106022e+01
1.0356445e+03 8.1123020e+01 -7.6066452e+01
1.0722656e+03 8.0808552e+01 -7.9597352e+01
1.1088867e+03 8.1427046e+01 -8.3721813e+01
1.1484375e+03 8.1357412e+01 -8.9402231e+01
1.1894531e+03 8.1512180e+01 -9.7101309e+01
1.2304688e+03 8.0813982e+01 -1.0297711e+02
1.2744141e+03 8.0327328e+01 -1.0221537e+02
1.3198242e+03 8.0341736e+01 -1.0522462e+02
1.3666992e+03 8.0569309e+01 -1.0845870e+02
1.4135742e+03 8.0342994e+01 -1.1045697e+02
1.4633789e+03 8.0809135e+01 -1.1543368e+02
1.5161133e+03 8.0368479e+01 -1.2427955e+02
1.5688477e+03 7.9695005e+01 -1.2536307e+02
1.6245117e+03 8.0680106e+01 -1.2433401e+02
1.6816406e+03 8.0911705e+01 -1.3231322e+02
1.7416992e+03 8.0838067e+01 -1.3375100e+02
1.8032227e+03 8.0845903e+01 -1.4398413e+02
1.8662109e+03 7.9679222e+01 -1.4375598e+02
1.9321289e+03 8.0397545e+01 -1.4698525e+02
1.9995117e+03 8.1148457e+01 -1.5247683e+02
2.0698242e+03 8.0836227e+01 -1.6095696e+02
2.1430664e+03 8.1334756e+01 -1.6863873e+02
2.2192383e+03 8.0733294e+01 -1.7438317e+02
2.2968750e+03 8.1405282e+01 -1.7198887e+02
2.3789063e+03 8.0946103e+01 1.7819016e+02
2.4624023e+03 8.1526456e+01 1.6915261e+02
2.5488281e+03 8.1854587e+01 1.6158364e+02
2.6396484e+03 8.1366669e+01 1.5478878e+02
2.7319336e+03 8.1737817e+01 1.5037754e+02
2.8286133e+03 8.2062070e+01 1.4071332e+02
2.9282227e+03 8.1353655e+01 1.2772973e+02
3.0307617e+03 7.9878062e+01 1.2893622e+02
3.1376953e+03 8.0858134e+01 1.3049742e+02
3.2490234e+03 8.1181595e+01 1.2259452e+02
3.3632813e+03 8.1360902e+01 1.2044582e+02
3.4819336e+03 8.2473368e+01 1.1404681e+02
3.6049805e+03 8.2897949e+01 1.0322463e+02
3.7324219e+03 8.2874726e+01 9.1652692e+01
3.8642578e+03 8.2350699e+01 8.7250782e+01
4.0004883e+03 8.2604488e+01 7.6382798e+01
4.1411133e+03 8.1697402e+01 7.3591701e+01
