Freq[Hz]     dBSPL  Phase[Deg]
2.0507813e+01 5.3631627e+01 -7.4511461e+01
2.1972656e+01 5.5233999e+01 -7.7097132e+01
2.3437500e+01 5.7624069e+01 -8.8412490e+01
2.4902344e+01 5.9514371e+01 -9.7544811e+01
2.6367188e+01 6.0784619e+01 -1.0472870e+02
2.7832031e+01 6.2879559e+01 -1.1312720e+02
2.9296875e+01 6.4289802e+01 -1.1940086e+02
3.0761719e+01 6.5735998e+01 -1.2634491e+02
3.2226563e+01 6.7139740e+01 -1.3237162e+02
3.3691406e+01 6.8354754e+01 -1.3855692e+02
3.5156250e+01 6.9535373e+01 -1.4412181e+02
3.6621094e+01 7.0677733e+01 -1.4962227e+02
3.8085938e+01 7.1635102e+01 -1.5529892e+02
3.9550781e+01 7.2484648e+01 -1.6050985e+02
4.1015625e+01 7.3244652e+01 -1.6557219e+02
4.2480469e+01 7.4056004e+01 -1.7046380e+02
4.3945313e+01 7.4778227e+01 -1.7500012e+02
4.5410156e+01 7.5464247e+01 -1.7941114e+02
4.6875000e+01 7.6130987e+01 1.7587168e+02
4.8339844e+01 7.6715630e+01 1.7130247e+02
5.1269531e+01 7.7876930e+01 1.6239301e+02
5.2734375e+01 7.8430486e+01 1.5815934e+02
5.4199219e+01 7.8934870e+01 1.5398346e+02
5.5664063e+01 7.9410160e+01 1.4967801e+02
5.8593750e+01 8.0273370e+01 1.4117474e+02
6.0058594e+01 8.0651983e+01 1.3666395e+02
6.2988281e+01 8.1431318e+01 1.2764242e+02
6.4453125e+01 8.1772921e+01 1.2349365e+02
6.7382813e+01 8.2365978e+01 1.1534842e+02
6.8847656e+01 8.2553302e+01 1.1125258e+02
7.1777344e+01 8.2877597e+01 1.0178806e+02
7.4707031e+01 8.3203939e+01 9.3198636e+01
7.7636719e+01 8.3377198e+01 8.6078122e+01
7.9101563e+01 8.3332666e+01 8.2395301e+01
8.2031250e+01 8.3283016e+01 7.4484736e+01
8.4960938e+01 8.3298814e+01 6.7740052e+01
8.7890625e+01 8.3191977e+01 6.2176711e+01
9.0820313e+01 8.3057183e+01 5.6257380e+01
9.5214844e+01 8.2982273e+01 4.9269907e+01
9.8144531e+01 8.2805440e+01 4.5043197e+01
