Freq[Hz]     dBSPL  Phase[Deg]
Freq[Hz]     dBSPL  Phase[Deg]
5.00000     31.708  -124.489
5.07273     31.900  -124.610
5.14651     32.099  -124.736
5.22137     32.315  -124.870
5.29732     32.571  -125.031
5.37437     32.872  -125.223
5.45254     33.205  -125.437
5.53185     33.557  -125.666
5.61231     33.922  -125.905
5.69394     34.319  -126.167
5.77676     34.716  -126.433
5.86079     35.113  -126.704
5.94604     35.511  -126.982
6.03252     35.909  -127.265
6.12027     36.307  -127.552
6.20929     36.705  -127.844
6.29961     37.102  -128.140
6.39124     37.500  -128.442
6.48420     37.898  -128.747
6.57851     38.295  -129.058
6.67420     38.694  -129.366
6.77128     39.093  -129.678
6.86977     39.491  -129.995
6.96969     39.890  -130.318
7.07107     40.288  -130.645
7.17392     40.687  -130.977
7.27827     41.085  -131.315
7.38413     41.484  -131.656
7.49154     41.884  -132.000
7.60050     42.284  -132.349
7.71105     42.684  -132.704
7.82321     43.083  -133.065
7.93701     43.483  -133.432
8.05245     43.882  -133.804
8.16958     44.283  -134.180
8.28841     44.684  -134.562
8.40896     45.085  -134.950
8.53128     45.486  -135.344
8.65537     45.886  -135.745
8.78126     46.287  -136.152
8.90899     46.690  -136.568
9.03857     47.094  -136.991
9.17004     47.497  -137.420
9.30342     47.900  -137.856
9.43874     48.303  -138.299
9.57603     48.706  -138.747
9.71532     49.110  -139.200
9.85663     49.514  -139.660
10.0000     49.917  -140.128
10.1455     50.321  -140.603
10.2930     50.724  -141.086
10.4427     51.131  -141.580
10.5946     51.537  -142.081
10.7487     51.942  -142.590
10.9051     52.347  -143.107
11.0637     52.754  -143.635
11.2246     53.161  -144.174
11.3879     53.568  -144.720
11.5535     53.974  -145.275
11.7216     54.380  -145.838
11.8921     54.792  -146.423
12.0650     55.203  -147.015
12.2405     55.614  -147.616
12.4186     56.023  -148.224
12.5992     56.436  -148.848
12.7825     56.848  -149.480
12.9684     57.260  -150.121
13.1570     57.671  -150.769
13.3484     58.084  -151.451
13.5426     58.498  -152.144
13.7395     58.910  -152.844
13.9394     59.322  -153.556
14.1421     59.738  -154.308
14.3478     60.153  -155.064
14.5565     60.566  -155.825
14.7683     60.982  -156.609
14.9831     61.398  -157.409
15.2010     61.813  -158.213
15.4221     62.227  -159.033
15.6464     62.646  -159.903
15.8740     63.062  -160.773
16.1049     63.476  -161.644
16.3392     63.894  -162.570
16.5768     64.311  -163.495
16.8179     64.726  -164.418
17.0626     65.141  -165.416
17.3107     65.557  -166.417
17.5625     65.975  -167.412
17.8180     66.387  -168.493
18.0771     66.804  -169.579
18.3401     67.225  -170.685
18.6068     67.646  -171.901
18.8775     68.074  -173.209
19.1521     68.500  -174.680
19.4306     68.908  -176.278
19.7133     69.312  -178.015
20.0000     69.701  -179.805
20.2909     70.061   178.348
20.5860     70.385   176.556
20.8855     70.687   175.060
21.1893     71.008   173.724
21.4975     71.349   172.524
21.8102     71.705   171.264
22.1274     72.078   169.936
22.4492     72.451   168.555
22.7758     72.824   167.188
23.1071     73.213   165.904
23.4432     73.626   164.513
23.7841     74.055   162.957
24.1301     74.480   161.111
24.4811     74.890   159.128
24.8372     75.273   157.043
25.1984     75.632   154.925
25.5649     75.970   152.815
25.9368     76.301   150.729
26.3141     76.621   148.565
26.6968     76.925   146.440
27.0851     77.217   144.325
27.4791     77.505   142.311
27.8788     77.795   140.287
28.2843     78.085   138.186
28.6957     78.369   136.015
29.1131     78.645   133.825
29.5365     78.910   131.675
29.9661     79.169   129.569
30.4020     79.432   127.444
30.8442     79.693   125.263
31.2929     79.950   123.028
31.7480     80.200   120.788
32.2098     80.437   118.598
32.6783     80.677   116.457
33.1536     80.924   114.275
33.6359     81.178   112.065
34.1251     81.435   109.812
34.6215     81.682   107.535
35.1250     81.923   105.229
35.6359     82.163   102.887
36.1543     82.399   100.540
36.6802     82.630    98.170
37.2137     82.855    95.752
37.7550     83.073    93.321
38.3041     83.286    90.888
38.8613     83.494    88.454
39.4265     83.700    86.016
40.0000     83.907    83.589
40.5818     84.114    81.156
41.1721     84.323    78.730
41.7710     84.533    76.282
42.3785     84.747    73.779
42.9949     84.965    71.204
43.6203     85.184    68.547
44.2548     85.404    65.833
44.8985     85.626    63.017
45.5515     85.840    60.046
46.2141     86.024    56.936
46.8863     86.171    53.825
47.5683     86.287    50.787
48.2602     86.384    47.814
48.9621     86.477    44.953
49.6743     86.565    42.093
50.3968     86.638    39.236
51.1299     86.699    36.461
51.8736     86.762    33.858
52.6281     86.844    31.353
53.3936     86.951    28.784
54.1702     87.068    26.116
54.9581     87.186    23.406
55.7575     87.313    20.654
56.5685     87.440    17.816
57.3914     87.554    14.882
58.2261     87.656    11.844
59.0730     87.746     8.760
59.9323     87.822     5.648
60.8040     87.883     2.523
61.6884     87.931    -0.566
62.5857     87.970    -3.653
63.4960     87.996    -6.705
64.4196     88.015    -9.730
65.3566     88.033   -12.712
66.3073     88.046   -15.749
67.2717     88.056   -18.842
68.2502     88.055   -21.832
69.2429     88.031   -24.776
70.2501     87.992   -27.696
71.2719     87.948   -30.528
72.3086     87.905   -33.304
73.3603     87.858   -36.025
74.4274     87.817   -38.707
75.5099     87.785   -41.329
76.6083     87.758   -43.907
77.7226     87.735   -46.497
78.8531     87.721   -49.063
80.0000     87.719   -51.622
81.1636     87.728   -54.212
82.3442     87.753   -56.853
83.5419     87.781   -59.692
84.7570     87.788   -62.651
85.9899     87.776   -65.643
87.2406     87.748   -68.648
88.5096     87.694   -71.546
89.7970     87.618   -74.345
91.1031     87.536   -77.125
92.4282     87.442   -79.846
93.7726     87.334   -82.410
95.1366     87.227   -84.808
96.5204     87.142   -87.028
97.9243     87.098   -89.150
99.3486     87.084   -91.316
100.794     87.085   -93.552
102.260     87.097   -95.831
103.747     87.124   -98.151
105.256     87.161  -100.531
106.787     87.213  -103.068
108.340     87.267  -105.896
109.916     87.291  -108.857
111.515     87.290  -111.713
113.137     87.298  -114.516
114.783     87.315  -117.421
116.452     87.322  -120.347
118.146     87.328  -123.237
119.865     87.343  -126.076
121.608     87.371  -128.974
123.377     87.399  -132.065
125.171     87.420  -135.316
126.992     87.425  -138.581
128.839     87.409  -141.788
130.713     87.393  -144.902
132.615     87.392  -148.046
134.543     87.397  -151.255
136.500     87.395  -154.496
138.486     87.373  -157.839
140.500     87.339  -161.252
142.544     87.314  -164.528
144.617     87.297  -167.845
146.721     87.279  -171.284
148.855     87.247  -174.677
151.020     87.204  -178.058
153.217     87.160   178.556
155.445     87.121   175.175
157.706     87.083   171.860
160.000     87.043   168.582
162.327     86.998   165.297
164.688     86.976   162.050
167.084     86.979   158.801
