Freq[Hz]     dBSPL  Phase[Deg]
5.00000     31.839  -125.800
5.07273     32.030  -125.918
5.14651     32.229  -126.042
5.22137     32.444  -126.175
5.29732     32.699  -126.333
5.37437     32.999  -126.522
5.45254     33.331  -126.732
5.53185     33.682  -126.958
5.61231     34.045  -127.194
5.69394     34.441  -127.452
5.77676     34.837  -127.714
5.86079     35.232  -127.980
5.94604     35.629  -128.254
6.03252     36.025  -128.533
6.12027     36.422  -128.816
6.20929     36.818  -129.103
6.29961     37.215  -129.395
6.39124     37.611  -129.692
6.48420     38.007  -129.993
6.57851     38.404  -130.299
6.67420     38.801  -130.603
6.77128     39.198  -130.910
6.86977     39.596  -131.222
6.96969     39.993  -131.540
7.07107     40.390  -131.862
7.17392     40.787  -132.190
7.27827     41.184  -132.522
7.38413     41.582  -132.858
7.49154     41.980  -133.196
7.60050     42.379  -133.540
7.71105     42.777  -133.890
7.82321     43.176  -134.245
7.93701     43.574  -134.606
8.05245     43.972  -134.973
8.16958     44.371  -135.343
8.28841     44.771  -135.720
8.40896     45.170  -136.102
8.53128     45.570  -136.490
8.65537     45.969  -136.885
8.78126     46.368  -137.286
8.90899     46.770  -137.695
9.03857     47.172  -138.112
9.17004     47.574  -138.535
9.30342     47.976  -138.964
9.43874     48.378  -139.401
9.57603     48.780  -139.842
9.71532     49.182  -140.289
9.85663     49.584  -140.742
10.0000     49.987  -141.203
10.1455     50.388  -141.670
10.2930     50.791  -142.146
10.4427     51.196  -142.633
10.5946     51.600  -143.127
10.7487     52.005  -143.629
10.9051     52.409  -144.138
11.0637     52.813  -144.658
11.2246     53.219  -145.189
11.3879     53.625  -145.728
11.5535     54.030  -146.274
11.7216     54.435  -146.829
11.8921     54.845  -147.406
12.0650     55.255  -147.990
12.2405     55.664  -148.582
12.4186     56.072  -149.182
12.5992     56.483  -149.796
12.7825     56.895  -150.420
12.9684     57.305  -151.051
13.1570     57.714  -151.691
13.3484     58.127  -152.364
13.5426     58.538  -153.047
13.7395     58.949  -153.738
13.9394     59.360  -154.440
14.1421     59.775  -155.182
14.3478     60.188  -155.928
14.5565     60.600  -156.679
14.7683     61.014  -157.453
14.9831     61.429  -158.243
15.2010     61.843  -159.036
15.4221     62.256  -159.845
15.6464     62.673  -160.705
15.8740     63.088  -161.564
16.1049     63.501  -162.423
16.3392     63.918  -163.339
16.5768     64.333  -164.252
16.8179     64.747  -165.163
17.0626     65.160  -166.149
17.3107     65.575  -167.138
17.5625     65.991  -168.121
17.8180     66.403  -169.190
18.0771     66.818  -170.264
18.3401     67.238  -171.357
18.6068     67.657  -172.561
18.8775     68.084  -173.855
19.1521     68.508  -175.312
19.4306     68.914  -176.897
19.7133     69.316  -178.620
20.0000     69.702   179.603
20.2909     70.061   177.769
20.5860     70.383   175.990
20.8855     70.684   174.504
21.1893     71.003   173.176
21.4975     71.341   171.984
21.8102     71.695   170.734
22.1274     72.066   169.422
22.4492     72.437   168.056
22.7758     72.809   166.702
23.1071     73.197   165.431
23.4432     73.609   164.054
23.7841     74.038   162.513
24.1301     74.462   160.681
24.4811     74.872   158.711
24.8372     75.254   156.638
25.1984     75.613   154.531
25.5649     75.951   152.431
25.9368     76.282   150.355
26.3141     76.602   148.200
26.6968     76.906   146.084
27.0851     77.197   143.978
27.4791     77.485   141.972
27.8788     77.774   139.959
28.2843     78.063   137.868
28.6957     78.347   135.708
29.1131     78.623   133.530
29.5365     78.888   131.391
29.9661     79.147   129.297
30.4020     79.410   127.183
30.8442     79.672   125.014
31.2929     79.930   122.791
31.7480     80.180   120.561
32.2098     80.418   118.381
32.6783     80.658   116.249
33.1536     80.907   114.075
33.6359     81.162   111.872
34.1251     81.419   109.624
34.6215     81.666   107.354
35.1250     81.908   105.054
35.6359     82.148   102.716
36.1543     82.385   100.373
36.6802     82.617    98.007
37.2137     82.842    95.593
37.7550     83.060    93.165
38.3041     83.273    90.736
38.8613     83.482    88.306
39.4265     83.688    85.871
40.0000     83.896    83.447
40.5818     84.103    81.015
41.1721     84.313    78.591
41.7710     84.523    76.144
42.3785     84.737    73.641
42.9949     84.955    71.068
43.6203     85.174    68.411
44.2548     85.395    65.696
44.8985     85.616    62.880
45.5515     85.830    59.910
46.2141     86.014    56.800
46.8863     86.161    53.689
47.5683     86.277    50.649
48.2602     86.373    47.676
48.9621     86.466    44.817
49.6743     86.553    41.959
50.3968     86.625    39.105
51.1299     86.685    36.333
51.8736     86.747    33.734
52.6281     86.828    31.237
53.3936     86.933    28.677
54.1702     87.050    26.020
54.9581     87.168    23.321
55.7575     87.295    20.580
56.5685     87.422    17.754
57.3914     87.536    14.832
58.2261     87.640    11.802
59.0730     87.731     8.725
59.9323     87.809     5.619
60.8040     87.870     2.500
61.6884     87.920    -0.585
62.5857     87.961    -3.672
63.4960     87.988    -6.726
64.4196     88.007    -9.752
65.3566     88.025   -12.736
66.3073     88.039   -15.775
67.2717     88.049   -18.868
68.2502     88.048   -21.859
69.2429     88.024   -24.805
70.2501     87.984   -27.725
71.2719     87.940   -30.557
72.3086     87.897   -33.331
73.3603     87.850   -36.050
74.4274     87.808   -38.729
75.5099     87.776   -41.346
76.6083     87.749   -43.919
77.7226     87.726   -46.503
78.8531     87.713   -49.062
80.0000     87.712   -51.614
81.1636     87.723   -54.199
82.3442     87.750   -56.840
83.5419     87.781   -59.684
84.7570     87.791   -62.654
85.9899     87.780   -65.664
87.2406     87.754   -68.691
88.5096     87.698   -71.610
89.7970     87.619   -74.423
91.1031     87.534   -77.211
92.4282     87.436   -79.939
93.7726     87.323   -82.498
95.1366     87.212   -84.874
96.5204     87.126   -87.066
97.9243     87.082   -89.169
99.3486     87.069   -91.325
100.794     87.070   -93.546
102.260     87.083   -95.803
103.747     87.113   -98.102
105.256     87.154  -100.469
106.787     87.210  -103.013
108.340     87.265  -105.861
109.916     87.287  -108.839
111.515     87.284  -111.696
113.137     87.291  -114.494
114.783     87.306  -117.395
116.452     87.312  -120.316
118.146     87.318  -123.192
119.865     87.333  -126.017
121.608     87.364  -128.909
123.377     87.393  -131.998
125.171     87.415  -135.246
126.992     87.421  -138.506
128.839     87.407  -141.707
130.713     87.394  -144.819
132.615     87.395  -147.967
134.543     87.401  -151.186
136.500     87.401  -154.437
138.486     87.381  -157.791
140.500     87.348  -161.216
142.544     87.324  -164.509
144.617     87.306  -167.842
146.721     87.286  -171.295
148.855     87.253  -174.697
151.020     87.207  -178.085
153.217     87.160   178.526
155.445     87.119   175.148
157.706     87.080   171.842
160.000     87.038   168.572
162.327     86.992   165.295
164.688     86.971   162.055
167.084     86.974   158.813
169.514     86.986   155.451
171.980     87.008   151.985
174.481     87.032   148.468
177.019     87.057   144.877
179.594     87.082   141.206
182.206     87.091   137.451
184.856     87.091   133.686
187.545     87.094   129.919
190.273     87.113   126.167
193.041     87.134   122.349
195.849     87.160   118.474
198.697     87.202   114.510
201.587     87.259   110.489
204.520     87.334   106.423
207.494     87.414   102.141
210.512     87.481    97.606
213.574     87.535    92.994
216.681     87.567    88.325
219.833     87.591    83.588
223.030     87.614    78.850
226.274     87.635    74.067
229.565     87.654    69.200
232.905     87.676    64.233
236.292     87.687    59.128
239.729     87.681    54.073
243.216     87.659    48.953
246.754     87.623    43.781
250.343     87.575    38.660
253.984     87.519    33.580
257.678     87.472    28.528
261.426     87.441    23.471
265.229     87.423    18.408
269.087     87.418    13.280
273.001     87.435     8.094
276.972     87.467     2.704
281.000     87.498    -2.834
285.088     87.499    -8.330
289.234     87.505   -13.803
293.441     87.540   -19.440
297.709     87.573   -25.183
302.040     87.620   -31.049
306.433     87.667   -37.079
310.890     87.711   -43.144
315.412     87.763   -49.407
320.000     87.796   -55.937
324.655     87.767   -62.620
329.377     87.671   -69.345
334.168     87.538   -75.800
339.028     87.414   -82.063
343.959     87.315   -88.125
348.962     87.290   -94.066
354.038     87.343  -100.213
359.188     87.419  -106.551
364.412     87.504  -113.038
369.713     87.597  -119.899
375.090     87.664  -127.055
380.546     87.709  -134.313
386.081     87.747  -141.723
391.697     87.760  -149.285
397.394     87.752  -156.863
403.175     87.724  -164.389
409.039     87.674  -171.957
414.989     87.622  -179.433
421.025     87.605   173.296
427.149     87.664   165.880
433.362     87.752   158.134
439.665     87.866   150.134
446.060     87.984   141.852
452.548     88.100   133.290
459.131     88.200   124.266
465.809     88.251   115.147
472.584     88.244   105.992
479.458     88.190    96.638
486.432     88.078    87.459
493.507     87.985    78.556
500.686     87.937    69.581
507.968     87.925    60.498
515.357     87.935    51.410
522.853     87.989    42.320
530.458     88.056    32.673
538.174     88.080    22.892
546.002     88.114    13.054
553.943     88.151     2.990
562.001     88.118    -7.256
570.175     88.047   -17.580
578.469     87.920   -27.658
586.883     87.829   -37.717
595.419     87.793   -47.853
604.080     87.811   -57.642
612.866     87.942   -68.044
621.780     88.033   -79.242
630.824     88.082   -90.227
640.000     88.196  -101.478
649.309     88.259  -113.129
658.753     88.380  -124.990
668.335     88.518  -137.341
678.056     88.551  -150.156
687.919     88.490  -162.729
697.925     88.341  -175.617
708.077     88.105   171.857
718.376     87.960   159.835
728.825     87.951   147.263
739.426     87.976   134.740
750.181     88.021   121.902
761.093     88.049   108.607
772.163     87.979    95.096
783.394     87.916    81.294
794.789     87.842    67.432
806.349     87.763    53.612
818.078     87.709    39.489
