Freq[Hz]     dBSPL  Phase[Deg]
5.00000     31.851  -127.073
5.07273     32.043  -127.189
5.14651     32.241  -127.310
5.22137     32.456  -127.440
5.29732     32.712  -127.595
5.37437     33.012  -127.780
5.45254     33.344  -127.986
5.53185     33.696  -128.207
5.61231     34.059  -128.438
5.69394     34.455  -128.691
5.77676     34.851  -128.947
5.86079     35.247  -129.208
5.94604     35.644  -129.477
6.03252     36.041  -129.750
6.12027     36.438  -130.027
6.20929     36.834  -130.309
6.29961     37.231  -130.595
6.39124     37.628  -130.886
6.48420     38.024  -131.181
6.57851     38.421  -131.481
6.67420     38.818  -131.779
6.77128     39.216  -132.080
6.86977     39.614  -132.386
6.96969     40.011  -132.696
7.07107     40.409  -133.012
7.17392     40.806  -133.333
7.27827     41.203  -133.659
7.38413     41.602  -133.988
7.49154     42.000  -134.320
7.60050     42.399  -134.657
7.71105     42.798  -134.999
7.82321     43.196  -135.347
7.93701     43.595  -135.701
8.05245     43.993  -136.061
8.16958     44.393  -136.423
8.28841     44.793  -136.792
8.40896     45.193  -137.166
8.53128     45.593  -137.547
8.65537     45.992  -137.934
8.78126     46.392  -138.326
8.90899     46.794  -138.728
9.03857     47.196  -139.136
9.17004     47.599  -139.551
9.30342     48.001  -139.972
9.43874     48.403  -140.399
9.57603     48.805  -140.832
9.71532     49.208  -141.270
9.85663     49.610  -141.714
10.0000     50.013  -142.165
10.1455     50.415  -142.624
10.2930     50.818  -143.091
10.4427     51.223  -143.568
10.5946     51.628  -144.052
10.7487     52.032  -144.544
10.9051     52.436  -145.043
11.0637     52.842  -145.553
11.2246     53.248  -146.074
11.3879     53.654  -146.602
11.5535     54.059  -147.138
11.7216     54.464  -147.682
11.8921     54.875  -148.248
12.0650     55.285  -148.821
12.2405     55.694  -149.402
12.4186     56.103  -149.991
12.5992     56.514  -150.594
12.7825     56.926  -151.206
12.9684     57.336  -151.826
13.1570     57.746  -152.453
13.3484     58.159  -153.114
13.5426     58.571  -153.785
13.7395     58.982  -154.463
13.9394     59.393  -155.152
14.1421     59.808  -155.882
14.3478     60.222  -156.615
14.5565     60.634  -157.353
14.7683     61.049  -158.113
14.9831     61.464  -158.889
15.2010     61.878  -159.669
15.4221     62.291  -160.464
15.6464     62.708  -161.310
15.8740     63.124  -162.154
16.1049     63.537  -162.999
16.3392     63.954  -163.900
16.5768     64.369  -164.798
16.8179     64.784  -165.694
17.0626     65.198  -166.665
17.3107     65.613  -167.638
17.5625     66.029  -168.605
17.8180     66.441  -169.658
18.0771     66.857  -170.715
18.3401     67.276  -171.791
18.6068     67.695  -172.982
18.8775     68.119  -174.254
19.1521     68.540  -175.685
19.4306     68.942  -177.243
19.7133     69.339  -178.937
20.0000     69.721   179.320
20.2909     70.074   177.528
20.5860     70.393   175.793
20.8855     70.692   174.339
21.1893     71.008   173.029
21.4975     71.344   171.849
21.8102     71.695   170.619
22.1274     72.064   169.332
22.4492     72.435   167.987
22.7758     72.808   166.642
23.1071     73.197   165.373
23.4432     73.610   163.995
23.7841     74.039   162.453
24.1301     74.465   160.618
24.4811     74.875   158.642
24.8372     75.257   156.560
25.1984     75.616   154.447
25.5649     75.954   152.339
25.9368     76.285   150.254
26.3141     76.603   148.086
26.6968     76.905   145.960
27.0851     77.193   143.845
27.4791     77.478   141.834
27.8788     77.765   139.820
28.2843     78.052   137.731
28.6957     78.334   135.574
29.1131     78.608   133.404
29.5365     78.872   131.275
29.9661     79.130   129.191
30.4020     79.393   127.088
30.8442     79.655   124.931
31.2929     79.914   122.718
31.7480     80.165   120.496
32.2098     80.404   118.324
32.6783     80.647   116.196
33.1536     80.897   114.022
33.6359     81.153   111.816
34.1251     81.410   109.565
34.6215     81.658   107.291
35.1250     81.900   104.987
35.6359     82.141   102.644
36.1543     82.378   100.294
36.6802     82.610    97.919
37.2137     82.835    95.498
37.7550     83.053    93.063
38.3041     83.266    90.629
38.8613     83.476    88.192
39.4265     83.682    85.749
40.0000     83.889    83.315
40.5818     84.097    80.873
41.1721     84.306    78.435
41.7710     84.516    75.973
42.3785     84.730    73.457
42.9949     84.947    70.872
43.6203     85.165    68.204
44.2548     85.383    65.477
44.8985     85.603    62.654
45.5515     85.815    59.683
46.2141     85.998    56.574
46.8863     86.145    53.458
47.5683     86.261    50.405
48.2602     86.356    47.419
48.9621     86.447    44.552
49.6743     86.533    41.687
50.3968     86.606    38.824
51.1299     86.664    36.040
51.8736     86.723    33.429
52.6281     86.800    30.926
53.3936     86.901    28.368
54.1702     87.014    25.719
54.9581     87.129    23.031
55.7575     87.253    20.305
56.5685     87.378    17.501
57.3914     87.493    14.602
58.2261     87.598    11.591
59.0730     87.692     8.528
59.9323     87.772     5.434
60.8040     87.836     2.324
61.6884     87.889    -0.757
62.5857     87.933    -3.849
63.4960     87.963    -6.912
64.4196     87.984    -9.951
65.3566     88.003   -12.948
66.3073     88.017   -15.998
67.2717     88.028   -19.103
68.2502     88.027   -22.108
69.2429     88.003   -25.069
70.2501     87.963   -28.004
71.2719     87.918   -30.847
72.3086     87.874   -33.631
73.3603     87.825   -36.360
74.4274     87.782   -39.047
75.5099     87.748   -41.670
76.6083     87.719   -44.243
77.7226     87.695   -46.822
78.8531     87.681   -49.376
80.0000     87.681   -51.923
81.1636     87.693   -54.504
82.3442     87.725   -57.147
83.5419     87.760   -60.008
84.7570     87.775   -63.007
85.9899     87.768   -66.061
87.2406     87.743   -69.147
88.5096     87.684   -72.124
89.7970     87.599   -74.978
91.1031     87.505   -77.793
92.4282     87.396   -80.545
93.7726     87.269   -83.103
95.1366     87.147   -85.437
96.5204     87.056   -87.572
97.9243     87.012   -89.640
99.3486     86.998   -91.777
100.794     86.995   -93.968
102.260     87.007   -96.176
103.747     87.041   -98.421
105.256     87.090  -100.757
106.787     87.152  -103.313
108.340     87.207  -106.205
109.916     87.222  -109.219
111.515     87.210  -112.075
113.137     87.212  -114.854
114.783     87.224  -117.742
116.452     87.225  -120.643
118.146     87.229  -123.475
119.865     87.249  -126.261
121.608     87.284  -129.137
123.377     87.318  -132.221
125.171     87.342  -135.462
126.992     87.350  -138.710
128.839     87.340  -141.901
130.713     87.333  -145.013
132.615     87.339  -148.176
134.543     87.350  -151.423
136.500     87.353  -154.705
138.486     87.336  -158.093
140.500     87.306  -161.557
142.544     87.282  -164.901
144.617     87.262  -168.285
146.721     87.238  -171.783
148.855     87.199  -175.222
151.020     87.146  -178.641
153.217     87.089   177.948
