Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -25.696  -172.134
5.07273    -24.795  -168.157
5.14651    -23.969  -165.677
5.22137    -23.384  -167.250
5.29732    -22.800  -168.823
5.37437    -22.215  -170.397
5.45254    -21.614  -172.006
5.53185    -21.302  -174.321
5.61231    -21.299  -177.379
5.69394    -21.296   179.564
5.77676    -21.280   176.502
5.86079    -21.272   173.455
5.94604    -22.159   171.400
6.03252    -23.045   169.345
6.12027    -23.919   167.309
6.20929    -24.787   165.279
6.29961    -26.256   178.189
6.39124    -27.859  -165.588
6.48420    -29.445  -149.310
6.57851    -31.032  -133.032
6.67420    -28.969  -123.847
6.77128    -26.309  -115.780
6.86977    -23.641  -107.668
6.96969    -21.142  -100.975
7.07107    -19.931  -105.065
7.17392    -18.713  -109.065
7.27827    -17.495  -113.065
7.38413    -16.851  -118.103
7.49154    -16.646  -123.855
7.60050    -16.441  -129.590
7.71105    -16.484  -135.447
7.82321    -17.619  -141.759
7.93701    -18.754  -148.046
8.05245    -19.889  -154.333
8.16958    -24.893   136.117
8.28841    -30.042    64.220
8.40896    -35.191    -7.678
8.53128    -29.722   -18.460
8.65537    -22.881   -21.367
8.78126    -16.044   -24.256
8.90899    -13.948   -32.565
9.03857    -12.163   -41.233
9.17004    -10.525   -50.110
9.30342     -9.991   -60.877
9.43874     -9.459   -71.642
9.57603     -9.326   -84.499
9.71532     -9.780  -100.578
9.85663    -10.248  -116.664
10.0000    -10.506  -143.169
10.1455    -10.711  -172.592
10.2930    -10.316   158.883
10.4427     -8.217   132.930
10.5946     -6.132   106.912
10.7487     -4.271    89.479
10.9051     -2.467    73.672
11.0637     -1.024    59.342
11.2246      0.034    46.495
11.3879      0.951    33.775
11.5535      1.358    21.535
11.7216      1.752     9.249
11.8921      1.510    -3.414
12.0650      1.268   -16.122
12.2405      0.324   -30.322
12.4186     -0.710   -44.738
12.5992     -2.677   -64.343
12.7825     -4.852   -85.096
12.9684     -6.513  -124.031
13.1570     -8.055  -167.192
13.3484     -5.895   157.985
13.5426     -3.128   124.506
13.7395     -1.061   107.182
13.9394      0.889    91.044
14.1421      2.047    79.234
14.3478      3.055    68.269
14.5565      3.700    59.092
14.7683      4.189    51.033
14.9831      4.562    43.883
15.2010      4.838    37.842
15.4221      5.092    32.130
15.6464      5.302    26.817
15.8740      5.439    21.516
16.1049      5.520    16.270
16.3392      5.355    11.556
16.5768      5.058     7.861
16.8179      4.584     5.595
17.0626      4.127     7.940
17.3107      4.034    12.661
17.5625      4.492    20.083
17.8180      5.990    24.619
18.0771      7.640    26.031
18.3401      9.339    24.237
18.6068     10.739    19.551
18.8775     11.823    14.350
19.1521     12.656     9.402
19.4306     13.269     5.274
19.7133     13.760     3.208
20.0000     14.372     2.791
20.2909     15.187     3.012
20.5860     16.224     3.008
20.8855     17.424     1.822
21.1893     18.609    -1.179
21.4975     19.649    -5.178
21.8102     20.529    -9.498
22.1274     21.273   -13.584
22.4492     21.945   -17.029
22.7758     22.636   -19.709
23.1071     23.432   -21.889
23.4432     24.371   -24.154
23.7841     25.412   -27.096
24.1301     26.471   -30.806
24.4811     27.487   -35.027
24.8372     28.440   -39.393
25.1984     29.342   -43.577
25.5649     30.228   -47.401
25.9368     31.133   -50.874
26.3141     32.076   -54.148
26.6968     33.059   -57.406
27.0851     34.067   -60.772
27.4791     35.082   -64.303
27.8788     36.094   -68.015
28.2843     37.093   -71.905
28.6957     38.070   -75.984
29.1131     39.022   -80.237
29.5365     39.947   -84.618
29.9661     40.850   -89.079
30.4020     41.744   -93.599
30.8442     42.648   -98.201
31.2929     43.566  -102.947
31.7480     44.502  -107.892
32.2098     45.445  -113.041
32.6783     46.390  -118.402
33.1536     47.330  -123.908
33.6359     48.258  -129.507
34.1251     49.167  -135.140
34.6215     50.058  -140.770
35.1250     50.931  -146.368
35.6359     51.785  -151.990
36.1543     52.612  -157.661
36.6802     53.408  -163.408
37.2137     54.164  -169.221
37.7550     54.889  -175.097
38.3041     55.586   178.910
38.8613     56.261   172.745
39.4265     56.905   166.406
40.0000     57.528   159.950
40.5818     58.143   153.407
41.1721     58.762   146.726
41.7710     59.374   139.867
42.3785     59.953   132.911
42.9949     60.498   126.112
43.6203     61.028   119.630
44.2548     61.575   113.436
44.8985     62.137   107.324
45.5515     62.689   101.206
46.2141     63.215    95.148
46.8863     63.718    89.223
47.5683     64.208    83.382
48.2602     64.685    77.518
48.9621     65.139    71.600
49.6743     65.566    65.655
50.3968     65.966    59.692
51.1299     66.343    53.701
51.8736     66.695    47.688
52.6281     67.023    41.675
53.3936     67.335    35.666
54.1702     67.634    29.658
54.9581     67.924    23.673
55.7575     68.208    17.742
56.5685     68.490    11.878
57.3914     68.764     6.110
58.2261     69.018     0.483
59.0730     69.238    -4.922
59.9323     69.420   -10.057
60.8040     69.569   -14.966
61.6884     69.686   -19.829
62.5857     69.766   -24.799
63.4960     69.816   -29.936
64.4196     69.856   -35.253
65.3566     69.908   -40.721
66.3073     69.989   -46.264
67.2717     70.101   -51.772
68.2502     70.229   -57.035
69.2429     70.372   -61.910
70.2501     70.510   -66.431
71.2719     70.620   -70.695
72.3086     70.693   -74.919
73.3603     70.719   -79.282
74.4274     70.720   -83.823
75.5099     70.725   -88.621
76.6083     70.740   -93.460
77.7226     70.801   -98.034
78.8531     70.916  -102.310
80.0000     71.061  -106.250
81.1636     71.203  -109.981
82.3442     71.309  -113.588
83.5419     71.380  -117.235
84.7570     71.421  -121.066
85.9899     71.446  -125.042
87.2406     71.468  -128.980
88.5096     71.512  -132.773
89.7970     71.569  -136.543
91.1031     71.611  -140.396
92.4282     71.617  -144.382
93.7726     71.590  -148.456
95.1366     71.538  -152.356
96.5204     71.521  -155.908
97.9243     71.532  -159.251
99.3486     71.556  -162.402
100.794     71.570  -165.570
102.260     71.570  -168.837
103.747     71.561  -172.260
105.256     71.560  -175.714
106.787     71.573  -179.124
108.340     71.577   177.515
109.916     71.542   174.232
111.515     71.474   171.194
113.137     71.432   168.243
114.783     71.406   165.242
116.452     71.379   162.320
118.146     71.350   159.598
119.865     71.318   156.940
121.608     71.275   154.225
123.377     71.240   151.449
125.171     71.221   148.696
126.992     71.214   145.900
128.839     71.207   143.145
130.713     71.184   140.423
132.615     71.133   137.812
134.543     71.081   135.388
136.500     71.044   132.970
138.486     71.009   130.619
140.500     70.958   128.119
142.544     70.907   125.671
144.617     70.869   123.322
146.721     70.813   121.074
148.855     70.799   118.947
151.020     70.823   116.623
153.217     70.799   114.112
155.445     70.763   111.716
157.706     70.736   108.804
160.000     70.563   106.138
162.327     70.416   104.725
164.688     70.385   103.500
167.084     70.418   101.829
169.514     70.480    99.035
171.980     70.334    96.063
174.481     70.150    94.505
177.019     70.069    93.425
179.594     70.028    91.971
182.206     69.979    90.438
184.856     70.028    88.974
187.545     70.070    87.382
190.273     70.072    85.749
193.041     70.065    83.622
195.849     70.044    81.538
198.697     70.087    79.435
201.587     70.045    77.098
204.520     69.869    74.874
207.494     69.731    73.422
210.512     69.670    72.252
213.574     69.653    70.626
216.681     69.533    69.107
219.833     69.518    68.000
223.030     69.503    66.912
226.274     69.556    65.651
229.565     69.611    63.683
232.905     69.518    61.410
236.292     69.395    59.935
239.729     69.329    58.923
243.216     69.334    57.860
246.754     69.360    55.618
250.343     69.258    53.539
253.984     69.127    52.382
257.678     69.064    51.283
261.426     69.035    49.912
265.229     68.993    48.314
269.087     68.912    46.369
273.001     68.709    45.455
276.972     68.636    44.951
281.000     68.635    43.919
285.088     68.590    42.923
289.234     68.574    41.737
293.441     68.551    40.106
297.709     68.470    38.435
302.040     68.302    36.607
306.433     68.009    35.362
310.890     67.869    35.504
315.412     67.764    34.692
320.000     67.655    34.244
324.655     67.538    33.465
