Frequency Spectrum for Input Signal

Data Shown:    AXIOM ED120 (PROEL S.p.A.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 140°

Freq [Hz]	Signal Level [dBSPL]
22.4	41.2
23	43.3
23.6	42.5
24	42.1
25	42.5
25.8	43.8
26.5	46
27.2	46.6
28	49.7
29	52.3
30	53.4
30.7	57
31.5	59.7
32.5	60.8
33.5	63.3
34.5	65.3
35.5	67.4
36.5	69.2
37.5	70.9
38.7	73.4
40	74.9
41.2	76.5
42.5	78.7
43.7	80.6
45	82.4
46.2	84.2
47.5	85.8
48.7	87.2
50	88.5
51.5	89.8
53	91.3
54.5	92.7
56	93.5
58	94.5
60	95.5
61.5	96.3
63	97.1
65	97.7
67	98.1
69	98.5
71	98.8
73	99
75	99.1
77.5	99.3
80	99.3
82.5	99.3
85	99.2
87.5	99.2
90	99.1
92.5	99
95	98.9
97.5	98.9
100	98.9
103	99.1
106	99.2
109	99.1
112	99
115	99
118	99
122	98.9
125	98.9
128	98.7
132	98.6
136	98.5
140	98.5
145	98.4
150	98.4
155	98.4
160	98.3
165	98
170	97.8
175	97.6
180	97.2
185	96.9
190	96.6
195	95.9
200	95
206	94.2
212	93.5
218	92.4
224	91
230	89.3
236	89.4
240	90.7
250	91.5
258	91.8
265	92.1
272	92.5
280	92.4
290	91.9
300	91.8
307	92
315	91.9
325	90.8
335	89.3
345	89.2
355	89.4
365	89.4
375	87.6
387	84.8
400	85.7
412	85.8
425	82.6
437	83
450	84.4
462	80.7
475	78
487	78.4
500	72.3
515	71.8
530	77.7
545	75.1
560	75
580	79.1
600	79.4
615	79.9
630	77
650	78.7
670	80.6
690	81
710	82.3
730	83.2
750	83.9
775	84.5
800	82.7
825	82.2
850	81.4
875	81
900	81.9
925	79.9
950	78.9
975	78.7
1000	79.5
1030	80.3
1060	80.8
1090	81.2
1120	81.8
1150	81.5
1180	81.7
1220	81.9
1250	81
1280	80.2
1320	80.3
1360	79.6
1400	79.4
1450	79.2
1500	77.8
1550	77
1600	77.2
1650	77
1700	75.2
1750	73.8
1800	73.8
1850	76.2
1900	78.1
1950	78.1
2000	78.7
2060	79.2
2120	79
2180	78.9
2240	77
2300	73
2360	73.1
2400	73.3
2500	69.6
2580	67.8
2650	68.2
2720	68.7
2800	70.2
2900	71.5
3000	72.4
3070	73
3150	72.3
3250	71.3
3350	70.5
3450	68.7
3550	67.5
3650	67.5
3750	69.4
3870	70.4
4000	69.9
4120	67.1
4250	64.9
4370	62.7
4500	61.3
4620	63.4
4750	65.7
4870	65.9
5000	65.6
5150	61.5
5300	54.2
5450	47.8
5600	52.9
5800	56.3
6000	54.7
6150	49.4
6300	42.5
6500	46
6700	54.5
6900	52.6
7100	50.4
7300	53.8
7500	55.4
7750	58.8
8000	56
8250	53.4
8500	56.1
8750	56.6
9000	57.1
9250	58.5
9500	58.4
9750	52.7
10000	48.4
10300	55.4
10600	53.2
10900	46.4
11200	53.9
11500	58.3
11800	61.3
12200	63.7
12500	63.2
12800	60.8
13200	60.2
13600	60
14000	61
14500	55.9
15000	53.6
15500	55.2
16000	58
16500	62
17000	58.2
17500	52.4
18000	50.2
18500	48.7
19000	47.2
19500	45.7
20000	44.1
20600	42.6
21200	41
21800	39.4
22400	37.8
