Frequency Spectrum for Input Signal

Data Shown:    AXIOM ED150 (PROEL S.p.A.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 70°  

Freq [Hz]	Signal Level [dBSPL]
22.4	46.4
23	49.2
23.6	51.2
24	52.6
25	54.5
25.8	56.2
26.5	58.3
27.2	59.9
28	61.7
29	63.5
30	66
30.7	68.3
31.5	69.4
32.5	71.7
33.5	74
34.5	75.2
35.5	77.3
36.5	79.1
37.5	80.9
38.7	82.6
40	84.2
41.2	86.4
42.5	87.7
43.7	89.1
45	90.8
46.2	92.3
47.5	93.7
48.7	94.8
50	95.7
51.5	96.5
53	97.1
54.5	97.6
56	98.2
58	98.7
60	98.9
61.5	99.1
63	99.3
65	99.4
67	99.6
69	99.6
71	99.7
73	99.7
75	99.9
77.5	100
80	99.9
82.5	99.9
85	99.8
87.5	99.7
90	99.6
92.5	99.6
95	99.6
97.5	99.8
100	99.8
103	99.9
106	99.9
109	99.9
112	99.9
115	100
118	100.1
122	100.2
125	100.2
128	100.3
132	100.3
136	100.3
140	100.5
145	100.5
150	100.4
155	100.3
160	100.1
165	99.9
170	99.7
175	99.4
180	98.9
185	98.2
190	97.4
195	96.3
200	94.6
206	92.6
212	93.2
218	95.4
224	96.6
230	97
236	96.8
240	96.6
250	96.7
258	96.5
265	96.4
272	96.3
280	95.9
290	95.6
300	95
307	94.9
315	95.4
325	95.5
335	95.4
345	95.8
355	96.2
365	96.4
375	96.5
387	97
400	97
412	96.6
425	96.2
437	96.2
450	96.5
462	96.8
475	97.6
487	97.9
500	96.4
515	95.3
530	95.4
545	94.8
560	94.6
580	93.8
600	91.4
615	88.4
630	88.4
650	89.7
670	89
690	89.1
710	90.1
730	91.6
750	93.3
775	93.7
800	93.4
825	91.4
850	90.2
875	91.9
900	93.3
925	93.3
950	92
975	91.2
1000	92.3
1030	93.9
1060	93.5
1090	92.6
1120	92.8
1150	92.3
1180	92.3
1220	92.6
1250	93.2
1280	94.8
1320	95.1
1360	94.5
1400	93.9
1450	92.7
1500	92
1550	92
1600	91.6
1650	90.6
1700	86.6
1750	83.7
1800	83.3
1850	81.4
1900	81.8
1950	84.2
2000	87.5
2060	88.9
2120	88.3
2180	89.6
2240	90.9
2300	91.2
2360	90
2400	87.8
2500	85.9
2580	80.5
2650	75.6
2720	77.7
2800	81.9
2900	84.8
3000	85.7
3070	86
3150	85.9
3250	84.6
3350	84.9
3450	86.2
3550	85.4
3650	83.7
3750	80
3870	74.6
4000	71.5
4120	77.3
4250	82.9
4370	84.4
4500	85.6
4620	85
4750	81.9
4870	76
5000	79.7
5150	87.1
5300	88
5450	87.2
5600	83.8
5800	78.3
6000	78.6
6150	81.8
6300	81.1
6500	79.5
6700	81
6900	80.6
7100	80
7300	74.7
7500	69.9
7750	74.1
8000	75
8250	73.1
8500	75.6
8750	81.7
9000	85.1
9250	81.8
9500	77
9750	78.5
10000	76.9
10300	71
10600	72.8
10900	76.7
11200	76.3
11500	75.2
11800	75.7
12200	74.1
12500	79.1
12800	80.9
13200	80.6
13600	81.6
14000	78.9
14500	71.4
15000	70
15500	72.2
16000	69.4
16500	64.8
17000	58.8
17500	57.9
18000	55.6
18500	51.1
19000	51.4
19500	49.5
20000	47.8
20600	46.1
21200	44.3
21800	42.5
22400	40.7
