Frequency Spectrum for Input Signal

Data Shown:    AXIOM ED60 (PROEL S.p.A.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 100°  

Freq [Hz]	Signal Level [dBSPL]
22.4	25.9
23	26.9
23.6	34.5
24	41.6
25	47.5
25.8	52.1
26.5	56.7
27.2	60.5
28	63.8
29	67
30	69.7
30.7	72.3
31.5	74.6
32.5	76.6
33.5	78.2
34.5	79.5
35.5	80.6
36.5	81.4
37.5	81.8
38.7	81.9
40	82
41.2	82.1
42.5	82.3
43.7	82.6
45	83
46.2	83.3
47.5	83.7
48.7	83.9
50	84.1
51.5	84.2
53	84.3
54.5	84.3
56	84.2
58	84.1
60	84
61.5	84
63	83.8
65	83.6
67	83.5
69	83.5
71	83.4
73	83.3
75	83.3
77.5	83.2
80	82.9
82.5	82.6
85	82.6
87.5	82.6
90	82.3
92.5	82.1
95	81.8
97.5	81.4
100	81.2
103	81.2
106	81.3
109	81
112	80.5
115	80.2
118	79.7
122	79.4
125	79.3
128	79.5
132	80.3
136	81.5
140	82.1
145	81.9
150	81.6
155	81
160	80.7
165	80.7
170	81.2
175	80.9
180	80.4
185	80.5
190	80.8
195	80.5
200	79.9
206	79.8
212	80.5
218	80.3
224	79.9
230	80.1
236	80.9
240	80.6
250	79.6
258	79.8
265	80.1
272	79.8
280	79.7
290	79.8
300	79.7
307	79.3
315	79.6
325	80
335	80
345	80.4
355	80
365	78.5
375	78.4
387	79.6
400	79.5
412	80.6
425	80.7
437	81
450	81.5
462	80.8
475	80.9
487	79.5
500	79
515	77.3
530	76.1
545	74.4
560	74.6
580	74.4
600	75.3
615	74.4
630	74.8
650	73.2
670	73.1
690	72.8
710	72.7
730	73.8
750	72.4
775	72.7
800	71.4
825	68
850	68.8
875	69.7
900	70
925	71.4
950	71.6
975	71.4
1000	71.2
1030	71.9
1060	72.6
1090	73
1120	72.6
1150	72.1
1180	71.8
1220	71.1
1250	69.9
1280	67.9
1320	68.1
1360	66.9
1400	64.8
1450	65.4
1500	63.2
1550	65.2
1600	63.9
1650	63.4
1700	65.2
1750	65.3
1800	66.6
1850	66.8
1900	67.8
1950	68.6
2000	69.1
2060	70
2120	70.4
2180	71
2240	70.2
2300	70.3
2360	70.7
2400	70.7
2500	71.8
2580	73.3
2650	73.7
2720	73.5
2800	73.6
2900	71.8
3000	69.7
3070	68.2
3150	65.5
3250	63.2
3350	61.8
3450	63.1
3550	62.7
3650	63
3750	64.3
3870	65.2
4000	65.5
4120	66.1
4250	66.9
4370	66.7
4500	66.8
4620	65.4
4750	64.4
4870	63.5
5000	62.6
5150	62.8
5300	63.8
5450	61.6
5600	61.5
5800	61.3
6000	61.1
6150	60.5
6300	58.8
6500	56.2
6700	53.5
6900	53.9
7100	55
7300	56.5
7500	57.5
7750	57.4
8000	56.2
8250	52.9
8500	52.1
8750	47.9
9000	41.1
9250	48.3
9500	54.1
9750	57.9
10000	56.5
10300	55
10600	54.7
10900	51.9
11200	50.1
11500	46.2
11800	45.8
12200	49.3
12500	51.8
12800	53.9
13200	50.6
13600	48.6
14000	49.3
14500	46.2
15000	51.6
15500	50.2
16000	48
16500	45.2
17000	49
17500	52.4
18000	51.3
18500	51.3
19000	53.2
19500	53
20000	45.4
20600	37.2
21200	32.3
21800	23
22400	13.8
