Frequency Spectrum for Input Signal

Data Shown:    IC6-1062/00 (Community Professional Loudspeakers)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 180°  

Freq [Hz]	Signal Level [dBSPL]
22.4	12.5
23	13.2
23.6	14
24	15
25	16
25.8	16.9
26.5	18.2
27.2	22.1
28	25.1
29	27.4
30	29.5
30.7	32
31.5	34
32.5	35.7
33.5	37.6
34.5	39.3
35.5	40.9
36.5	42.9
37.5	44.7
38.7	46.5
40	48.7
41.2	50.5
42.5	52.5
43.7	54.4
45	56.2
46.2	58
47.5	59.5
48.7	61.1
50	62.6
51.5	64
53	65.4
54.5	66.9
56	68.2
58	69.8
60	71
61.5	72.1
63	73.2
65	74.4
67	75.5
69	76.5
71	77.5
73	78.3
75	79.1
77.5	79.7
80	80.3
82.5	80.7
85	80.9
87.5	81
90	80.9
92.5	80.9
95	80.8
97.5	80.7
100	80.5
103	80.4
106	80.2
109	80.2
112	80.2
115	80.2
118	80.1
122	80
125	80.2
128	80.7
132	81
136	81
140	81.3
145	81.7
150	82
155	82.3
160	82.4
165	82.5
170	82.6
175	82.3
180	82
185	82.2
190	81.9
195	81.7
200	82.5
206	82.5
212	82.4
218	82.4
224	82
230	81.7
236	81.5
240	81.7
250	81.9
258	82
265	81.6
272	81.9
280	81.7
290	82.6
300	83.2
307	82.5
315	82.5
325	82.5
335	82.1
345	82.1
355	82.2
365	82.2
375	82.3
387	82.4
400	82.4
412	82.8
425	82.7
437	82.6
450	81.7
462	81
475	79.7
487	78.2
500	77.9
515	77.8
530	77.4
545	76.6
560	75.9
580	75.5
600	75.6
615	76.1
630	76.6
650	77.1
670	77.3
690	76.9
710	75.7
730	75
750	74.6
775	74.1
800	74.2
825	74.5
850	74.7
875	74.6
900	74.1
925	72.8
950	71.3
975	70.3
1000	70.5
1030	71.9
1060	73.2
1090	73.8
1120	73.7
1150	73.2
1180	72.1
1220	71.6
1250	72.4
1280	73.1
1320	73.2
1360	72.9
1400	72.9
1450	73
1500	72.2
1550	71
1600	69.5
1650	68.5
1700	68.3
1750	66.2
1800	63.5
1850	66.2
1900	68
1950	66.4
2000	66.8
2060	67.7
2120	68.4
2180	67.9
2240	68
2300	68.1
2360	67.9
2400	66.2
2500	65.9
2580	65.9
2650	67.8
2720	66.5
2800	63.9
2900	63.8
3000	59.3
3070	59
3150	57
3250	55.9
3350	56.9
3450	59
3550	59.3
3650	58.8
3750	58.8
3870	63.4
4000	63.2
4120	62.2
4250	62.5
4370	62.5
4500	55.2
4620	52.6
4750	60.6
4870	64.4
5000	66.8
5150	67.4
5300	68.2
5450	69.3
5600	71.7
5800	69.9
6000	67.6
6150	67.2
6300	65.5
6500	65.2
6700	62
6900	59.1
7100	58.3
7300	59.6
7500	58.8
7750	58.6
8000	56.8
8250	54.8
8500	51.7
8750	51.7
9000	52.3
9250	53.2
9500	48.1
9750	47.8
10000	47.7
10300	51.9
10600	59.4
10900	59.9
11200	57
11500	54.4
11800	50.9
12200	43
12500	31.9
12800	39
13200	44.1
13600	43.5
14000	42.2
14500	39.3
15000	39.6
15500	33
16000	39.5
16500	45.2
17000	44.6
17500	41.5
18000	41.3
18500	42.6
19000	43.5
19500	47.5
20000	61.8
20600	59.6
21200	50.5
21800	48.3
22400	53.9
