Frequency Spectrum for Input Signal

Data Shown:    IC6-1082/96 (Community Professional Loudspeakers)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 40°

Freq [Hz]	Signal Level [dBSPL]
22.4	35.1
23	35.7
23.6	36.3
24	36.9
25	37.5
25.8	38
26.5	38.4
27.2	39.7
28	41
29	42.2
30	43.6
30.7	45.4
31.5	47
32.5	48.3
33.5	48.7
34.5	48.9
35.5	49.1
36.5	50
37.5	50.9
38.7	51.8
40	53
41.2	54.1
42.5	55.6
43.7	57.2
45	59
46.2	61.4
47.5	63.3
48.7	64.8
50	66.1
51.5	67.4
53	68.7
54.5	70.3
56	71.9
58	73.7
60	75.3
61.5	76.9
63	78.3
65	79.6
67	80.5
69	81.2
71	82
73	82.6
75	83.2
77.5	83.6
80	83.8
82.5	84.3
85	84.5
87.5	84.5
90	84.5
92.5	84.7
95	84.9
97.5	85
100	85.2
103	85.1
106	85.2
109	85.3
112	85.5
115	85.5
118	85.5
122	85.3
125	84.9
128	85.6
132	85.9
136	85.8
140	86.2
145	86.5
150	86.8
155	87.1
160	87.2
165	87.2
170	87.2
175	87.1
180	86.7
185	86.6
190	86.6
195	86
200	86.4
206	86
212	87
218	87.6
224	87.4
230	87.1
236	87.3
240	87.4
250	87.4
258	87.3
265	86.6
272	87.1
280	86.9
290	87.8
300	88.9
307	88.9
315	89.3
325	89.4
335	89.5
345	89.7
355	89.2
365	88.5
375	88
387	88.1
400	88.4
412	88.8
425	89
437	89.3
450	89.2
462	88.8
475	87.8
487	86.8
500	86.8
515	86.5
530	86.4
545	86.3
560	85.8
580	85.3
600	84.7
615	84.4
630	84.3
650	84.5
670	84.3
690	83.5
710	82.1
730	81.6
750	83
775	84.7
800	85.8
825	86.5
850	86.9
875	87.2
900	87.4
925	87
950	86
975	84.9
1000	84.2
1030	84.1
1060	83.7
1090	83
1120	82.3
1150	82.3
1180	82.6
1220	83
1250	83.5
1280	84.6
1320	85.9
1360	86.9
1400	87.3
1450	87.3
1500	86.2
1550	85
1600	84
1650	83.9
1700	84.5
1750	84.2
1800	83.3
1850	82.8
1900	82.2
1950	81.8
2000	82
2060	81.8
2120	81.6
2180	81.3
2240	80.9
2300	79.4
2360	79.5
2400	82.3
2500	83.2
2580	84
2650	84.2
2720	83.3
2800	83.4
2900	83.1
3000	81.9
3070	81.1
3150	80.3
3250	80.7
3350	81
3450	81.7
3550	82.2
3650	83.5
3750	83.5
3870	83.9
4000	84.6
4120	84.6
4250	85
4370	85
4500	84.4
4620	84.6
4750	84.9
4870	84.3
5000	84
5150	83.6
5300	84.2
5450	84.3
5600	82.8
5800	82
6000	80.4
6150	81.5
6300	82.5
6500	83.5
6700	83.5
6900	86.4
7100	84.8
7300	82.6
7500	81.8
7750	79.3
8000	79.2
8250	80.1
8500	80.6
8750	80
9000	80.4
9250	80.5
9500	77.6
9750	80.9
10000	81.6
10300	79.1
10600	80.2
10900	79.8
11200	73.9
11500	76.2
11800	81.5
12200	84.6
12500	84.3
12800	77.9
13200	73.8
13600	71
14000	74.9
14500	75.9
15000	75.4
15500	70.6
16000	76
16500	72
17000	68.9
17500	71.2
18000	71.9
18500	74.7
19000	65.5
19500	65.6
20000	64.9
20600	65.8
21200	64.9
21800	64.6
22400	62.7
