Frequency Spectrum for Input Signal

Data Shown:    V2-8 (Community)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 120°  

Freq [Hz]	Signal Level [dBSPL]
22.4	53.4
23	54
23.6	54.5
24	55.2
25	56
25.8	56.6
26.5	57.2
27.2	57.8
28	58.3
29	58.8
30	59.4
30.7	60
31.5	60.6
32.5	61.1
33.5	61.6
34.5	62.1
35.5	62.5
36.5	63.1
37.5	63.6
38.7	64.1
40	64.6
41.2	65
42.5	65.5
43.7	66
45	66.5
46.2	67
47.5	67.4
48.7	67.9
50	68.4
51.5	68.9
53	69.3
54.5	69.8
56	70.3
58	70.8
60	71.2
61.5	71.7
63	72.2
65	72.6
67	73.1
69	73.6
71	74
73	74.5
75	74.9
77.5	75.4
80	75.8
82.5	76.2
85	76.7
87.5	77.1
90	77.5
92.5	77.9
95	78.3
97.5	78.7
100	79
103	79.3
106	79.7
109	80
112	80.2
115	80.5
118	80.7
122	80.9
125	81
128	81.1
132	81.2
136	81.2
140	81.1
145	81
150	80.9
155	80.6
160	80.4
165	80.1
170	79.7
175	79.3
180	79
185	78.6
190	78.4
195	78.2
200	78.1
206	78.2
212	78.3
218	78.3
224	78.4
230	78.3
236	78.2
240	78.1
250	78.2
258	78.6
265	79.2
272	80
280	80.8
290	81.4
300	81.9
307	82.1
315	82
325	81.8
335	81.4
345	80.8
355	80
365	79.2
375	78.4
387	77.4
400	76.5
412	75.6
425	75.2
437	75.1
450	75.4
462	75.8
475	75.8
487	75.6
500	75
515	74.3
530	74
545	74
560	74.1
580	74.2
600	74.3
615	74.2
630	73.8
650	72.7
670	71
690	69.5
710	70.8
730	74.6
750	76.4
775	75.9
800	74.9
825	75.1
850	75
875	73.5
900	71.1
925	69.7
950	70
975	70.3
1000	69.6
1030	68.2
1060	66.6
1090	67.4
1120	69.3
1150	70.3
1180	70.1
1220	68.1
1250	67.1
1280	67.7
1320	68
1360	67.2
1400	66.4
1450	67.5
1500	69.7
1550	71.5
1600	71.3
1650	72
1700	72.6
1750	72.5
1800	72.7
1850	73.1
1900	73.5
1950	71.9
2000	69.3
2060	68
2120	68.2
2180	68.4
2240	66.2
2300	63
2360	59
2400	52.2
2500	61.2
2580	62.8
2650	62.1
2720	59.1
2800	62.5
2900	64.3
3000	63.8
3070	64.7
3150	63.1
3250	62.5
3350	63.4
3450	60.4
3550	58.3
3650	59.5
3750	61.3
3870	65.6
4000	64.5
4120	67.6
4250	67.1
4370	66.5
4500	65.1
4620	64.3
4750	58.8
4870	57.4
5000	63.1
5150	63.2
5300	65.5
5450	64
5600	61.8
5800	59.4
6000	56.1
6150	55.3
6300	58.9
6500	58.2
6700	59.4
6900	62
7100	61.8
7300	59.2
7500	56.6
7750	57
8000	59.4
8250	57.2
8500	58.7
8750	55.7
9000	53.4
9250	57
9500	55.4
9750	52.9
10000	49.1
10300	54.3
10600	56.6
10900	56.4
11200	54.5
11500	47.6
11800	47.4
12200	50.8
12500	51.5
12800	47.2
13200	41
13600	42.6
14000	46.3
14500	51.1
15000	54.4
15500	51.5
16000	44.5
16500	45
17000	38.6
17500	38.5
18000	40.2
18500	37.1
19000	36.4
19500	39
20000	42.8
20600	51.3
21200	58.1
21800	57.1
22400	54.1
