Freq[Hz]     dBSPL  Phase[Deg]
5.00000     14.364  -155.534
5.07273     14.848  -155.837
5.14651     15.333  -156.144
5.22137     15.817  -156.455
5.29732     16.301  -156.771
5.37437     16.786  -157.092
5.45254     17.270  -157.417
5.53185     17.754  -157.747
5.61231     18.239  -158.082
5.69394     18.723  -158.422
5.77676     19.207  -158.767
5.86079     19.692  -159.116
5.94604     20.176  -159.471
6.03252     20.660  -159.831
6.12027     21.145  -160.196
6.20929     21.629  -160.567
6.29961     22.113  -160.942
6.39124     22.598  -161.324
6.48420     23.082  -161.711
6.57851     23.566  -162.103
6.67420     24.051  -162.501
6.77128     24.535  -162.905
6.86977     25.020  -163.315
6.96969     25.504  -163.731
7.07107     25.988  -164.153
7.17392     26.473  -164.581
7.27827     26.957  -165.015
7.38413     27.441  -165.456
7.49154     27.926  -165.903
7.60050     28.410  -166.356
7.71105     28.894  -166.816
7.82321     29.379  -167.283
7.93701     29.863  -167.757
8.05245     30.347  -168.237
8.16958     30.832  -168.725
8.28841     31.316  -169.219
8.40896     31.800  -169.721
8.53128     32.285  -170.230
8.65537     32.769  -170.746
8.78126     33.253  -171.270
8.90899     33.738  -171.802
9.03857     34.222  -172.341
9.17004     34.706  -172.888
9.30342     35.191  -173.443
9.43874     35.675  -174.006
9.57603     36.159  -174.578
9.71532     36.644  -175.157
9.85663     37.128  -175.745
10.0000     37.612  -176.342
10.1455     38.097  -176.947
10.2930     38.581  -177.562
10.4427     39.065  -178.185
10.5946     39.550  -178.817
10.7487     40.034  -179.458
10.9051     40.518   179.891
11.0637     41.003   179.231
11.2246     41.487   178.562
11.3879     41.971   177.882
11.5535     42.456   177.193
11.7216     42.940   176.493
11.8921     43.424   175.784
12.0650     43.909   175.064
12.2405     44.393   174.334
12.4186     44.877   173.593
12.5992     45.362   172.841
12.7825     45.846   172.078
12.9684     46.330   171.305
13.1570     46.815   170.520
13.3484     47.299   169.723
13.5426     47.783   168.915
13.7395     48.268   168.095
13.9394     48.752   167.264
14.1421     49.236   166.420
14.3478     49.721   165.564
14.5565     50.205   164.695
14.7683     50.689   163.814
14.9831     51.174   162.920
15.2010     51.658   162.013
15.4221     52.143   161.093
15.6464     52.627   160.160
15.8740     53.111   159.213
16.1049     53.596   158.252
16.3392     54.080   157.277
16.5768     54.564   156.288
16.8179     55.049   155.284
17.0626     55.533   154.266
17.3107     56.017   153.233
17.5625     56.502   152.186
17.8180     56.986   151.123
18.0771     57.470   150.044
18.3401     57.955   148.950
18.6068     58.265   147.897
18.8775     58.588   146.930
19.1521     58.927   146.035
19.4306     59.287   145.212
19.7133     59.684   144.455
20.0000     60.120   143.680
20.2909     60.592   142.828
20.5860     61.099   141.847
20.8855     61.613   140.819
21.1893     62.153   139.538
21.4975     62.705   138.032
21.8102     63.262   136.326
22.1274     63.819   134.441
22.4492     64.375   132.401
22.7758     64.926   130.230
23.1071     65.475   127.943
23.4432     66.023   125.543
23.7841     66.636   122.662
24.1301     67.246   119.679
24.4811     67.855   116.598
24.8372     68.460   113.420
25.1984     69.063   110.148
25.5649     69.662   106.783
25.9368     70.258   103.325
26.3141     70.851    99.775
26.6968     71.466    95.678
27.0851     72.080    91.413
27.4791     72.690    87.050
27.8788     73.293    82.588
28.2843     73.890    78.030
28.6957     74.480    73.378
29.1131     75.061    68.631
29.5365     75.639    63.521
29.9661     76.210    58.109
30.4020     76.770    52.605
30.8442     77.316    47.001
31.2929     77.849    41.315
31.7480     78.368    35.550
32.2098     78.872    29.713
32.6783     79.356    23.387
33.1536     79.822    16.987
33.6359     80.270    10.540
34.1251     80.699     4.049
34.6215     81.107    -2.473
35.1250     81.496    -9.015
35.6359     81.857   -15.926
36.1543     82.197   -22.857
36.6802     82.517   -29.773
37.2137     82.818   -36.663
37.7550     83.101   -43.519
38.3041     83.362   -50.464
38.8613     83.601   -57.568
39.4265     83.824   -64.610
40.0000     84.033   -71.592
40.5818     84.230   -78.507
41.1721     84.411   -85.431
41.7710     84.575   -92.510
42.3785     84.728   -99.512
42.9949     84.874  -106.440
43.6203     85.013  -113.297
44.2548     85.140  -120.216
44.8985     85.257  -127.205
45.5515     85.370  -134.124
46.2141     85.479  -140.977
46.8863     85.586  -147.771
47.5683     85.682  -154.762
48.2602     85.775  -161.695
48.9621     85.867  -168.571
49.6743     85.958  -175.390
50.3968     86.042   177.639
51.1299     86.126   170.670
51.8736     86.209   163.742
52.6281     86.286   156.727
53.3936     86.371   149.812
54.1702     86.450   142.768
54.9581     86.529   135.763
55.7575     86.610   128.764
56.5685     86.689   121.576
