"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	60.4808
21.9727	61.6004
23.4375	63.4383
24.9023	64.7022
26.3672	66.398
27.832	67.5495
29.2969	68.5245
30.7617	69.465
32.2266	70.4574
33.6914	71.3401
35.1562	72.1419
36.6211	72.8374
38.0859	73.6741
39.5508	74.3304
41.0156	75.235
42.4805	75.5755
43.9453	76.2188
45.4102	76.7018
46.875	77.2211
48.3398	77.7517
51.2695	78.6534
52.7344	79.0963
54.1992	79.4683
55.6641	79.8585
58.5938	80.4799
60.0586	80.7894
62.9883	81.428
64.4531	81.6937
67.3828	82.1617
68.8477	82.3228
71.7773	82.7482
74.707	83.1257
77.6367	83.4382
79.1016	83.5519
82.0312	83.7939
84.9609	84.0093
87.8906	84.0575
90.8203	84.1192
95.2148	84.2738
98.1445	84.4326
101.074	84.397
105.469	84.3412
108.398	84.476
112.793	84.665
117.188	84.6354
120.117	84.5229
124.512	84.716
128.906	84.5841
133.301	84.3972
139.16	84.244
143.555	84.2296
147.949	84.3292
153.809	84.1861
159.668	84.1094
165.527	83.9843
171.387	83.7914
177.246	83.7745
183.105	83.6337
188.965	83.388
196.289	83.3101
203.613	83.1096
210.938	83.0234
218.262	82.8025
225.586	82.6678
232.91	82.7358
241.699	82.7068
250.488	82.8829
259.277	82.9071
268.066	82.5491
276.855	82.6241
287.109	82.4045
297.363	82.5253
307.617	82.4338
319.336	81.9726
329.59	81.562
341.309	81.2587
353.027	81.4768
366.211	82.2027
379.395	82.5342
392.578	82.2486
405.762	82.3003
420.41	82.2614
435.059	82.1672
451.172	82.4739
465.82	81.9605
483.398	81.8031
499.512	81.9963
517.09	82.2033
536.133	81.8282
555.176	82.1606
574.219	82.4547
594.727	82.1191
615.234	81.9719
637.207	81.9588
659.18	81.2802
682.617	81.375
707.52	81.9296
732.422	81.6047
757.324	81.6152
785.156	81.7597
811.523	81.7341
840.82	82.0532
870.117	82.0052
900.879	82.4466
933.105	82.1398
965.332	82.4486
1,000.49	82.0276
1,035.64	81.5853
1,072.27	81.6782
1,108.89	81.1579
1,148.44	81.0026
1,189.45	80.5936
1,230.47	80.7448
1,274.41	80.7638
1,319.82	81.1463
1,366.7	80.795
1,413.57	80.4167
1,463.38	79.9041
1,516.11	78.9728
1,568.85	78.4305
1,624.51	78.446
1,681.64	78.8372
1,741.7	79.0144
1,803.22	78.5824
1,866.21	77.7531
1,932.13	77.5142
1,999.51	78.3544
2,069.82	79.0727
2,143.07	79.0702
2,219.24	78.6201
2,296.88	78.3716
2,378.91	78.3994
2,462.4	79.3694
2,548.83	79.0217
2,639.65	78.2657
2,731.93	77.8122
2,828.61	77.852
2,928.22	78.2793
3,030.76	78.2896
3,137.7	78.34
3,249.02	78.3598
3,363.28	78.2813
3,481.93	78.5847
3,604.98	79.3689
3,732.42	79.626
3,864.26	78.4656
4,000.49	77.9906
4,141.11	78.133
4,287.6	77.7578
4,438.48	78.1049
4,595.21	77.3266
4,756.35	76.8723
4,924.8	77.3018
5,097.66	78.571
5,277.83	79.5282
5,463.87	79.8371
5,657.23	79.5708
5,856.45	78.977
6,062.99	79.1306
6,276.86	78.64
6,498.05	78.6472
6,726.56	78.2836
6,963.87	77.5359
7,209.96	78.3267
7,464.84	79.942
7,727.05	80.8304
7,999.51	80.3793
8,282.23	79.7774
8,573.73	79.2268
8,876.95	78.7958
9,188.96	77.8647
9,514.16	77.6361
9,849.61	77.9614
10,196.8	78.5067
10,555.7	78.3893
10,927.7	78.1092
11,313	77.6268
11,712.9	77.1265
12,126	77.0433
12,553.7	77.1852
12,996.1	77.3029
13,454.6	77.1405
13,929.2	76.8772
14,419.9	76.5439
14,928.2	75.945
15,455.6	75.3077
16,000.5	74.8752
16,564.5	74.5061
17,148.9	73.9673
17,752.4	72.9166
18,379.4	72.0074
19,026.9	71.9346
19,697.8	72.0045
19,999.5	71.899
