Frequency Spectrum for Input Signal

Data Shown:    HOPS12 (Coda Audio GmbH)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 110°

Freq [Hz]	Signal Level [dBSPL]
22.4	37.8
23	41.5
23.6	46.1
24	49
25	50.7
25.8	52.7
26.5	54.6
27.2	56.5
28	58.2
29	60
30	62.2
30.7	64.9
31.5	67.3
32.5	70
33.5	73.9
34.5	77
35.5	79.4
36.5	81.3
37.5	83.1
38.7	85.1
40	87.8
41.2	90.1
42.5	92.3
43.7	94.2
45	95.8
46.2	96.7
47.5	97.8
48.7	99.3
50	100.4
51.5	99.1
53	98.9
54.5	99.2
56	99.9
58	101.1
60	102.1
61.5	103.1
63	103.8
65	104.4
67	105.1
69	105.8
71	106.5
73	107.2
75	107.7
77.5	108
80	108.2
82.5	108.3
85	108.3
87.5	108.2
90	108.3
92.5	108.1
95	107.8
97.5	107.2
100	106.4
103	105.9
106	105.3
109	104.7
112	104.4
115	104.2
118	104.1
122	104.1
125	104
128	104
132	103.8
136	103.6
140	103.2
145	102.7
150	102.2
155	101.7
160	101.3
165	100.9
170	100.7
175	100.6
180	100.3
185	99.8
190	99
195	98
200	96.6
206	95.4
212	95.1
218	95
224	95
230	95.1
236	94.7
240	94
250	93
258	92.4
265	92.7
272	93.4
280	93.7
290	93.6
300	93.6
307	93.3
315	92.9
325	92.9
335	89.6
345	89.9
355	91
365	91.6
375	91.1
387	88.7
400	87.3
412	87.4
425	86.5
437	86.6
450	85.9
462	85.8
475	84.8
487	83
500	83.6
515	86.9
530	89.7
545	91.2
560	91.8
580	91.8
600	91.6
615	91.6
630	91.3
650	90.6
670	91.2
690	91.5
710	90.6
730	88.3
750	84.8
775	85.8
800	87
825	85.5
850	84.4
875	84.9
900	85.6
925	84.6
950	84.4
975	84.8
1000	82.9
1030	83.7
1060	85.2
1090	84.5
1120	84.1
1150	82
1180	74.4
1220	77.8
1250	81
1280	84
1320	84.2
1360	83
1400	84.8
1450	85.9
1500	84.5
1550	85.6
1600	84.4
1650	80.9
1700	84.1
1750	81.6
1800	78.8
1850	81.5
1900	81
1950	78.6
2000	79
2060	77.9
2120	80.3
2180	76.8
2240	79.3
2300	73.5
2360	75.4
2400	74.4
2500	80.4
2580	79.6
2650	81.4
2720	81.5
2800	83.2
2900	85.2
3000	81.9
3070	82.5
3150	83.2
3250	82.6
3350	82.2
3450	81.8
3550	79.8
3650	81.8
3750	79.1
3870	81.4
4000	81.7
4120	80
4250	78.3
4370	75.9
4500	76.5
4620	76.8
4750	77.7
4870	78.7
5000	79
5150	77.6
5300	77.6
5450	73.4
5600	76.7
5800	78.3
6000	81.1
6150	81.4
6300	76.9
6500	72.8
6700	73.4
6900	77.8
7100	80.2
7300	80.5
7500	76.6
7750	75.4
8000	78.3
8250	79
8500	81.2
8750	82
9000	81.6
9250	80.3
9500	81.6
9750	82.2
10000	83.5
10300	81.4
10600	80.2
10900	75.7
11200	75
11500	73.1
11800	81.2
12200	76.5
12500	74.2
12800	76.2
13200	72.5
13600	74.9
14000	68
14500	77.9
15000	66.7
15500	70
16000	69
16500	69.4
17000	70.4
17500	67.5
18000	67
18500	69.2
19000	69.9
19500	66.4
20000	67.2
20600	69.8
21200	67.3
21800	63.6
22400	62
