Frequency Spectrum for Input Signal

Data Shown:    HOPS5 (Coda Audio)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 90°  

Freq [Hz]	Signal Level [dBSPL]
22.4	12.4
23	12.6
23.6	12.1
24	12.2
25	12.3
25.8	12.2
26.5	12
27.2	11.3
28	10.3
29	8.9
30	7.6
30.7	9.1
31.5	9.9
32.5	8.6
33.5	10
34.5	11.6
35.5	12.9
36.5	19.4
37.5	26.3
38.7	33.9
40	35.4
41.2	36
42.5	39.1
43.7	42.6
45	44.5
46.2	43.5
47.5	45.4
48.7	52.6
50	55.8
51.5	58
53	61.1
54.5	64.5
56	63
58	61.5
60	63.8
61.5	68.2
63	68.7
65	69.7
67	74.4
69	76.2
71	75.8
73	78.8
75	80.5
77.5	81.6
80	83.4
82.5	84.5
85	85.8
87.5	86.9
90	87.5
92.5	88.6
95	88.5
97.5	89.3
100	89.9
103	90.1
106	90.3
109	90.5
112	90.5
115	90.5
118	90.7
122	90.9
125	90.9
128	90.8
132	91
136	91.2
140	91
145	91
150	90.8
155	90.5
160	90.2
165	89.9
170	89.6
175	89.5
180	89.4
185	89.2
190	89.2
195	89.4
200	89
206	88.4
212	88.2
218	88.1
224	88.3
230	88.3
236	88.2
240	87.8
250	87.5
258	87.5
265	87.9
272	88.5
280	88.8
290	88.9
300	88.8
307	88.5
315	88.2
325	87.9
335	87.6
345	87.4
355	86.8
365	86.5
375	86.4
387	86.3
400	86.3
412	86.3
425	86.1
437	85.7
450	85.9
462	86
475	86.2
487	86.9
500	86.8
515	86.2
530	85.5
545	84.3
560	84.7
580	86.1
600	86.9
615	86.6
630	85.8
650	84.8
670	84.6
690	85.1
710	85.4
730	85.4
750	85.6
775	86.3
800	86.1
825	84.9
850	85
875	85.9
900	85.2
925	83.6
950	83.4
975	81.8
1000	79.7
1030	75.6
1060	73.6
1090	69.8
1120	67.5
1150	68.9
1180	69.7
1220	71.2
1250	72.1
1280	70.5
1320	72.7
1360	75.2
1400	75.6
1450	75.2
1500	76.2
1550	75.9
1600	78.1
1650	79.5
1700	78.1
1750	76.7
1800	75.9
1850	78.6
1900	80.9
1950	80.7
2000	80
2060	78.4
2120	77.2
2180	75.5
2240	73.9
2300	73.6
2360	77.6
2400	80.5
2500	80.2
2580	81.1
2650	82
2720	80.9
2800	79.2
2900	77.2
3000	78.6
3070	74.8
3150	78.6
3250	80.4
3350	81.1
3450	80.5
3550	78.4
3650	74.1
3750	69.7
3870	70.4
4000	74.4
4120	76.5
4250	75.7
4370	76.2
4500	73.6
4620	72
4750	74.5
4870	76.1
5000	76.5
5150	76.7
5300	74
5450	73.3
5600	74.8
5800	75.4
6000	72.6
6150	67.4
6300	65.7
6500	69.8
6700	73.4
6900	66.5
7100	68.7
7300	74.2
7500	72.1
7750	69.1
8000	68.6
8250	73.3
8500	70.4
8750	63.1
9000	68.6
9250	65.1
9500	68.4
9750	72.6
10000	69.5
10300	69.4
10600	66.8
10900	67.1
11200	67.3
11500	67.4
11800	69.1
12200	67.2
12500	64.4
12800	65.3
13200	66.2
13600	68.6
14000	65.6
14500	65.3
15000	63.6
15500	62.2
16000	62.4
16500	62.4
17000	61
17500	54.7
18000	58.5
18500	58.1
19000	56
19500	53.3
20000	45.9
20600	38.7
21200	35
21800	33.6
22400	24.5
