Frequency Spectrum for Input Signal

Data Shown:    Artec500A v3-1 (D.A.S. Audio)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 70°

Freq [Hz]	Signal Level [dBSPL]
22.4	50
23	51.2
23.6	52.4
24	53.5
25	54.7
25.8	55.9
26.5	57
27.2	58.2
28	59.4
29	60.5
30	61.6
30.7	62.6
31.5	63.6
32.5	64.4
33.5	65.2
34.5	65.9
35.5	66.6
36.5	67.2
37.5	67.8
38.7	68.4
40	68.9
41.2	69.5
42.5	70.1
43.7	70.7
45	71.4
46.2	72
47.5	72.7
48.7	73.4
50	74.1
51.5	74.9
53	75.6
54.5	76.4
56	77.2
58	77.9
60	78.6
61.5	79.3
63	79.9
65	80.4
67	80.9
69	81.3
71	81.8
73	82.2
75	82.6
77.5	83.1
80	83.6
82.5	84.2
85	84.8
87.5	85.5
90	86.2
92.5	86.8
95	87.4
97.5	87.9
100	88.3
103	88.6
106	88.9
109	89
112	89
115	89.1
118	89.1
122	89
125	89
128	89
132	89.1
136	89.1
140	89.2
145	89.2
150	89.3
155	89.4
160	89.4
165	89.5
170	89.6
175	89.6
180	89.7
185	89.8
190	89.8
195	89.8
200	89.9
206	89.9
212	89.9
218	89.9
224	89.9
230	89.9
236	89.8
240	89.7
250	89.6
258	89.5
265	89.4
272	89.2
280	89
290	88.9
300	88.7
307	88.5
315	88.3
325	88.1
335	87.9
345	87.7
355	87.4
365	87.1
375	86.7
387	86.3
400	85.7
412	85.1
425	84.4
437	83.7
450	83
462	82.5
475	82.2
487	82.1
500	82.3
515	82.8
530	83.6
545	84.5
560	85.5
580	86.5
600	87.4
615	88.1
630	88.5
650	88.6
670	88.4
690	88
710	87.4
730	86.8
750	86.1
775	85.6
800	85.1
825	84.8
850	84.8
875	84.8
900	84.9
925	85.1
950	85.2
975	85.4
1000	85.4
1030	85.3
1060	85.2
1090	84.9
1120	84.6
1150	84.3
1180	84
1220	83.7
1250	83.5
1280	83.4
1320	83.2
1360	83.2
1400	83.1
1450	82.9
1500	82.7
1550	82.4
1600	81.9
1650	81.3
1700	80.6
1750	79.8
1800	79
1850	78.2
1900	77.5
1950	76.9
2000	76.5
2060	76.3
2120	76.3
2180	76.3
2240	76.5
2300	76.7
2360	76.9
2400	77
2500	77.1
2580	77
2650	76.8
2720	76.5
2800	76.1
2900	75.7
3000	75.3
3070	74.8
3150	74.4
3250	74
3350	73.6
3450	73.3
3550	73
3650	72.8
3750	72.7
3870	72.6
4000	72.6
4120	72.6
4250	72.7
4370	72.8
4500	72.9
4620	73
4750	73.1
4870	73.1
5000	73
5150	72.9
5300	72.7
5450	72.4
5600	72.1
5800	71.7
6000	71.4
6150	71
6300	70.6
6500	70.2
6700	69.9
6900	69.6
7100	69.4
7300	69.2
7500	69.2
7750	69.2
8000	69.4
8250	69.6
8500	70
8750	70.4
9000	70.8
9250	71.2
9500	71.5
9750	71.7
10000	71.7
10300	71.6
10600	71.2
10900	70.8
11200	70.4
11500	70
11800	69.7
12200	69.6
12500	69.6
12800	69.9
13200	70.3
13600	70.8
14000	71.2
14500	71.5
15000	71.5
15500	71
16000	70.1
16500	68.7
17000	66.7
17500	64.4
18000	61.8
18500	59
19000	56.1
19500	53.3
20000	50.7
20600	48.2
21200	45.7
21800	43.1
22400	40.6
