Frequency Spectrum for Input Signal

Data Shown:    Artec500A v3-1 (D.A.S. Audio)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 90°  

Freq [Hz]	Signal Level [dBSPL]
22.4	49.7
23	50.8
23.6	52
24	53.2
25	54.4
25.8	55.5
26.5	56.7
27.2	57.9
28	59
29	60.2
30	61.2
30.7	62.3
31.5	63.2
32.5	64.1
33.5	64.9
34.5	65.6
35.5	66.2
36.5	66.8
37.5	67.4
38.7	68
40	68.6
41.2	69.2
42.5	69.8
43.7	70.4
45	71
46.2	71.7
47.5	72.4
48.7	73
50	73.8
51.5	74.5
53	75.3
54.5	76.1
56	76.8
58	77.6
60	78.3
61.5	78.9
63	79.5
65	80.1
67	80.5
69	81
71	81.4
73	81.8
75	82.3
77.5	82.8
80	83.3
82.5	83.9
85	84.5
87.5	85.2
90	85.8
92.5	86.4
95	87
97.5	87.6
100	88
103	88.3
106	88.5
109	88.6
112	88.7
115	88.7
118	88.7
122	88.7
125	88.7
128	88.7
132	88.8
136	88.8
140	88.9
145	88.9
150	89
155	89
160	89.1
165	89.1
170	89.1
175	89.1
180	89.1
185	89
190	89
195	89
200	89
206	89
212	89
218	89
224	89
230	88.9
236	88.9
240	88.8
250	88.7
258	88.6
265	88.4
272	88.2
280	88
290	87.7
300	87.4
307	87.2
315	86.9
325	86.5
335	86.2
345	85.9
355	85.5
365	85.1
375	84.6
387	84.1
400	83.5
412	82.9
425	82.2
437	81.5
450	81
462	80.5
475	80.2
487	80.1
500	80.3
515	80.8
530	81.4
545	82.2
560	83.1
580	84
600	84.8
615	85.4
630	85.7
650	85.8
670	85.6
690	85.2
710	84.6
730	84
750	83.3
775	82.7
800	82.2
825	81.9
850	81.7
875	81.6
900	81.6
925	81.6
950	81.7
975	81.7
1000	81.7
1030	81.6
1060	81.4
1090	81.1
1120	80.9
1150	80.6
1180	80.2
1220	79.9
1250	79.6
1280	79.3
1320	79
1360	78.8
1400	78.5
1450	78.2
1500	77.8
1550	77.4
1600	77
1650	76.5
1700	76
1750	75.4
1800	74.9
1850	74.4
1900	73.9
1950	73.6
2000	73.4
2060	73.3
2120	73.3
2180	73.4
2240	73.6
2300	73.7
2360	73.8
2400	73.9
2500	73.8
2580	73.6
2650	73.4
2720	73
2800	72.5
2900	72
3000	71.4
3070	70.8
3150	70.2
3250	69.7
3350	69.2
3450	68.8
3550	68.4
3650	68.1
3750	67.8
3870	67.7
4000	67.7
4120	67.8
4250	68
4370	68.3
4500	68.6
4620	68.8
4750	69
4870	69.1
5000	69.1
5150	68.9
5300	68.6
5450	68.2
5600	67.7
5800	67.1
6000	66.6
6150	65.9
6300	65.3
6500	64.8
6700	64.3
6900	63.9
7100	63.5
7300	63.2
7500	63
7750	63
8000	63
8250	63.2
8500	63.5
8750	63.8
9000	64.1
9250	64.4
9500	64.6
9750	64.8
10000	64.7
10300	64.5
10600	64.2
10900	63.8
11200	63.4
11500	63
11800	62.7
12200	62.5
12500	62.6
12800	62.9
13200	63.3
13600	63.8
14000	64.2
14500	64.5
15000	64.5
15500	64
16000	63.1
16500	61.7
17000	59.7
17500	57.4
18000	54.7
18500	52
19000	49.1
19500	46.3
20000	43.7
20600	41.2
21200	38.6
21800	36.1
22400	33.6
