Frequency Spectrum for Input Signal

Data Shown:    xS-Series (d&b audiotechnik)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 160°  

Freq [Hz]	Signal Level [dBSPL]
22.4	38
23	39.7
23.6	41.4
24	43.8
25	45.9
25.8	47.7
26.5	49.4
27.2	51.4
28	53
29	54.5
30	55.9
30.7	57.5
31.5	58.9
32.5	60
33.5	61.8
34.5	63.5
35.5	65
36.5	66.5
37.5	67.9
38.7	69.4
40	71.1
41.2	72.7
42.5	74.1
43.7	75.4
45	76.7
46.2	78.1
47.5	79.4
48.7	80.9
50	82.2
51.5	83.4
53	84.5
54.5	85.3
56	86.1
58	87
60	87.8
61.5	88.6
63	89.4
65	90
67	90.6
69	91.1
71	91.6
73	92.1
75	92.5
77.5	92.9
80	93.2
82.5	93.3
85	93.5
87.5	93.5
90	93.6
92.5	93.7
95	93.9
97.5	93.4
100	92.4
103	92.1
106	92.3
109	93
112	93.7
115	94.5
118	95
122	95.2
125	95
128	94.5
132	94
136	93.6
140	93.2
145	93.2
150	93.5
155	93.9
160	94.1
165	92.2
170	89.9
175	90.4
180	90.6
185	90.4
190	90.7
195	92
200	93.3
206	92
212	91.2
218	90.2
224	87.6
230	87.8
236	88.3
240	88
250	88.4
258	88.4
265	88.4
272	88.2
280	87.9
290	87.4
300	87.8
307	87.8
315	87.9
325	87.3
335	86.3
345	85.3
355	84.1
365	85
375	85
387	82.2
400	81
412	81.9
425	80
437	77.9
450	77.4
462	77.6
475	79.9
487	78.7
500	78.7
515	78.2
530	77
545	76.8
560	75.7
580	76.3
600	75.1
615	72.9
630	72.7
650	71.3
670	69.3
690	67.9
710	72.1
730	73.4
750	76.7
775	75.7
800	75.8
825	77.4
850	79.5
875	77.6
900	76.8
925	76.9
950	77.9
975	79.3
1000	78.9
1030	78.6
1060	76.4
1090	74.4
1120	75.2
1150	72.9
1180	74.5
1220	73.4
1250	74.4
1280	74.9
1320	73.9
1360	75.5
1400	73.3
1450	69.5
1500	69.8
1550	70
1600	69.3
1650	66.6
1700	68.9
1750	70.6
1800	69.5
1850	67.7
1900	67.4
1950	69.5
2000	68.8
2060	66.3
2120	65.1
2180	62.1
2240	63.9
2300	62.8
2360	62.8
2400	62.4
2500	63.5
2580	66.2
2650	69.3
2720	65.8
2800	63.1
2900	65.6
3000	67.3
3070	68
3150	68.3
3250	69.8
3350	70
3450	67.8
3550	66.6
3650	68.3
3750	68
3870	66.5
4000	65.7
4120	64.8
4250	66
4370	65.6
4500	63
4620	61.4
4750	62.9
4870	61.6
5000	64
5150	59.2
5300	59.4
5450	50.8
5600	51.7
5800	59.2
6000	58.2
6150	60.8
6300	61
6500	60.2
6700	60
6900	54.8
7100	54.2
7300	60
7500	58.8
7750	62
8000	54.4
8250	48.2
8500	57.1
8750	57.5
9000	53.6
9250	54.4
9500	52.9
9750	47.7
10000	52.8
10300	55
10600	54.4
10900	56
11200	53.5
11500	50.6
11800	55.5
12200	51.5
12500	51.7
12800	51.3
13200	49.4
13600	52.4
14000	52.8
14500	53.6
15000	52
15500	49.1
16000	48.2
16500	50.2
17000	48.2
17500	45.4
18000	45
18500	40.9
19000	39.7
19500	39.1
20000	38.8
20600	38.5
21200	39.2
21800	37.7
22400	37
