Frequency Spectrum for Input Signal

Data Shown:    xS-Series (d&b audiotechnik)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 170°

Freq [Hz]	Signal Level [dBSPL]
22.4	35.3
23	37.2
23.6	39.2
24	42.2
25	44.6
25.8	46.7
26.5	48.5
27.2	50.7
28	52.5
29	54.1
30	55.6
30.7	57.3
31.5	58.8
32.5	60.1
33.5	61.8
34.5	63.4
35.5	64.9
36.5	66.4
37.5	67.8
38.7	69.3
40	71
41.2	72.6
42.5	74
43.7	75.3
45	76.6
46.2	78.1
47.5	79.4
48.7	80.8
50	82.1
51.5	83.4
53	84.5
54.5	85.3
56	86.1
58	87
60	87.8
61.5	88.6
63	89.4
65	90.1
67	90.7
69	91.2
71	91.7
73	92.2
75	92.6
77.5	93
80	93.3
82.5	93.4
85	93.6
87.5	93.6
90	93.7
92.5	93.8
95	94
97.5	93.5
100	92.5
103	92.1
106	92.4
109	93
112	93.7
115	94.6
118	95.2
122	95.3
125	95.1
128	94.7
132	94.2
136	93.8
140	93.4
145	93.4
150	93.8
155	94.4
160	94.7
165	92.8
170	90.3
175	90.6
180	90.8
185	90.6
190	91
195	92.3
200	93.7
206	93.1
212	92.3
218	91.2
224	88.5
230	88.4
236	89
240	88.8
250	89.2
258	89.2
265	89.2
272	89.1
280	88.9
290	88.4
300	88.8
307	89
315	89.2
325	88.8
335	87.9
345	86.9
355	85.5
365	87
375	87.3
387	85.6
400	85
412	85.7
425	85
437	84.6
450	84.1
462	84.3
475	85.6
487	85.2
500	85.4
515	85
530	84.4
545	84.1
560	83.1
580	83.4
600	82.4
615	81.2
630	80.2
650	79.2
670	77.6
690	75.8
710	76.5
730	75.9
750	75.8
775	72.5
800	71.1
825	70.3
850	67.7
875	70.1
900	74.6
925	74.5
950	74.1
975	75.2
1000	73.3
1030	73.9
1060	73.3
1090	74.4
1120	75.9
1150	74.7
1180	75.3
1220	73.9
1250	73.7
1280	74.9
1320	74.1
1360	74.1
1400	71.7
1450	69.1
1500	70.6
1550	71.1
1600	71.9
1650	70.3
1700	71.4
1750	72.3
1800	71.7
1850	70.8
1900	74.4
1950	74.5
2000	73.9
2060	71.3
2120	74.1
2180	71.6
2240	70.6
2300	72
2360	71.3
2400	70.8
2500	70.1
2580	70.7
2650	69.4
2720	67.4
2800	64.7
2900	66.5
3000	68.9
3070	68.2
3150	67.2
3250	66.7
3350	67.7
3450	67.9
3550	66.8
3650	66.3
3750	65
3870	63.8
4000	64.3
4120	65.2
4250	67.9
4370	67.5
4500	67.6
4620	65.7
4750	66.6
4870	65.3
5000	65.1
5150	61
5300	59.6
5450	56.5
5600	58.9
5800	58.5
6000	60
6150	60.5
6300	62.5
6500	62.6
6700	61.8
6900	56.3
7100	59.9
7300	63.3
7500	63.4
7750	62.1
8000	58.5
8250	53.5
8500	57.2
8750	60.4
9000	57.8
9250	57.6
9500	53
9750	56.2
10000	58.6
10300	59.1
10600	58.1
10900	51.9
11200	55.4
11500	59.3
11800	61.2
12200	53.5
12500	55.4
12800	59.1
13200	53.2
13600	48.6
14000	57.9
14500	53.6
15000	52.3
15500	49.8
16000	49.2
16500	52.3
17000	50.6
17500	49.3
18000	46.1
18500	43.6
19000	40.2
19500	40.1
20000	38.9
20600	38.2
21200	39.8
21800	37.4
22400	37.2
