Frequency Spectrum for Input Signal

Data Shown:    xS-Series (d&b audiotechnik)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 80°  

Freq [Hz]	Signal Level [dBSPL]
22.4	22.8
23	23.8
23.6	24.8
24	25.8
25	26.8
25.8	28
26.5	30.7
27.2	37.4
28	39.8
29	41.7
30	43
30.7	43.6
31.5	44.4
32.5	45.4
33.5	46.5
34.5	47.1
35.5	44
36.5	38.8
37.5	38.8
38.7	40.1
40	43.6
41.2	49.1
42.5	55.1
43.7	54.5
45	52
46.2	53.4
47.5	56.1
48.7	62.7
50	67.9
51.5	63.6
53	62.7
54.5	66.1
56	68.4
58	70.4
60	71.3
61.5	70.6
63	71.2
65	72.5
67	73.6
69	74.8
71	76
73	77
75	77.8
77.5	78.2
80	78.4
82.5	79
85	79.6
87.5	79.8
90	79.7
92.5	80.2
95	80.2
97.5	80.4
100	80.6
103	81.2
106	81.1
109	81.5
112	81.6
115	81.9
118	82.3
122	82.6
125	83.1
128	83.1
132	83
136	82.7
140	82.7
145	82.2
150	82.1
155	82.1
160	82.5
165	82.3
170	82.5
175	82.8
180	82.9
185	83.2
190	83.2
195	83.1
200	82.9
206	82.5
212	82.1
218	81.7
224	81.7
230	81.6
236	81.6
240	81.6
250	81.5
258	81.6
265	81.7
272	81.8
280	81.9
290	81.8
300	82
307	82.3
315	82.3
325	81.9
335	81.5
345	80.7
355	80.7
365	80.2
375	80.8
387	80.7
400	80.9
412	80.9
425	80.9
437	81.1
450	81.2
462	81.2
475	81.1
487	81.2
500	80.4
515	80
530	80.1
545	80.2
560	80.4
580	80.3
600	80.8
615	81.2
630	80.8
650	80.3
670	80
690	79.2
710	78.2
730	77.5
750	76.8
775	77.1
800	76.8
825	77
850	77.9
875	78.4
900	78.2
925	76.8
950	75.8
975	75.8
1000	75.3
1030	74.5
1060	73.5
1090	73.5
1120	73.2
1150	72.7
1180	74.1
1220	73.6
1250	72.9
1280	72.6
1320	72.3
1360	71.9
1400	74.3
1450	74.1
1500	72.8
1550	72.4
1600	71.6
1650	72.9
1700	72.3
1750	72.7
1800	72.5
1850	71.9
1900	71.6
1950	73
2000	72.6
2060	71.4
2120	73.1
2180	73.4
2240	72.2
2300	71.1
2360	70.6
2400	71.6
2500	71.7
2580	70.2
2650	70.2
2720	70.9
2800	70.2
2900	67.7
3000	68
3070	66.1
3150	67.7
3250	69.6
3350	68.6
3450	71.1
3550	72.1
3650	73.8
3750	74.3
3870	69.7
4000	68.2
4120	66.2
4250	67.2
4370	69
4500	70
4620	70.8
4750	69.3
4870	65.6
5000	68.6
5150	68.3
5300	68.4
5450	67.9
5600	70
5800	78.4
6000	76.8
6150	75.5
6300	73.4
6500	71.9
6700	71.5
6900	71.1
7100	69.6
7300	69.8
7500	69.7
7750	68.3
8000	68.4
8250	68.6
8500	66.8
8750	65.6
9000	64.6
9250	59.9
9500	55.2
9750	65.7
10000	70.1
10300	68.1
10600	69.9
10900	72.6
11200	64.4
11500	64.5
11800	65.4
12200	64
12500	63.9
12800	56.9
13200	54.3
13600	56
14000	57.7
14500	52.2
15000	48.4
15500	56.2
16000	57.7
16500	58.6
17000	53.9
17500	51.2
18000	49.6
18500	48.8
19000	56.2
19500	51.8
20000	39.4
20600	41.5
21200	41.6
21800	39.8
22400	35.7
