Frequency Spectrum for Input Signal

Data Shown:    A-Series Line array (d&b audiotechnik)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 70°

Freq [Hz]	Signal Level [dBSPL]
22.4	24.9
23	27.4
23.6	30
24	33.5
25	37
25.8	40.6
26.5	44.1
27.2	46.3
28	48.1
29	49.9
30	50.1
30.7	48.8
31.5	48.9
32.5	49.8
33.5	52.2
34.5	54.6
35.5	56.8
36.5	58.7
37.5	60.6
38.7	62.7
40	64.6
41.2	67.1
42.5	68.4
43.7	69.3
45	70.9
46.2	72.6
47.5	73.9
48.7	75.2
50	76.7
51.5	78
53	79.2
54.5	80.5
56	82
58	83.3
60	84.2
61.5	84.8
63	85.2
65	85.6
67	86
69	86.2
71	86.5
73	86.5
75	86.5
77.5	86.5
80	86.7
82.5	86.8
85	86.9
87.5	87
90	87.3
92.5	87.8
95	88.1
97.5	88.2
100	87.9
103	87.3
106	86.9
109	86.7
112	87.1
115	87.9
118	88.6
122	88.6
125	87.4
128	86.8
132	86.7
136	86.2
140	85.9
145	85.7
150	85.8
155	86.5
160	87.2
165	87.3
170	86.5
175	85.2
180	84.6
185	85.4
190	86
195	85.5
200	84
206	82.7
212	82.1
218	83.3
224	84.2
230	84.7
236	84.8
240	84.2
250	83.7
258	83.9
265	84.2
272	84.2
280	83.9
290	83.4
300	82.5
307	81.8
315	83
325	82.9
335	82.5
345	81.7
355	80.3
365	78.8
375	78.1
387	76.1
400	72
412	73.1
425	72.3
437	70.1
450	72.1
462	69
475	70.8
487	73
500	70.3
515	65.7
530	67.2
545	67.7
560	67.1
580	68
600	68.6
615	68.5
630	67.7
650	64
670	67.5
690	69.1
710	70.7
730	71.9
750	69.8
775	70.2
800	72.7
825	74.9
850	75.8
875	76.2
900	76.9
925	76.8
950	78
975	78.8
1000	80.3
1030	81.9
1060	81.8
1090	81.3
1120	80.6
1150	79.4
1180	78.7
1220	79.4
1250	79.5
1280	79.4
1320	79.2
1360	79.2
1400	78.7
1450	79.3
1500	79.1
1550	79.3
1600	78.8
1650	78.3
1700	78.1
1750	78.3
1800	78.4
1850	78.7
1900	76.6
1950	73.7
2000	74.2
2060	77.3
2120	79.4
2180	80.2
2240	80.4
2300	79.7
2360	78.5
2400	79.4
2500	81
2580	82.2
2650	83
2720	82.6
2800	81.4
2900	80.2
3000	79.4
3070	77.8
3150	76.8
3250	75.9
3350	74.2
3450	71.7
3550	72.7
3650	77.3
3750	80.1
3870	78.4
4000	78.4
4120	80.9
4250	81.7
4370	79.5
4500	77.4
4620	78.3
4750	78.6
4870	77.2
5000	75.2
5150	69.1
5300	66.3
5450	71.1
5600	79
5800	83.1
6000	83.3
6150	83.5
6300	83.6
6500	80.5
6700	72.2
6900	60.7
7100	67.4
7300	77.8
7500	80.9
7750	78.5
8000	79.5
8250	81.2
8500	77.7
8750	63
9000	70.6
9250	78.4
9500	80.7
9750	77.1
10000	74.3
10300	68.5
10600	61.1
10900	74
11200	79.2
11500	76.9
11800	70.9
12200	68.4
12500	73.2
12800	78
13200	77.2
13600	66.4
14000	73
14500	78.5
15000	83.6
15500	76.8
16000	80.8
16500	72.4
17000	72.5
17500	65.6
18000	74.3
18500	69.5
19000	70
19500	61.9
20000	65.6
20600	61.1
21200	54.3
21800	50.1
22400	38.4
