Frequency Spectrum for Input Signal

Data Shown:    A-Series Line array (d&b audiotechnik)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 150°  

Freq [Hz]	Signal Level [dBSPL]
22.4	31.4
23	36.4
23.6	42
24	41.1
25	41.3
25.8	40.5
26.5	37.5
27.2	38.7
28	40.9
29	43.1
30	46.1
30.7	50.8
31.5	54.2
32.5	56.8
33.5	58.7
34.5	60.2
35.5	61.7
36.5	63.9
37.5	66.4
38.7	69
40	70.8
41.2	72.9
42.5	74.2
43.7	74.8
45	75.1
46.2	76.6
47.5	77.9
48.7	79.4
50	81
51.5	82.6
53	84
54.5	85.5
56	87.2
58	88.6
60	89.8
61.5	90.5
63	90.7
65	91
67	91.4
69	91.6
71	91.8
73	91.7
75	91.4
77.5	91.3
80	91.6
82.5	91.9
85	92.3
87.5	92.6
90	92.8
92.5	93.5
95	94.4
97.5	95.1
100	94.8
103	93.4
106	92.3
109	91.8
112	92.1
115	93.3
118	94.6
122	95.1
125	94.1
128	92.1
132	92.2
136	92.2
140	91.7
145	91.1
150	90.7
155	91.3
160	92.1
165	92.3
170	91.6
175	90
180	87.9
185	86.9
190	89.1
195	90.8
200	90.6
206	89.6
212	88.8
218	86.8
224	85.9
230	86.1
236	85.8
240	86.3
250	86
258	83.7
265	82.3
272	83.7
280	85.7
290	86.2
300	85.2
307	81.1
315	82.6
325	84.1
335	82.3
345	81.5
355	82.6
365	85.4
375	86.4
387	83.9
400	77.4
412	81.9
425	81.9
437	80.3
450	79.5
462	81.6
475	77
487	76
500	81
515	76.9
530	82.1
545	83.7
560	82.4
580	82
600	80.6
615	78.4
630	76.3
650	76.1
670	75.9
690	76.1
710	78.6
730	80.8
750	79.3
775	75.8
800	73.1
825	66.9
850	70
875	71.2
900	70.6
925	73
950	73.6
975	71.6
1000	72.2
1030	73.5
1060	74.5
1090	75.7
1120	74.7
1150	73.2
1180	72.7
1220	71.4
1250	69.2
1280	67.9
1320	72.7
1360	79.9
1400	77.6
1450	72.6
1500	72
1550	69.5
1600	67.8
1650	72.5
1700	73.9
1750	70.9
1800	70.5
1850	73.6
1900	70.5
1950	69.7
2000	58.7
2060	67
2120	66.3
2180	62.7
2240	63.6
2300	66.4
2360	67.6
2400	67.4
2500	61.2
2580	66.5
2650	57.2
2720	60.8
2800	66.5
2900	68.4
3000	65.2
3070	57.2
3150	62.3
3250	65
3350	69.1
3450	67.3
3550	54.8
3650	69.8
3750	66.3
3870	68.7
4000	68.9
4120	64.7
4250	63.6
4370	55.2
4500	56.6
4620	56.8
4750	64.8
4870	64.2
5000	66.1
5150	54.6
5300	51.8
5450	60.3
5600	67.7
5800	47.3
6000	50.2
6150	63.5
6300	64.4
6500	52.3
6700	66.2
6900	55.3
7100	57.2
7300	57.7
7500	48.6
7750	60.4
8000	60.2
8250	60.1
8500	52.5
8750	45
9000	48.7
9250	48.5
9500	46.9
9750	49.7
10000	42
10300	44.1
10600	55.9
10900	56.6
11200	50.7
11500	47.6
11800	47.3
12200	51.7
12500	51.4
12800	32.6
13200	50.6
13600	57.3
14000	41.6
14500	56.4
15000	53.7
15500	46.7
16000	58.7
16500	55.8
17000	43.7
17500	45.6
18000	33.6
18500	44
19000	32.8
19500	37.4
20000	35.6
20600	33.8
21200	34.5
21800	30.3
22400	34.5
