Frequency Spectrum for Input Signal

Data Shown:    Q-Series (d&b audiotechnik)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 140°  

Freq [Hz]	Signal Level [dBSPL]
22.4	31.9
23	34.2
23.6	36.6
24	39.1
25	41.7
25.8	44.3
26.5	46.9
27.2	49.4
28	50.4
29	51.3
30	52.2
30.7	51.7
31.5	51.5
32.5	50
33.5	49.8
34.5	51
35.5	53
36.5	56.8
37.5	59.9
38.7	62.9
40	65.6
41.2	67.7
42.5	69.9
43.7	72
45	73.9
46.2	75.2
47.5	75.2
48.7	75.6
50	75.9
51.5	76.6
53	77.6
54.5	78.9
56	80.5
58	81.8
60	83
61.5	84.2
63	85.5
65	86.9
67	87.9
69	88.7
71	89.2
73	89.8
75	90.3
77.5	91
80	91.6
82.5	92
85	92.4
87.5	92.9
90	93.2
92.5	93.5
95	93.8
97.5	93.9
100	93.8
103	93.6
106	93.4
109	93.2
112	93
115	92.9
118	93
122	93
125	93
128	93.2
132	93.4
136	93.5
140	93.7
145	93.5
150	93.3
155	93.1
160	92.8
165	92.9
170	93
175	93.2
180	93.3
185	93.2
190	93
195	92.8
200	92.4
206	92.1
212	91.5
218	91
224	90.4
230	89.3
236	88.2
240	87.7
250	88.1
258	88.6
265	88.6
272	88.5
280	88.7
290	89.4
300	90.4
307	91.2
315	91.2
325	90.4
335	89.6
345	88.8
355	87.7
365	86.7
375	85.5
387	85.1
400	85.6
412	86.3
425	86.7
437	86.4
450	85.8
462	85.5
475	85.4
487	85.3
500	84.5
515	84.2
530	83.5
545	82.8
560	82.5
580	82.2
600	82.7
615	83.1
630	82.2
650	79.5
670	77
690	76.7
710	78
730	78.2
750	77.4
775	75.4
800	76.5
825	78.7
850	78.2
875	79.2
900	79.8
925	78.6
950	80
975	78.7
1000	77.4
1030	78.8
1060	78.5
1090	78.3
1120	76.6
1150	79.4
1180	79.2
1220	78.3
1250	79.8
1280	79
1320	77.1
1360	77.4
1400	78
1450	77.8
1500	77.8
1550	75.8
1600	75.8
1650	67.5
1700	66
1750	68.8
1800	67
1850	67.9
1900	71.7
1950	71
2000	71.4
2060	72.8
2120	73.7
2180	73
2240	74.4
2300	74.4
2360	73.3
2400	74
2500	72.1
2580	72.2
2650	70.7
2720	69.5
2800	69.5
2900	69.8
3000	71.7
3070	72.9
3150	73.1
3250	72
3350	70.9
3450	71.2
3550	72.5
3650	73
3750	71.3
3870	69.8
4000	68.6
4120	69
4250	69.7
4370	68.1
4500	67
4620	67.2
4750	68.7
4870	69.4
5000	68.8
5150	68
5300	68.1
5450	67.1
5600	67.3
5800	67.9
6000	68
6150	67.4
6300	67
6500	67.6
6700	67.7
6900	67
7100	64.8
7300	65
7500	65.3
7750	64.5
8000	64.2
8250	61.5
8500	59.8
8750	63.2
9000	64.3
9250	63.6
9500	62.5
9750	59.8
10000	58.8
10300	62.2
10600	61.1
10900	59.6
11200	61.2
11500	61.6
11800	59.9
12200	58.5
12500	59.8
12800	59.2
13200	58.6
13600	60.6
14000	55.5
14500	52.6
15000	50.2
15500	52.7
16000	57.8
16500	58.3
17000	60.5
17500	57.5
18000	49.2
18500	52.9
19000	52.6
19500	44.4
20000	42.9
20600	33.8
21200	29.1
21800	22.1
22400	12.8
