Frequency Spectrum for Input Signal

Data Shown:    V-Series (d&b audiotechnik)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 40°

Freq [Hz]	Signal Level [dBSPL]
22.4	33
23	30.6
23.6	28.2
24	38
25	44.5
25.8	50.3
26.5	57.6
27.2	58.3
28	56.1
29	53.6
30	51.6
30.7	52.2
31.5	51.6
32.5	49.4
33.5	51.6
34.5	55.4
35.5	60.1
36.5	65.3
37.5	69.2
38.7	72.5
40	76.1
41.2	80.8
42.5	72.6
43.7	68.2
45	69.1
46.2	75.1
47.5	78.1
48.7	79.1
50	79.6
51.5	80.5
53	82
54.5	85.1
56	86.8
58	87.4
60	88
61.5	88.7
63	89.9
65	91.2
67	91.4
69	91.4
71	91.5
73	92.1
75	93
77.5	93.7
80	93.6
82.5	93.8
85	93.8
87.5	93.8
90	94.1
92.5	94.4
95	94.4
97.5	94.4
100	94.5
103	94.9
106	95.1
109	94.9
112	94.8
115	95.2
118	95
122	95
125	95
128	94.5
132	94.6
136	94.8
140	94.7
145	94.8
150	94.6
155	94.5
160	94.5
165	94.4
170	94.7
175	94.7
180	94.8
185	94.7
190	94.5
195	94.1
200	93.7
206	93.6
212	93.9
218	93.8
224	94
230	94
236	93.8
240	93.6
250	93.4
258	93.5
265	94.1
272	94.5
280	94.4
290	95.4
300	95.9
307	95.3
315	94.4
325	94.2
335	93.9
345	93.3
355	93.1
365	93.2
375	93.4
387	93.4
400	93.5
412	93.2
425	92.8
437	92.8
450	92.3
462	92.2
475	92.6
487	93
500	93.3
515	93.6
530	93.8
545	93.9
560	93.6
580	92.6
600	92.6
615	92.9
630	92.3
650	91.8
670	91.9
690	91.7
710	91.3
730	90.8
750	90.9
775	91.7
800	93
825	93.4
850	92.4
875	90.5
900	89.3
925	88.9
950	89.6
975	90.7
1000	91.4
1030	91.5
1060	91.4
1090	91.1
1120	90.4
1150	90
1180	90
1220	90.3
1250	90.5
1280	89.7
1320	89.9
1360	90.3
1400	89.3
1450	89.2
1500	89.3
1550	89.3
1600	88.8
1650	88
1700	88.6
1750	89.3
1800	89.2
1850	90.4
1900	90.1
1950	89.3
2000	89.9
2060	88.6
2120	87.7
2180	86.6
2240	85.1
2300	85
2360	87.4
2400	87.9
2500	87.7
2580	88.3
2650	88.4
2720	88.7
2800	89.7
2900	89.6
3000	88.7
3070	89.7
3150	89.7
3250	90.4
3350	91.3
3450	91.8
3550	91.7
3650	89.8
3750	89.2
3870	88.6
4000	88.2
4120	89.1
4250	89
4370	88.9
4500	88.7
4620	89
4750	88.4
4870	90
5000	90.4
5150	91
5300	90.8
5450	91.4
5600	90.9
5800	89
6000	86.7
6150	84.7
6300	86.4
6500	87.7
6700	88.6
6900	89
7100	88.9
7300	88
7500	87.4
7750	86
8000	83.3
8250	83.8
8500	87.9
8750	91
9000	93.1
9250	92.7
9500	87.4
9750	83.6
10000	84.7
10300	88.8
10600	93.3
10900	88.8
11200	86.3
11500	83.9
11800	84.1
12200	85.9
12500	90.9
12800	88.1
13200	92.6
13600	85.4
14000	92.1
14500	83.2
15000	82
15500	87.3
16000	84.9
16500	85
17000	85.2
17500	78.6
18000	85.4
18500	87.8
19000	79.6
19500	72
20000	79.1
20600	87.1
21200	79.6
21800	78.6
22400	73.7
