Frequency Spectrum for Input Signal

Data Shown:    V-Series (d&b audiotechnik)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 140°  

Freq [Hz]	Signal Level [dBSPL]
22.4	35.1
23	34.6
23.6	34.5
24	36.6
25	38.8
25.8	40.8
26.5	43.3
27.2	42.3
28	39.9
29	37
30	44.4
30.7	52.7
31.5	56.8
32.5	59.4
33.5	60.6
34.5	60.8
35.5	58.7
36.5	58.9
37.5	61.6
38.7	65.6
40	72.6
41.2	79.8
42.5	72.7
43.7	68.6
45	69.6
46.2	75.3
47.5	78.1
48.7	78.1
50	76.7
51.5	79.6
53	82.2
54.5	84.7
56	85.8
58	85
60	85.3
61.5	86.4
63	87.9
65	89.4
67	89.8
69	90.2
71	90.6
73	91.6
75	92.6
77.5	93.3
80	93.6
82.5	93.9
85	94
87.5	94.1
90	94.5
92.5	95
95	94.8
97.5	94.7
100	94.5
103	94.4
106	94.4
109	93.8
112	93.7
115	93.9
118	93.6
122	93.5
125	93.6
128	93.3
132	93.5
136	93.7
140	93.7
145	93.5
150	93.1
155	92.6
160	92.5
165	92.3
170	92.5
175	92.6
180	92.8
185	92.8
190	92.7
195	92.3
200	91.7
206	91
212	90.5
218	89.8
224	89.2
230	88.8
236	88.5
240	88.2
250	87.8
258	87.8
265	88.4
272	89.4
280	90.2
290	91.4
300	91.6
307	90.5
315	89
325	87.9
335	87
345	85.6
355	85.4
365	85
375	85.1
387	84.8
400	83.8
412	81.9
425	80.6
437	80.5
450	80.3
462	80.8
475	81.6
487	82.2
500	82.2
515	81.8
530	82.1
545	82.6
560	82.3
580	80.6
600	78.4
615	79.2
630	78.4
650	77.3
670	77.6
690	78.3
710	78.1
730	78.2
750	76.9
775	75.6
800	77.1
825	77.4
850	76.4
875	76.8
900	75.4
925	74.7
950	76.1
975	77.5
1000	77.5
1030	77
1060	77.2
1090	77
1120	75
1150	74.2
1180	73.6
1220	75.4
1250	76.7
1280	73.7
1320	75.8
1360	73.6
1400	71.6
1450	75
1500	72.1
1550	72.2
1600	70.3
1650	68
1700	72.3
1750	70.3
1800	72
1850	72
1900	74
1950	70.7
2000	71.7
2060	70.7
2120	66.8
2180	67.3
2240	70.7
2300	71.8
2360	72.4
2400	72.6
2500	73.8
2580	72.6
2650	75.1
2720	74.9
2800	74.3
2900	73.6
3000	70.9
3070	69.8
3150	68.9
3250	71.1
3350	71.8
3450	71.5
3550	72.4
3650	68.6
3750	66.9
3870	66.9
4000	65.2
4120	68.5
4250	66.8
4370	69.3
4500	70.3
4620	71.9
4750	71.2
4870	71.8
5000	70.2
5150	71.7
5300	71.2
5450	70.4
5600	70.2
5800	66.7
6000	63.3
6150	62.1
6300	64.2
6500	66.7
6700	67.3
6900	67.1
7100	66.4
7300	65.2
7500	66
7750	64.3
8000	62.9
8250	61.5
8500	64.7
8750	64
9000	68.4
9250	67.1
9500	63.8
9750	63
10000	62.3
10300	65.8
10600	69.1
10900	64.8
11200	62.2
11500	58.5
11800	59.5
12200	62.4
12500	66.2
12800	67.9
13200	73
13600	59.8
14000	69.8
14500	66.1
15000	63.6
15500	61.7
16000	58.5
16500	63.6
17000	65.8
17500	55.2
18000	62.3
18500	58.7
19000	51.6
19500	42.4
20000	52.8
20600	57.4
21200	51.1
21800	50.8
22400	45.9
