Freq[Hz]     dBSPL  Phase[Deg]
5.00000     29.914   143.453
5.07273     30.297   136.537
5.14651     30.679   129.620
5.22137     31.062   122.702
5.29732     31.551   115.549
5.37437     32.106   108.252
5.45254     32.661   100.954
5.53185     33.135    93.871
5.61231     33.487    87.110
5.69394     33.839    80.348
5.77676     34.141    73.646
5.86079     34.338    67.074
5.94604     34.535    60.500
6.03252     34.669    53.972
6.12027     34.696    47.523
6.20929     34.723    41.073
6.29961     34.569    34.612
6.39124     34.265    28.142
6.48420     33.961    21.671
6.57851     33.360    14.885
6.67420     32.698     8.034
6.77128     31.944     1.015
6.86977     30.860    -6.608
6.96969     29.775   -14.232
7.07107     27.943   -24.001
7.17392     25.789   -34.693
7.27827     23.890   -50.270
7.38413     22.682   -79.095
7.49154     21.474  -107.920
7.60050     21.121  -138.657
7.71105     20.840  -169.555
7.82321     22.033   171.835
7.93701     24.016   159.808
8.05245     25.432   150.994
8.16958     26.163   146.067
8.28841     26.777   142.403
8.40896     27.143   141.404
8.53128     27.423   141.617
8.65537     27.450   145.387
8.78126     27.680   149.694
8.90899     28.527   155.639
9.03857     29.460   161.108
9.17004     30.594   165.445
9.30342     31.805   168.219
9.43874     33.131   168.639
9.57603     34.263   167.569
9.71532     35.235   165.291
9.85663     35.968   162.160
10.0000     36.623   158.748
10.1455     36.942   154.683
10.2930     37.108   150.663
10.4427     36.895   146.761
10.5946     36.450   143.685
10.7487     35.864   141.112
10.9051     34.889   140.507
11.0637     33.774   141.914
11.2246     32.452   146.320
11.3879     31.658   154.622
11.5535     31.152   164.599
11.7216     31.045   176.571
11.8921     31.792  -175.703
12.0650     32.587  -170.120
12.2405     33.174  -166.694
12.4186     33.502  -164.368
12.5992     33.619  -161.594
12.7825     33.599  -157.680
12.9684     33.701  -150.399
13.1570     34.119  -142.480
13.3484     35.041  -134.883
13.5426     36.438  -129.136
13.7395     38.039  -128.496
13.9394     39.516  -130.189
14.1421     40.719  -134.693
14.3478     41.697  -140.927
14.5565     42.468  -148.036
14.7683     42.973  -155.789
14.9831     43.172  -163.778
15.2010     43.132  -171.075
15.4221     43.002  -177.469
15.6464     42.674   178.088
15.8740     42.345   175.851
16.1049     42.264   176.023
16.3392     42.600   178.176
16.5768     43.416  -179.328
16.8179     44.559  -178.159
17.0626     45.883  -179.360
17.3107     47.251   177.808
17.5625     48.412   173.828
17.8180     49.304   169.292
18.0771     50.026   164.888
18.3401     50.648   160.980
18.6068     51.123   158.038
18.8775     51.475   156.188
19.1521     51.832   155.288
19.4306     52.193   155.235
19.7133     52.730   155.808
20.0000     53.331   156.432
20.2909     54.057   156.733
20.5860     54.693   156.549
20.8855     55.425   155.750
21.1893     56.078   154.310
21.4975     56.694   152.411
21.8102     57.251   150.224
22.1274     57.761   147.947
22.4492     58.169   145.696
22.7758     58.720   143.548
23.1071     59.081   141.487
23.4432     59.708   139.401
23.7841     60.154   137.165
24.1301     60.708   134.731
24.4811     61.354   132.200
24.8372     61.839   129.709
25.1984     62.418   127.390
25.5649     62.903   125.335
25.9368     63.423   123.524
26.3141     64.087   121.880
26.6968     64.714   120.318
27.0851     65.298   118.781
27.4791     65.866   117.257
27.8788     66.418   115.753
28.2843     67.040   114.265
28.6957     67.612   112.781
29.1131     68.135   111.277
29.5365     68.774   109.723
29.9661     69.272   108.082
30.4020     69.783   106.311
30.8442     70.312   104.400
31.2929     70.833   102.373
31.7480     71.366   100.247
32.2098     71.851    98.008
32.6783     72.442    95.634
33.1536     72.922    93.161
33.6359     73.493    90.657
34.1251     74.068    88.178
34.6215     74.645    85.712
35.1250     75.149    83.200
35.6359     75.808    80.639
36.1543     76.223    78.133
36.6802     76.643    75.791
37.2137     77.132    73.582
37.7550     77.505    71.323
38.3041     78.021    68.860
38.8613     78.355    66.305
39.4265     78.770    63.791
40.0000     79.099    61.316
40.5818     79.332    58.732
41.1721     79.680    56.013
41.7710     80.007    53.313
42.3785     80.250    50.820
42.9949     80.497    48.501
43.6203     80.747    46.309
44.2548     81.001    44.255
44.8985     81.258    42.295
45.5515     81.620    40.276
46.2141     81.865    38.190
46.8863     82.099    36.191
47.5683     82.326    34.248
48.2602     82.503    32.129
48.9621     82.684    29.870
49.6743     82.835    27.791
50.3968     82.899    25.953
51.1299     83.151    24.178
51.8736     83.348    22.417
52.6281     83.550    20.704
53.3936     83.756    18.999
54.1702     83.867    17.330
54.9581     84.099    15.720
55.7575     84.276    14.030
56.5685     84.499    12.181
57.3914     84.699    10.237
58.2261     84.799     8.236
59.0730     84.997     6.219
59.9323     85.099     4.267
60.8040     85.399     2.489
61.6884     85.399     0.839
62.5857     85.599    -0.884
63.4960     85.738    -2.498
64.4196     85.999    -3.883
65.3566     86.099    -5.416
66.3073     86.299    -7.093
67.2717     86.338    -8.802
68.2502     86.699   -10.656
69.2429     86.799   -12.447
70.2501     86.982   -14.125
71.2719     87.161   -15.758
72.3086     87.322   -17.265
73.3603     87.599   -18.839
74.4274     87.875   -20.499
75.5099     87.999   -22.161
76.6083     88.162   -23.838
77.7226     88.388   -25.524
78.8531     88.599   -27.304
80.0000     88.799   -28.970
81.1636     88.999   -30.637
82.3442     89.214   -32.355
83.5419     89.403   -33.981
84.7570     89.557   -35.586
85.9899     89.876   -37.189
87.2406     90.076   -38.940
88.5096     90.234   -40.699
89.7970     90.518   -42.553
91.1031     90.849   -44.558
92.4282     91.079   -46.774
93.7726     91.305   -48.883
95.1366     91.499   -51.284
96.5204     91.716   -53.845
97.9243     91.839   -56.613
99.3486     91.999   -59.493
100.794     92.022   -62.001
102.260     91.999   -63.891
103.747     91.999   -65.263
105.256     92.228   -66.796
106.787     92.249   -68.672
108.340     92.466   -70.417
109.916     92.632   -72.221
111.515     92.828   -74.342
113.137     92.899   -76.586
114.783     92.799   -79.008
116.452     92.913   -81.269
118.146     92.970   -83.263
119.865     92.899   -85.223
121.608     92.799   -86.426
123.377     92.899   -88.101
125.171     92.999   -89.833
126.992     92.950   -91.623
128.839     93.081   -93.680
130.713     92.899   -95.812
132.615     93.024   -97.870
134.543     92.916   -99.999
136.500     92.799  -101.965
138.486     92.799  -103.677
140.500     92.743  -105.599
142.544     92.599  -107.362
144.617     92.422  -108.703
146.721     92.360  -109.957
148.855     92.228  -111.243
151.020     92.138  -112.353
153.217     92.043  -113.413
155.445     91.982  -114.646
157.706     91.866  -115.959
160.000     91.712  -117.253
162.327     91.552  -118.346
164.688     91.432  -118.745
167.084     91.356  -118.766
169.514     91.356  -119.230
171.980     91.238  -120.205
174.481     91.089  -121.147
177.019     90.928  -121.773
179.594     90.709  -121.646
182.206     90.661  -121.311
184.856     90.579  -121.370
187.545     90.499  -121.637
190.273     90.523  -121.886
193.041     90.512  -122.028
195.849     90.370  -122.335
198.697     90.231  -122.632
201.587     90.096  -122.273
204.520     90.057  -121.809
207.494     90.017  -121.678
210.512     89.985  -121.947
213.574     89.895  -122.024
216.681     89.867  -121.827
219.833     89.732  -121.198
223.030     89.761  -120.065
226.274     89.692  -119.137
229.565     89.711  -118.483
232.905     89.794  -118.243
236.292     89.805  -118.056
239.729     89.817  -117.453
243.216     89.876  -116.572
246.754     89.970  -115.530
250.343     90.095  -114.901
253.984     90.281  -114.757
257.678     90.380  -114.936
261.426     90.431  -114.867
265.229     90.556  -114.682
269.087     90.679  -114.599
273.001     90.789  -114.449
276.972     90.914  -114.479
281.000     90.992  -114.684
285.088     91.092  -114.904
289.234     91.184  -115.160
293.441     91.311  -115.463
297.709     91.426  -115.828
302.040     91.476  -116.235
306.433     91.479  -116.654
310.890     91.578  -117.082
315.412     91.599  -117.479
320.000     91.599  -117.818
324.655     91.598  -118.068
329.377     91.599  -118.238
334.168     91.599  -118.328
339.028     91.599  -118.335
343.959     91.599  -118.264
348.962     91.599  -118.127
354.038     91.599  -117.939
359.188     91.599  -117.709
364.412     91.599  -117.449
369.713     91.599  -117.187
375.090     91.632  -116.939
380.546     91.712  -116.712
386.081     91.799  -116.526
391.697     91.805  -116.385
397.394     91.899  -116.297
403.175     91.899  -116.266
409.039     91.946  -116.280
414.989     92.024  -116.329
421.025     92.099  -116.394
427.149     92.099  -116.452
433.362     92.099  -116.482
439.665     92.099  -116.465
446.060     92.105  -116.390
452.548     92.199  -116.258
459.131     92.155  -116.082
465.809     92.199  -115.894
472.584     92.199  -115.743
479.458     92.246  -115.679
486.432     92.299  -115.744
493.507     92.349  -115.981
500.686     92.399  -116.407
507.968     92.389  -117.000
515.357     92.299  -117.715
522.853     92.294  -118.504
530.458     92.142  -119.280
538.174     91.894  -119.916
546.002     91.623  -120.296
553.943     91.317  -120.301
562.001     90.972  -119.802
570.175     90.629  -118.701
578.469     90.312  -116.988
586.883     90.073  -114.825
595.419     89.921  -112.459
604.080     89.853  -110.120
612.866     89.836  -108.046
621.780     89.899  -106.356
630.824     89.899  -105.001
640.000     89.815  -103.823
649.309     89.751  -102.580
658.753     89.657  -101.044
668.335     89.599   -99.094
678.056     89.599   -96.900
687.919     89.610   -94.674
697.925     89.729   -92.681
708.077     89.874   -91.087
718.376     90.038   -89.790
728.825     90.099   -88.588
739.426     90.168   -87.256
750.181     90.269   -85.690
761.093     90.376   -83.986
772.163     90.549   -82.416
783.394     90.786   -81.176
794.789     90.983   -80.321
806.349     91.134   -79.761
818.078     91.238   -79.290
829.977     91.315   -78.787
842.050     91.399   -78.276
854.298     91.484   -77.868
866.724     91.499   -77.627
879.330     91.499   -77.431
892.120     91.490   -76.848
905.097     91.380   -75.404
918.262     91.299   -73.634
931.618     91.299   -72.097
945.169     91.299   -71.059
958.917     91.275   -70.458
972.864     91.131   -69.922
987.015     90.912   -69.041
1001.37     90.687   -67.679
1015.94     90.502   -66.127
1030.71     90.347   -64.760
1045.71     90.170   -63.569
1060.92     89.954   -62.214
1076.35     89.739   -60.405
1092.00     89.583   -58.188
1107.89     89.499   -55.875
1124.00     89.538   -53.680
1140.35     89.646   -51.593
1156.94     89.873   -49.834
1173.77     90.190   -48.946
1190.84     90.520   -49.191
1208.16     90.759   -50.188
1225.73     90.885   -51.304
1243.56     91.040   -52.308
1261.65     91.309   -53.599
1280.00     91.623   -55.701
1298.62     91.899   -58.705
1317.51     92.103   -62.392
1336.67     92.239   -66.490
1356.11     92.299   -70.789
1375.84     92.299   -75.272
1395.85     92.299   -80.004
1416.15     92.242   -84.733
1436.75     92.090   -88.674
1457.65     91.859   -91.705
1478.85     91.647   -93.892
1500.36     91.599   -95.902
1522.19     91.529   -98.465
1544.33     91.433  -101.279
1566.79     91.281  -103.699
1589.58     91.199  -105.981
1612.70     91.137  -108.704
1636.16     91.014  -111.449
1659.95     90.848  -113.338
1684.10     90.799  -114.608
1708.60     90.886  -116.399
1733.45     90.999  -119.133
1758.66     90.999  -122.341
1784.24     90.999  -125.536
1810.19     90.962  -128.664
1836.52     90.835  -131.704
1863.24     90.752  -134.495
1890.34     90.699  -137.262
1917.83     90.699  -140.166
1945.73     90.699  -143.001
1974.03     90.699  -145.956
2002.74     90.699  -149.292
2031.87     90.699  -152.699
2061.43     90.699  -156.177
2091.41     90.658  -159.970
2121.83     90.478  -163.349
2152.69     90.399  -166.080
2184.01     90.399  -169.287
2215.77     90.399  -173.075
2248.00     90.366  -176.984
2280.70     90.205   178.886
2313.87     89.921   175.247
2347.53     89.636   172.637
2381.68     89.463   170.268
2416.32     89.337   167.264
2451.46     89.097   164.102
2487.12     88.826   161.635
2523.30     88.559   159.271
2560.00     88.215   157.437
2597.24     88.026   155.856
2635.01     87.759   153.724
2673.34     87.419   153.041
2712.23     87.299   152.858
2751.68     87.233   151.965
2791.70     87.199   150.777
2832.31     87.023   149.076
2873.50     86.786   148.567
2915.30     86.686   148.736
2957.70     86.699   148.817
3000.72     86.770   147.761
3044.37     86.621   146.400
3088.65     86.372   146.120
3133.58     86.336   147.413
3179.16     86.524   147.728
3225.40     86.599   146.945
3272.31     86.599   146.085
3319.91     86.599   146.275
3368.20     86.716   146.642
3417.19     86.895   146.245
3466.89     87.018   145.350
3517.32     87.060   144.631
3568.48     87.010   144.768
3620.39     87.165   145.099
3673.05     87.418   144.826
3726.47     87.554   143.643
3780.67     87.499   143.191
3835.67     87.674   143.560
3891.46     87.910   142.909
3948.06     87.985   141.615
4005.49     87.986   141.375
4063.75     88.141   141.347
4122.86     88.199   140.714
4182.82     88.296   140.248
4243.66     88.391   140.207
4305.39     88.514   139.906
4368.01     88.619   139.681
4431.55     88.777   139.349
4496.01     88.951   138.488
4561.40     89.049   137.782
4627.75     89.176   137.048
4695.06     89.299   135.911
4763.35     89.299   135.016
4832.64     89.310   134.922
4902.93     89.454   134.498
4974.24     89.499   133.641
5046.60     89.623   133.126
5120.00     89.749   132.069
