Freq[Hz]     dBSPL  Phase[Deg]
5.00000     31.511   137.805
5.07273     31.890   130.944
5.14651     32.269   124.084
5.22137     32.648   117.224
5.29732     33.134   110.129
5.37437     33.685   102.892
5.45254     34.236    95.654
5.53185     34.706    88.632
5.61231     35.055    81.933
5.69394     35.403    75.234
5.77676     35.702    68.597
5.86079     35.895    62.088
5.94604     36.088    55.580
6.03252     36.218    49.120
6.12027     36.242    42.738
6.20929     36.265    36.356
6.29961     36.107    29.965
6.39124     35.800    23.565
6.48420     35.492    17.166
6.57851     34.887    10.453
6.67420     34.222     3.676
6.77128     33.464    -3.268
6.86977     32.376   -10.815
6.96969     31.288   -18.362
7.07107     29.452   -28.053
7.17392     27.294   -38.666
7.27827     25.392   -54.162
7.38413     24.180   -82.906
7.49154     22.968  -111.647
7.60050     22.611  -142.300
7.71105     22.326  -173.114
7.82321     23.516   168.363
7.93701     25.495   156.424
8.05245     26.908   147.699
8.16958     27.636   142.862
8.28841     28.246   139.290
8.40896     28.608   138.383
8.53128     28.884   138.691
8.65537     28.908   142.557
8.78126     29.134   146.961
8.90899     29.977   153.005
9.03857     30.906   158.573
9.17004     32.036   163.011
9.30342     33.244   165.889
9.43874     34.567   166.413
9.57603     35.694   165.449
9.71532     36.663   163.278
9.85663     37.392   160.256
10.0000     38.043   156.955
10.1455     38.359   153.002
10.2930     38.521   149.095
10.4427     38.305   145.310
10.5946     37.856   142.352
10.7487     37.266   139.896
10.9051     36.288   139.412
11.0637     35.169   140.942
11.2246     33.843   145.471
11.3879     33.046   153.899
11.5535     32.536   164.004
11.7216     32.425   176.105
11.8921     33.169  -176.037
12.0650     33.960  -170.321
12.2405     34.544  -166.759
12.4186     34.868  -164.296
12.5992     34.981  -161.383
12.7825     34.957  -157.327
12.9684     35.055  -149.903
13.1570     35.470  -141.839
13.3484     36.388  -134.094
13.5426     37.782  -128.198
13.7395     39.379  -127.405
13.9394     40.852  -128.945
14.1421     42.051  -133.292
14.3478     43.026  -139.368
14.5565     43.793  -146.316
14.7683     44.295  -153.905
14.9831     44.490  -161.729
15.2010     44.447  -168.857
15.4221     44.313  -175.081
15.6464     43.981  -179.351
15.8740     43.649   178.587
16.1049     43.564   178.937
16.3392     43.896  -178.729
16.5768     44.709  -176.049
16.8179     45.848  -174.694
17.0626     47.168  -175.707
17.3107     48.533  -178.348
17.5625     49.689   177.867
17.8180     50.578   173.528
18.0771     51.296   169.323
18.3401     51.915   165.619
18.6068     52.386   162.882
18.8775     52.735   161.241
19.1521     53.088   160.552
19.4306     53.445   160.715
19.7133     53.979   161.505
20.0000     54.575   162.350
20.2909     55.298   162.876
20.5860     55.972   162.888
20.8855     56.625   162.302
21.1893     57.278   161.080
21.4975     57.964   159.403
21.8102     58.496   157.440
22.1274     59.003   155.389
22.4492     59.469   153.366
22.7758     60.000   151.448
23.1071     60.281   149.618
23.4432     60.908   147.765
23.7841     61.354   145.761
