Freq[Hz]     dBSPL  Phase[Deg]
5.00000     42.538   -22.764
5.07273     42.218   -15.020
5.14651     41.798    -7.162
5.22137     40.378    -9.028
5.29732     38.958   -10.897
5.37437     37.538   -12.765
5.45254     36.118   -14.631
5.53185     34.598    -6.923
5.61231     32.978    10.920
5.69394     31.358    28.764
5.77676     29.638    46.607
5.86079     28.118    64.225
5.94604     29.999    68.748
6.03252     31.978    73.270
6.12027     33.958    77.794
6.20929     35.938    82.317
6.29961     36.718    80.081
6.39124     37.298    76.345
6.48420     37.878    72.612
6.57851     38.459    68.877
6.67420     38.438    63.861
6.77128     38.218    58.637
6.86977     37.998    53.412
6.96969     37.678    48.012
7.07107     36.458    41.267
7.17392     35.238    34.521
7.27827     34.019    27.778
7.38413     31.398    12.346
7.49154     27.678    -9.793
7.60050     23.958   -31.936
7.71105     21.538   -57.086
7.82321     24.818   -95.445
7.93701     28.199  -133.797
8.05245     31.579  -172.163
8.16958     33.159   178.049
8.28841     34.638   169.330
8.40896     36.218   160.612
8.53128     36.698   153.055
8.65537     37.178   145.646
8.78126     37.559   138.236
8.90899     37.239   130.709
9.03857     36.819   123.174
9.17004     36.298   115.552
9.30342     34.778   107.229
9.43874     33.358    98.906
9.57603     30.738    87.029
9.71532     26.319    69.721
9.85663     21.899    52.413
10.0000     23.879    -1.051
10.1455     27.657   -64.560
10.2930     31.038  -114.213
10.4427     33.418  -124.871
10.5946     35.698  -135.519
10.7487     36.979  -143.854
10.9051     37.959  -151.720
11.0637     38.739  -159.038
11.2246     39.119  -165.771
11.3879     39.398  -172.066
11.5535     39.478  -176.784
11.7216     39.459   178.556
11.8921     39.439   177.053
12.0650     39.319   175.552
12.2405     39.699   176.572
12.4186     40.079   177.915
12.5992     40.858   178.953
12.7825     41.838   179.922
12.9684     42.919   178.960
13.1570     44.099   177.549
13.3484     45.079   174.702
13.5426     46.059   171.623
13.7395     46.839   168.166
13.9394     47.618   164.760
14.1421     48.198   161.821
14.3478     48.779   159.189
14.5565     49.359   157.208
14.7683     49.939   155.720
14.9831     50.419   154.610
15.2010     50.899   153.926
15.4221     51.378   153.367
15.6464     51.858   153.038
15.8740     52.339   152.965
16.1049     52.819   153.094
16.3392     53.299   153.959
16.5768     53.779   155.111
16.8179     54.459   156.639
17.0626     55.139   157.976
17.3107     55.918   158.820
17.5625     56.799   158.945
17.8180     57.679   157.670
18.0771     58.359   155.757
18.3401     58.939   153.287
18.6068     59.419   150.544
18.8775     59.699   148.140
19.1521     59.979   146.202
19.4306     60.259   144.849
19.7133     60.639   144.134
20.0000     61.119   143.353
20.2909     61.799   142.107
20.5860     62.477   140.148
20.8855     62.999   137.314
21.1893     63.699   133.596
21.4975     64.199   129.445
21.8102     64.699   125.076
22.1274     65.099   120.619
22.4492     65.468   116.170
22.7758     65.799   111.849
23.1071     65.999   107.871
23.4432     66.099   104.656
23.7841     66.199   102.933
24.1301     66.310   103.122
24.4811     66.699   104.918
24.8372     67.499   107.057
25.1984     68.499   107.983
25.5649     69.618   106.838
25.9368     70.699   103.750
26.3141     71.399    99.464
26.6968     71.999    94.924
27.0851     72.299    91.080
27.4791     72.496    88.806
27.8788     72.499    88.530
28.2843     72.799    89.665
28.6957     73.463    90.830
29.1131     74.299    90.620
29.5365     75.099    88.436
29.9661     75.899    84.598
30.4020     76.299    79.949
30.8442     76.599    75.582
31.2929     76.654    72.217
31.7480     76.869    69.944
32.2098     77.099    68.275
32.6783     77.399    66.417
33.1536     77.799    64.048
33.6359     78.114    61.399
34.1251     78.499    58.831
34.6215     78.745    56.445
35.1250     79.099    54.013
35.6359     79.368    51.268
36.1543     79.699    48.288
36.6802     79.999    45.350
37.2137     80.137    42.752
37.7550     80.308    40.546
38.3041     80.540    38.595
38.8613     80.699    36.606
39.4265     80.999    34.489
40.0000     80.999    32.467
40.5818     81.199    30.772
41.1721     81.499    29.241
41.7710     81.599    27.456
42.3785     81.899    25.292
42.9949     82.058    23.229
43.6203     82.299    21.465
44.2548     82.499    19.584
44.8985     82.799    17.158
45.5515     82.899    14.553
46.2141     83.080    12.279
46.8863     83.199    10.328
47.5683     83.399     8.392
48.2602     83.421     6.560
48.9621     83.599     4.999
49.6743     83.799     3.576
50.3968     83.999     2.167
51.1299     84.137     0.780
51.8736     84.299    -0.684
52.6281     84.599    -2.336
53.3936     84.899    -4.173
54.1702     84.999    -6.156
54.9581     85.099    -8.114
55.7575     85.374    -9.972
56.5685     85.499   -11.946
57.3914     85.599   -13.849
58.2261     85.599   -15.105
59.0730     85.799   -16.008
59.9323     85.999   -17.274
60.8040     86.096   -18.352
61.6884     86.344   -18.989
62.5857     86.699   -20.575
63.4960     86.899   -22.766
64.4196     87.099   -23.782
65.3566     87.446   -24.967
66.3073     87.599   -27.268
67.2717     87.799   -29.020
68.2502     87.936   -30.566
69.2429     88.107   -31.838
70.2501     88.399   -32.995
71.2719     88.599   -35.427
72.3086     88.744   -37.395
73.3603     88.899   -38.398
74.4274     89.199   -39.710
75.5099     89.518   -41.592
76.6083     89.780   -43.405
77.7226     89.899   -45.444
78.8531     89.999   -46.988
80.0000     90.354   -48.404
81.1636     90.562   -50.544
82.3442     90.784   -52.220
83.5419     90.799   -53.908
84.7570     91.055   -55.486
85.9899     91.218   -57.253
87.2406     91.521   -59.182
88.5096     91.868   -61.144
89.7970     92.099   -63.278
91.1031     92.322   -65.764
92.4282     92.499   -68.185
93.7726     92.699   -70.935
95.1366     93.021   -74.234
96.5204     92.943   -77.439
97.9243     93.099   -80.487
99.3486     93.127   -83.381
100.794     92.999   -85.657
102.260     92.998   -87.501
103.747     93.067   -89.334
105.256     93.294   -91.581
106.787     93.391   -94.136
108.340     93.387   -96.762
109.916     93.383   -99.449
111.515     93.575  -102.148
113.137     93.376  -104.862
114.783     93.363  -107.485
116.452     93.255  -109.954
118.146     93.186  -112.316
119.865     93.038  -114.756
121.608     92.929  -116.466
123.377     92.998  -118.361
125.171     92.877  -120.354
126.992     92.776  -122.473
128.839     92.488  -124.554
130.713     92.439  -126.606
132.615     92.222  -128.610
134.543     92.080  -130.638
136.500     91.912  -132.745
138.486     91.713  -134.558
140.500     91.418  -136.146
142.544     91.145  -137.423
144.617     90.849  -138.287
146.721     90.608  -138.873
148.855     90.388  -139.467
151.020     90.068  -139.982
153.217     89.823  -140.210
155.445     89.627  -140.230
157.706     89.420  -140.223
160.000     89.222  -140.193
162.327     89.004  -139.841
164.688     88.757  -138.949
167.084     88.695  -137.602
169.514     88.673  -136.478
171.980     88.685  -135.668
174.481     88.663  -135.001
177.019     88.717  -134.374
179.594     88.795  -133.698
182.206     89.021  -133.249
184.856     89.185  -133.347
187.545     89.382  -133.774
190.273     89.605  -134.409
193.041     89.863  -135.272
195.849     90.036  -136.469
198.697     90.141  -137.995
201.587     90.278  -139.605
204.520     90.402  -141.329
207.494     90.426  -143.196
210.512     90.427  -145.272
213.574     90.455  -147.354
216.681     90.492  -149.248
219.833     90.369  -151.073
223.030     90.281  -152.768
226.274     90.149  -154.336
229.565     90.033  -155.832
232.905     89.874  -157.227
236.292     89.697  -158.448
239.729     89.547  -159.527
243.216     89.411  -160.433
246.754     89.226  -161.182
250.343     89.046  -161.827
253.984     88.856  -162.314
257.678     88.694  -162.682
261.426     88.546  -163.011
265.229     88.456  -163.320
269.087     88.346  -163.630
273.001     88.226  -163.953
276.972     88.107  -164.291
281.000     87.959  -164.647
285.088     87.808  -165.001
289.234     87.658  -165.309
293.441     87.545  -165.543
297.709     87.431  -165.686
302.040     87.278  -165.730
306.433     87.144  -165.681
310.890     87.014  -165.564
315.412     86.893  -165.432
320.000     86.892  -165.348
324.655     86.834  -165.369
329.377     86.793  -165.543
334.168     86.706  -165.918
339.028     86.635  -166.468
343.959     86.526  -167.136
348.962     86.421  -167.828
354.038     86.253  -168.423
359.188     86.011  -168.793
364.412     85.716  -168.758
369.713     85.417  -168.186
375.090     85.155  -167.027
380.546     84.994  -165.319
386.081     84.987  -163.348
391.697     85.018  -161.435
397.394     85.186  -160.005
403.175     85.425  -159.425
409.039     85.696  -159.764
414.989     85.977  -160.985
421.025     86.147  -162.884
427.149     86.181  -165.161
433.362     86.068  -167.505
439.665     85.874  -169.725
446.060     85.613  -171.375
452.548     85.315  -172.243
459.131     84.997  -172.325
465.809     84.784  -171.846
472.584     84.683  -171.365
479.458     84.806  -171.507
486.432     84.936  -172.735
493.507     84.965  -175.248
500.686     84.897  -178.914
507.968     84.574   176.764
515.357     84.001   172.394
522.853     83.167   168.671
530.458     81.968   166.735
538.174     80.544   167.991
546.002     79.282   173.202
553.943     78.606  -178.648
562.001     78.731  -171.019
570.175     79.319  -166.984
578.469     79.868  -166.852
586.883     80.098  -169.122
595.419     79.979  -172.007
604.080     79.543  -174.087
612.866     78.933  -174.315
621.780     78.403  -172.562
630.824     78.161  -170.134
640.000     78.213  -168.981
649.309     78.282  -169.988
658.753     78.057  -172.627
668.335     77.483  -175.401
678.056     76.603  -176.164
687.919     75.736  -173.440
697.925     75.455  -168.462
708.077     75.901  -165.377
718.376     76.636  -167.097
728.825     77.066  -173.500
739.426     76.887   177.208
750.181     76.045   167.060
761.093     74.326   158.543
772.163     71.787   155.673
783.394     69.042   163.084
794.789     67.676   177.977
806.349     68.099  -173.099
818.078     68.577  -174.048
829.977     68.303  -179.337
842.050     67.342   175.904
854.298     66.177   172.959
866.724     65.165   168.858
879.330     64.008   158.696
892.120     62.160   139.452
905.097     59.273   109.026
918.262     55.927    67.884
931.618     52.848    28.896
945.169     49.644    16.090
958.917     49.979    33.843
972.864     54.198    36.840
987.015     57.012    17.928
1001.37     57.877    -3.992
1015.94     57.031   -15.913
1030.71     55.896    -8.660
1045.71     57.124     6.034
1060.92     58.823     8.390
1076.35     58.663     5.209
1092.00     56.859    13.263
1107.89     56.263    37.167
1124.00     58.278    57.712
1140.35     60.916    68.304
1156.94     63.814    70.657
1173.77     66.203    62.559
1190.84     67.355    47.395
1208.16     67.087    32.516
1225.73     65.835    26.018
1243.56     65.249    29.755
1261.65     66.077    32.494
1280.00     66.674    29.530
1298.62     66.499    28.607
1317.51     66.654    31.459
1336.67     67.202    29.559
1356.11     66.803    23.869
1375.84     65.671    26.514
1395.85     66.319    35.093
1416.15     67.995    33.934
1436.75     68.636    28.477
1457.65     68.806    27.559
1478.85     69.361    27.020
1500.36     69.704    22.480
1522.19     69.630    18.078
1544.33     69.732    14.654
1566.79     69.629    10.144
1589.58     68.908    10.160
1612.70     68.899    16.145
1636.16     69.867    16.904
1659.95     70.264    11.949
1684.10     70.004     9.176
1708.60     69.780     9.979
1733.45     69.844    12.611
1758.66     70.298    13.870
1784.24     70.493    11.895
1810.19     70.281    12.162
1836.52     70.737    14.288
1863.24     71.528    10.906
1890.34     71.569     4.380
1917.83     70.897     0.754
1945.73     70.131     1.994
1974.03     69.909     5.216
2002.74     69.949     6.151
2031.87     69.853     7.862
2061.43     70.201    10.561
2091.41     70.561     9.193
2121.83     70.231     5.698
2152.69     69.419     4.917
2184.01     69.023    10.397
2215.77     69.717    15.934
2248.00     70.191    16.802
2280.70     70.135    18.942
2313.87     70.270    21.427
2347.53     70.192    22.398
2381.68     69.803    24.180
2416.32     69.713    29.912
2451.46     70.636    33.603
2487.12     71.305    32.058
2523.30     71.525    30.679
2560.00     71.577    28.581
2597.24     71.116    25.739
2635.01     70.109    27.264
2673.34     69.928    33.332
2712.23     70.328    34.554
2751.68     70.252    32.602
2791.70     69.715    30.056
2832.31     68.638    28.385
2873.50     66.968    34.943
2915.30     66.718    47.216
2957.70     67.059    51.071
3000.72     66.757    51.577
3044.37     66.106    53.788
3088.65     65.268    58.991
3133.58     64.696    69.958
3179.16     65.855    76.885
3225.40     66.318    71.407
3272.31     65.257    66.041
3319.91     63.121    70.140
3368.20     62.177    85.911
3417.19     63.314    91.902
3466.89     63.129    86.574
3517.32     61.233    83.347
3568.48     59.095    96.795
3620.39     59.418   110.823
3673.05     59.428   113.123
3726.47     58.522   109.894
3780.67     55.654   117.376
3835.67     55.176   150.526
3891.46     57.847   159.649
3948.06     57.635   152.059
4005.49     55.169   160.024
4063.75     55.094  -176.535
4122.86     56.028  -174.384
4182.82     55.621  -169.467
4243.66     54.880  -159.016
4305.39     54.952  -148.186
4368.01     54.479  -138.848
4431.55     54.127  -128.853
4496.01     55.326  -109.565
4561.40     56.085  -108.551
4627.75     55.901  -104.912
4695.06     55.291   -94.951
4763.35     55.953   -88.881
4832.64     55.898   -77.036
4902.93     56.836   -72.221
4974.24     57.560   -71.152
5046.60     56.700   -73.068
5120.00     55.711   -69.615
5194.47     55.791   -61.833
5270.03     55.465   -64.675
5346.68     54.465   -61.925
5424.45     54.357   -54.333
5503.35     53.972   -60.380
5583.40     52.174   -47.912
5664.61     54.525   -27.906
5747.01     54.513   -40.266
5830.60     52.891   -37.701
5915.41     53.829   -36.972
6001.45     51.839   -48.909
6088.74     48.877   -40.369
6177.30     47.866   -30.596
6267.15     46.430   -21.608
6358.31     48.583    11.137
6450.80     50.462     7.822
6544.62     50.808    11.240
6639.82     51.614    12.416
6736.40     51.262    12.696
6834.38     51.236    16.137
6933.79     50.109    18.248
7034.64     47.998    31.169
