Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -11.762    45.044
5.07273    -11.830    45.675
5.14651    -12.063    46.878
5.22137    -12.751    49.678
5.29732    -13.439    52.479
5.37437    -14.128    55.279
5.45254    -14.816    58.079
5.53185    -15.306    65.428
5.61231    -15.587    77.587
5.69394    -15.868    89.747
5.77676    -16.149   101.906
5.86079    -16.405   113.962
5.94604    -15.205   119.909
6.03252    -14.005   125.855
6.12027    -12.805   131.802
6.20929    -11.605   137.749
6.29961    -10.965   138.691
6.39124    -10.450   138.523
6.48420     -9.934   138.355
6.57851     -9.419   138.187
6.67420     -9.777   137.486
6.77128    -10.277   136.698
6.86977    -10.776   135.910
6.96969    -11.503   136.469
7.07107    -13.956   147.271
7.17392    -16.409   158.072
7.27827    -18.862   168.873
7.38413    -18.428  -172.872
7.49154    -15.763  -148.860
7.60050    -13.098  -124.848
7.71105    -10.614  -105.355
7.82321     -8.928  -105.712
7.93701     -7.243  -106.069
8.05245     -5.557  -106.425
8.16958     -5.275  -108.130
8.28841     -5.045  -109.884
8.40896     -4.815  -111.639
8.53128     -6.464  -108.626
8.65537     -8.356  -104.997
8.78126    -10.248  -101.368
8.90899     -8.853   -63.183
9.03857     -7.243   -22.734
9.17004     -5.399    13.501
9.30342     -1.687    16.186
9.43874      2.025    18.870
9.57603      5.151    20.112
9.71532      7.380    19.149
9.85663      9.608    18.185
10.0000     11.383    16.957
10.1455     13.032    15.656
10.2930     14.605    14.286
10.4427     15.967    12.726
10.5946     17.328    11.165
10.7487     18.559     9.138
10.9051     19.764     7.018
11.0637     20.887     4.554
11.2246     21.923     1.726
11.3879     22.917    -1.227
11.5535     23.752    -4.636
11.7216     24.583    -8.049
11.8921     25.183   -11.700
12.0650     25.783   -15.352
12.2405     26.164   -18.773
12.4186     26.518   -22.164
12.5992     26.689   -24.802
12.7825     26.819   -27.273
12.9684     26.844   -28.437
13.1570     26.844   -29.296
13.3484     26.898   -28.591
13.5426     26.960   -27.632
13.7395     27.258   -25.928
13.9394     27.590   -24.303
14.1421     28.110   -23.495
14.3478     28.629   -23.195
14.5565     29.147   -23.990
14.7683     29.562   -25.390
14.9831     29.896   -27.258
15.2010     30.006   -29.136
15.4221     30.035   -30.786
15.6464     29.871   -31.429
15.8740     29.671   -30.768
16.1049     29.441   -29.066
16.3392     29.452   -25.147
16.5768     29.658   -21.051
16.8179     30.134   -16.816
17.0626     30.875   -14.283
17.3107     31.657   -12.842
17.5625     32.450   -12.727
17.8180     33.118   -13.919
18.0771     33.698   -15.488
18.3401     34.186   -17.342
18.6068     34.561   -19.253
18.8775     34.875   -21.073
19.1521     35.147   -22.813
19.4306     35.379   -24.468
19.7133     35.560   -26.006
20.0000     35.693   -27.341
