Frequency Spectrum for Input Signal

Data Shown:    Cube (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 150°  

Freq [Hz]	Signal Level [dBSPL]
22.4	45.9
23	46.6
23.6	47.2
24	47.9
25	48.6
25.8	49.2
26.5	49.8
27.2	50.4
28	51
29	51.6
30	52.2
30.7	52.7
31.5	53.3
32.5	53.8
33.5	54.3
34.5	54.8
35.5	55.3
36.5	55.9
37.5	56.4
38.7	56.9
40	57.4
41.2	57.9
42.5	58.4
43.7	58.8
45	59.3
46.2	59.8
47.5	60.2
48.7	60.6
50	61.1
51.5	61.5
53	62
54.5	62.4
56	62.8
58	63.3
60	63.7
61.5	64.1
63	64.5
65	64.9
67	65.3
69	65.7
71	66.1
73	66.5
75	66.9
77.5	67.3
80	67.7
82.5	68.1
85	68.5
87.5	68.8
90	69.2
92.5	69.6
95	70
97.5	70.3
100	70.7
103	71.1
106	71.4
109	71.8
112	72.2
115	72.6
118	72.9
122	73.3
125	73.6
128	74
132	74.3
136	74.6
140	74.9
145	75.2
150	75.5
155	75.7
160	75.9
165	76
170	76.2
175	76.3
180	76.5
185	76.7
190	76.9
195	77.1
200	77.2
206	77.3
212	77.3
218	77.3
224	77.2
230	77.1
236	77.1
240	77.1
250	76.9
258	76.5
265	76
272	75.8
280	75.8
290	75.8
300	75.9
307	76.1
315	76.2
325	76.1
335	75.7
345	75.1
355	74.3
365	74
375	74.4
387	74.7
400	74.4
412	73.8
425	73.5
437	73.6
450	73.2
462	72.8
475	73.4
487	74.2
500	74.4
515	74.4
530	74.4
545	73.8
560	72.5
580	72.5
600	72.9
615	72.9
630	72.1
650	71.2
670	71.1
690	71.9
710	72
730	71.9
750	71.1
775	70.8
800	68.7
825	66
850	66.1
875	70.9
900	72.3
925	72
950	70.2
975	70.4
1000	69.5
1030	66.6
1060	67.6
1090	65.9
1120	66.6
1150	68.4
1180	66.9
1220	65.1
1250	64.2
1280	62
1320	63
1360	62.2
1400	59.5
1450	61.8
1500	68.2
1550	69.3
1600	67.5
1650	68
1700	66.2
1750	65.4
1800	65.2
1850	65.3
1900	66.5
1950	68.1
2000	66.9
2060	66.4
2120	65.4
2180	65.2
2240	66.2
2300	66.3
2360	64.8
2400	64.6
2500	66.1
2580	67
2650	67.8
2720	66.9
2800	67.1
2900	68.9
3000	69.7
3070	67.6
3150	66.1
3250	66.3
3350	65.4
3450	64.2
3550	63.1
3650	61.9
3750	60.4
3870	60
4000	59.2
4120	59.5
4250	62.8
4370	65.2
4500	66
4620	63.3
4750	62
4870	59.8
5000	56.7
5150	51.3
5300	54.2
5450	63.3
5600	67.4
5800	67.3
6000	65.7
6150	64.2
6300	61.8
6500	61
6700	57.7
6900	55.1
7100	52.9
7300	52.8
7500	52.6
7750	48.7
8000	43.1
8250	42.1
8500	44.6
8750	40.9
9000	38.9
9250	36.5
9500	46.1
9750	49.3
10000	51.1
10300	51.4
10600	47.4
10900	42.6
11200	38.8
11500	34.8
11800	39.7
12200	41.5
12500	40.4
12800	40.9
13200	43.2
13600	40.8
14000	37.3
14500	38
15000	35.2
15500	24.4
16000	26.6
16500	31
17000	38.1
17500	37.9
18000	33.1
18500	35.2
19000	27
19500	14.4
20000	10.5
20600	-3.3
21200	10.1
21800	5
22400	2
