Frequency Spectrum for Input Signal

Data Shown:    J4ver3 (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 30°

Freq [Hz]	Signal Level [dBSPL]
22.4	61.2
23	61.3
23.6	62.4
24	64
25	65.8
25.8	67.6
26.5	69.4
27.2	71.2
28	73
29	75
30	77
30.7	79
31.5	80
32.5	78.9
33.5	76.3
34.5	73.5
35.5	70.8
36.5	68.4
37.5	66.2
38.7	64.2
40	62.3
41.2	60.4
42.5	58.5
43.7	56.2
45	53.4
46.2	49.5
47.5	47.1
48.7	51.8
50	56.9
51.5	61
53	65.1
54.5	70
56	78.1
58	77.4
60	68.6
61.5	63
63	58.2
65	53.5
67	48.9
69	44.4
71	39.2
73	34.1
75	46
77.5	53.7
80	60.2
82.5	67.4
85	73.4
87.5	66.5
90	60.6
92.5	55.3
95	49.1
97.5	40.5
100	35.3
103	41.6
106	51.4
109	62.1
112	63.5
115	57.8
118	52.7
122	46.5
125	40
128	42.5
132	45.3
136	52.5
140	52.8
145	48.6
150	43.7
155	41
160	49.2
165	58.1
170	57.8
175	48.3
180	37.9
185	33.9
190	37.1
195	39.9
200	42.1
206	41
212	47.7
218	61.4
224	60.3
230	51.2
236	46
240	53.2
250	46.1
258	29.7
265	30.8
272	35.6
280	38.8
290	37.6
300	51.8
307	52.5
315	43.4
325	49.9
335	45.2
345	47
355	59.1
365	55.6
375	62.3
387	72.8
400	60.5
412	62.1
425	52.3
437	57.9
450	52.1
462	52
475	53.1
487	49.4
500	50.8
515	59.6
530	56.9
545	56.7
560	50.2
580	54.2
600	50.6
615	58.4
630	63.3
650	60.6
670	59.2
690	61.1
710	64.8
730	64.5
750	67.3
775	69.4
800	68.5
825	75.1
850	71.1
875	75.4
900	75.4
925	77
950	77.4
975	80.7
1000	80.3
1030	81.8
1060	83.1
1090	84.8
1120	85.8
1150	87.2
1180	88.7
1220	90
1250	91.2
1280	92.1
1320	92.7
1360	93.5
1400	93.8
1450	94.2
1500	94.2
1550	95.4
1600	96.2
1650	96.9
1700	97.9
1750	98.9
1800	99.6
1850	100.4
1900	101.3
1950	102.3
2000	103.4
2060	104.6
2120	105.9
2180	107.4
2240	108.9
2300	110.2
2360	111.5
2400	112.6
2500	113.6
2580	114.6
2650	114.9
2720	114.8
2800	114.8
2900	115.4
3000	116
3070	116
3150	116.3
3250	116.4
3350	115.8
3450	115.2
3550	115
3650	113.8
3750	112.3
3870	111.1
4000	109.7
4120	110.6
4250	111.4
4370	111
4500	111
4620	109.9
4750	108.7
4870	109.3
5000	110.5
5150	109.4
5300	108.7
5450	110.1
5600	111.9
5800	113.1
6000	113.2
6150	111.3
6300	110.4
6500	111.2
6700	110.8
6900	109
7100	107.9
7300	108.8
7500	110.6
7750	110.4
8000	110.7
8250	108.5
8500	105.7
8750	102.8
9000	102.3
9250	107.4
9500	108.9
9750	108.3
10000	109
10300	106.8
10600	103.6
10900	103.5
11200	105.9
11500	105
11800	104.6
12200	106.3
12500	107.2
12800	106.8
13200	103.3
13600	103.3
14000	107.1
14500	106.2
15000	102
15500	103.7
16000	103.2
16500	102.8
17000	106.2
17500	104.4
18000	94.5
18500	88.2
19000	79.7
19500	72
20000	58.8
20600	52.8
21200	67.6
21800	77
22400	72.5
