Frequency Spectrum for Input Signal

Data Shown:    J4ver3 (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 70°  

Freq [Hz]	Signal Level [dBSPL]
22.4	63.8
23	64.2
23.6	64.6
24	65
25	65.6
25.8	66.2
26.5	67
27.2	68
28	69
29	70.4
30	72
30.7	73.6
31.5	74.2
32.5	72.7
33.5	69.9
34.5	66.9
35.5	64.1
36.5	61.6
37.5	59.3
38.7	57.3
40	55.5
41.2	53.8
42.5	52.2
43.7	50.6
45	48.8
46.2	46.6
47.5	43.7
48.7	39.8
50	39.4
51.5	45
53	50.6
54.5	56.3
56	65
58	64.6
60	56
61.5	50.5
63	45.7
65	41
67	36.2
69	31.5
71	27.3
73	29.7
75	37.1
77.5	43.4
80	49.3
82.5	56.2
85	62.2
87.5	55.2
90	49.3
92.5	44
95	38.3
97.5	31.9
100	27.9
103	31
106	39.7
109	49.9
112	51.3
115	45.8
118	41.5
122	37.5
125	34.4
128	33.1
132	33.1
136	39
140	38.7
145	34.7
150	32.3
155	33.4
160	37.8
165	44.8
170	43.6
175	34.7
180	28.7
185	25.7
190	24.5
195	25.4
200	27.4
206	30.9
212	38.7
218	48.7
224	46.1
230	37.2
236	36.2
240	41.3
250	33.7
258	20.3
265	22.2
272	23.4
280	25.7
290	29.7
300	40.4
307	38.1
315	34.3
325	39.4
335	30.9
345	43.1
355	53.1
365	54.1
375	58.9
387	63.6
400	48.4
412	55.7
425	43.2
437	45.1
450	40.2
462	46
475	45.6
487	38
500	33.7
515	45.3
530	41.4
545	41.4
560	36.4
580	36.4
600	37.4
615	42.9
630	45.6
650	45
670	45.2
690	47.9
710	41.4
730	44.9
750	45.3
775	47.1
800	39.3
825	53.3
850	43.4
875	55.2
900	57.4
925	56.1
950	50.3
975	52.2
1000	52.6
1030	56.6
1060	55.4
1090	54.6
1120	58.9
1150	58.4
1180	58.6
1220	59.8
1250	60
1280	62.4
1320	63.9
1360	65.3
1400	65.7
1450	66
1500	63.7
1550	61.2
1600	63.6
1650	66.9
1700	69.1
1750	69.5
1800	68.1
1850	69.4
1900	71.9
1950	73.5
2000	74.3
2060	73.8
2120	74.2
2180	76
2240	78.2
2300	79.5
2360	81.5
2400	83.2
2500	83.4
2580	83.5
2650	86
2720	87.2
2800	84.1
2900	77.5
3000	85.5
3070	87.3
3150	84.1
3250	84.9
3350	87.8
3450	86.2
3550	77
3650	81
3750	84
3870	77.4
4000	82.3
4120	79.6
4250	82.3
4370	86.2
4500	78.1
4620	79.3
4750	75.4
4870	79.9
5000	81.4
5150	74
5300	80.5
5450	77.4
5600	79.2
5800	75.9
6000	79.5
6150	76
6300	78.8
6500	76
6700	80.4
6900	73.1
7100	74.5
7300	75.3
7500	75.3
7750	77.9
8000	76.2
8250	74.4
8500	74.3
8750	72.2
9000	68.4
9250	69.8
9500	71.9
9750	75.9
10000	72.8
10300	73.7
10600	74.6
10900	74.9
11200	70.5
11500	73.6
11800	77.6
12200	77.9
12500	81.2
12800	82.4
13200	80.2
13600	80.6
14000	74
14500	80.5
15000	66.1
15500	73.9
16000	73.2
16500	75.4
17000	76.4
17500	70.5
18000	69.8
18500	62.1
19000	52.8
19500	45.9
20000	40.1
20600	38.4
21200	43.7
21800	48.2
22400	37.9
