Frequency Spectrum for Input Signal

Data Shown:    J6 (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 0°  

Freq [Hz]	Signal Level [dBSPL]
22.4	-141.5
23	-141.5
23.6	114.1
24	114.1
25	114.2
25.8	114.3
26.5	114.4
27.2	114.5
28	114.6
29	114.7
30	114.8
30.7	114.9
31.5	115
32.5	115
33.5	115.1
34.5	115.1
35.5	115.2
36.5	115.3
37.5	115.3
38.7	115.4
40	115.4
41.2	115.4
42.5	115.5
43.7	115.5
45	115.6
46.2	115.6
47.5	115.6
48.7	115.6
50	115.6
51.5	115.6
53	115.5
54.5	115.5
56	115.4
58	115.4
60	115.4
61.5	115.3
63	115.3
65	115.2
67	115.2
69	115.1
71	115
73	115
75	114.9
77.5	114.8
80	114.6
82.5	114.5
85	114.4
87.5	114.3
90	114.1
92.5	114
95	113.8
97.5	113.7
100	113.6
103	113.5
106	113.3
109	113.2
112	113.1
115	113
118	112.8
122	112.8
125	112.8
128	112.7
132	112.6
136	112.6
140	112.5
145	112.4
150	112.2
155	112.1
160	112
165	111.9
170	112
175	112.2
180	112.3
185	112.5
190	112.6
195	112.7
200	112.9
206	113.1
212	113.4
218	113.6
224	113.8
230	113.9
236	114
240	113.9
250	113.8
258	113.7
265	113.7
272	113.7
280	113.7
290	113.7
300	113.6
307	113.6
315	113.6
325	113.7
335	113.6
345	113.5
355	113.2
365	112.7
375	112.4
387	112.2
400	111.8
412	111.4
425	111
437	110.9
450	111
462	111.4
475	111.8
487	112.2
500	112.6
515	113.2
530	113.5
545	113.1
560	112.5
580	112.2
600	112.1
615	111.8
630	111.4
650	111.2
670	111.4
690	111
710	110.1
730	109.3
750	107.9
775	105.9
800	105.1
825	104.6
850	105.4
875	104.1
900	103.8
925	104.8
950	105.3
975	104.2
1000	102.9
1030	102.9
1060	104
1090	105.8
1120	107.3
1150	107.7
1180	107.3
1220	106.8
1250	105.6
1280	105.4
1320	105.9
1360	104.9
1400	104.7
1450	104.2
1500	104.1
1550	105.9
1600	106.9
1650	107.1
1700	106.5
1750	106.2
1800	107
1850	107
1900	106.1
1950	106.3
2000	107.5
2060	108.5
2120	109.5
2180	109.6
2240	108.1
2300	106.7
2360	105.6
2400	105.8
2500	106.8
2580	107.2
2650	108.4
2720	104.2
2800	105.1
2900	107.3
3000	107.1
3070	104.7
3150	101.8
3250	102.8
3350	105.3
3450	105.9
3550	106.9
3650	105.7
3750	105.9
3870	106.6
4000	106.7
4120	103.9
4250	104.2
4370	105.4
4500	104.8
4620	106.5
4750	106.7
4870	106.5
5000	103.2
5150	104.7
5300	104.1
5450	106.4
5600	106.1
5800	102.8
6000	108.8
6150	104.2
6300	107.7
6500	108.6
6700	109.8
6900	110.7
7100	106
7300	109.4
7500	106.8
7750	105.5
8000	107.1
8250	103.1
8500	103.2
8750	105.2
9000	107.8
9250	110.6
9500	110
9750	102.5
10000	108.6
10300	108.8
10600	111.4
10900	110.6
11200	109.1
11500	108.9
11800	110.3
12200	107.3
12500	108
12800	115.7
13200	118.1
13600	115.5
14000	111.8
14500	105.9
15000	102.7
15500	97.4
16000	104
16500	102
17000	103.1
17500	104.8
18000	102.2
18500	97.2
19000	91.9
19500	91.2
20000	93.2
20600	93.2
21200	92.4
21800	80.8
22400	81
